 	cet	homme	est	atteint	de	hernie	</S>
a66	0.395609	0.228053	0.128476	0.121601	0.0723907	0.0301052	0.0237658
a87	0.230298	0.170874	0.174461	0.161331	0.127038	0.0706258	0.0653713
a23	0.370605	0.17453	0.0997381	0.0896916	0.112219	0.0728267	0.0803903
a18	0.423988	0.184002	0.101925	0.0796626	0.0778807	0.0559051	0.0766374
a54	0.38813	0.160378	0.107687	0.105128	0.115616	0.062311	0.0607504
a36	0.254888	0.169759	0.150049	0.156681	0.169655	0.0647912	0.0341763
a6	0.135661	0.117638	0.155041	0.19888	0.244104	0.107934	0.0407418
a36	0.112733	0.115712	0.165018	0.194398	0.205541	0.140128	0.0664706
a12	0.115635	0.113426	0.137011	0.151429	0.163275	0.1772	0.142024
a43	0.117952	0.126811	0.131488	0.12723	0.143652	0.179889	0.172978
a88	0.0852571	0.0956169	0.10021	0.116304	0.13864	0.194397	0.269575
a61	0.0722781	0.0719826	0.0664555	0.0775525	0.104219	0.18537	0.422142
a75	0.054389	0.0627189	0.0710448	0.0953756	0.122428	0.169577	0.424466
a6	0.0207898	0.0267576	0.0363696	0.0595883	0.086714	0.144467	0.625314
a37	0.0157501	0.0203386	0.0261268	0.041903	0.0531995	0.0925222	0.75016
a47	0.013606	0.0133859	0.0144421	0.023453	0.0379054	0.0931373	0.80407
a88	0.0134156	0.0115568	0.014645	0.0260314	0.037185	0.097362	0.799804
a43	0.0132717	0.0137967	0.0235062	0.0423636	0.0598833	0.0961227	0.751056
a27	0.0185653	0.0186719	0.0301739	0.0508651	0.0658082	0.0985021	0.717413
a82	0.118325	0.0967104	0.0895343	0.0843471	0.0805137	0.10834	0.42223
a57	0.341945	0.17663	0.106	0.0824495	0.0670098	0.0569518	0.169015
a87	0.348255	0.208816	0.127963	0.0996545	0.0778332	0.0441052	0.0933736
a23	0.239315	0.165436	0.118819	0.108329	0.102622	0.0730925	0.192387
a87	0.11972	0.081929	0.0775109	0.0842006	0.109733	0.0996191	0.427287
</S>	0.0474148	0.0354748	0.0429366	0.0598616	0.106818	0.122961	0.584534
