 	la	voiture	que	nous	conduisons	est	à	nous-mêmes	</S>
a23	0.174861	0.181287	0.19236	0.131114	0.102396	0.0709594	0.0697336	0.0587604	0.0185278
a53	0.162793	0.142103	0.126693	0.0843954	0.121071	0.107308	0.114411	0.0796568	0.0615695
a90	0.47542	0.24781	0.106003	0.0636335	0.0370446	0.0241465	0.0220653	0.0149812	0.00889582
a57	0.411567	0.231352	0.0981482	0.075728	0.0438382	0.0366832	0.0359347	0.042518	0.0242306
a38	0.390181	0.237221	0.0914205	0.0682578	0.0358855	0.0356125	0.0375382	0.0620393	0.0418441
a90	0.245859	0.183939	0.0991377	0.101662	0.0544929	0.0550112	0.0593313	0.125071	0.0754961
a70	0.192916	0.173835	0.123181	0.132167	0.0738676	0.0614842	0.0608481	0.101801	0.0799011
a61	0.203781	0.182855	0.111045	0.117698	0.0601796	0.0550536	0.0574832	0.113795	0.0981111
a62	0.188679	0.179709	0.117573	0.130105	0.0702363	0.060142	0.0603131	0.107633	0.0856091
a34	0.150557	0.16483	0.128604	0.150182	0.088867	0.0712985	0.0665354	0.11114	0.0679861
a90	0.135626	0.160667	0.133667	0.159725	0.0894785	0.0681744	0.0640491	0.105922	0.082691
a93	0.092929	0.129153	0.123521	0.160934	0.101157	0.0835251	0.0789862	0.140423	0.0893722
a56	0.0770567	0.125136	0.13176	0.169506	0.100437	0.0787289	0.0765607	0.138198	0.102617
a70	0.0556485	0.0839578	0.123175	0.174805	0.133855	0.102409	0.103393	0.146059	0.0766975
a83	0.0244142	0.039529	0.083337	0.140481	0.117123	0.116189	0.121032	0.225445	0.13245
a0	0.015808	0.0257978	0.0583462	0.110475	0.112609	0.116218	0.120077	0.238715	0.201954
a75	0.00711409	0.0114183	0.0304518	0.0770798	0.101527	0.11394	0.130557	0.285018	0.242894
a66	0.0107503	0.0215126	0.0450484	0.119245	0.129929	0.11291	0.113179	0.223369	0.224056
a62	0.00267552	0.00548452	0.0177759	0.0597679	0.0923845	0.108548	0.122915	0.269954	0.320495
a0	0.00524863	0.00655281	0.0144141	0.0393515	0.0637653	0.0844593	0.10319	0.278959	0.404059
a83	0.00202844	0.0032736	0.00715821	0.0197474	0.0358117	0.0595919	0.0796695	0.259745	0.532975
a11	0.00276166	0.00472749	0.00944886	0.0226623	0.0343543	0.0585637	0.0754941	0.260364	0.531624
a13	0.000614445	0.00126853	0.00391028	0.0114554	0.0273205	0.0572192	0.081691	0.253764	0.562757
a9	0.00183428	0.00321762	0.00880722	0.0215666	0.0614295	0.100554	0.122908	0.278237	0.401446
a97	0.00672671	0.00771916	0.018394	0.0460964	0.102328	0.127986	0.145793	0.246339	0.298617
a87	0.022648	0.0197438	0.0429963	0.0710406	0.11511	0.142304	0.158456	0.196559	0.231142
a23	0.0424206	0.0379835	0.0617571	0.0728596	0.117987	0.129544	0.141112	0.177895	0.218441
a53	0.0262526	0.0226433	0.0418324	0.0476447	0.0675615	0.0880973	0.106044	0.151564	0.448361
a93	0.00842665	0.00947265	0.021932	0.0294632	0.0613983	0.0814766	0.101134	0.162945	0.523752
a70	0.00205558	0.00381922	0.0130124	0.0261375	0.061896	0.0960849	0.109261	0.187967	0.499766
a75	0.000953949	0.00222036	0.00944315	0.0224235	0.050568	0.0947423	0.10994	0.215695	0.494013
a66	0.0022719	0.0046135	0.0156262	0.0350301	0.0635713	0.0946416	0.102846	0.203075	0.478325
a62	0.000433586	0.000915996	0.00364817	0.0111814	0.0283262	0.0645436	0.0846598	0.222904	0.583387
a0	0.000532253	0.00100113	0.00306364	0.0100482	0.0243227	0.0534156	0.0733323	0.228516	0.605768
a24	0.000475885	0.000975318	0.00324239	0.0115411	0.0293715	0.0602089	0.0776249	0.222237	0.594323
a34	0.0013053	0.00230404	0.00458556	0.0110109	0.0239886	0.0476701	0.0672895	0.229627	0.612219
a75	0.000780577	0.00147583	0.00363356	0.00890623	0.0197161	0.0468866	0.0665639	0.22171	0.630327
a18	0.000701288	0.00148328	0.00415799	0.0113221	0.0253549	0.0519573	0.0625564	0.197438	0.645029
a25	0.000573069	0.00122155	0.00272248	0.0083684	0.0237833	0.0429682	0.0605893	0.234792	0.624982
a10	0.000526504	0.000972185	0.00177175	0.00424518	0.0114888	0.024619	0.0409442	0.199827	0.715606
a87	0.00174987	0.00217992	0.00415558	0.00780668	0.0220806	0.0468723	0.0780368	0.2097	0.627418
a23	0.0106043	0.0093177	0.0207697	0.0319266	0.0687534	0.0984273	0.129688	0.212108	0.418405
a87	0.0118556	0.00901321	0.0144134	0.0194513	0.0411513	0.0677965	0.0912754	0.164679	0.580365
</S>	0.0181444	0.0165268	0.0258569	0.021767	0.0374753	0.0598314	0.0843313	0.14551	0.590557
