 	tu	as	mal	fabriqué	la	chaise	</S>
a66	0.500094	0.173107	0.0916142	0.0649658	0.069048	0.0651417	0.0360293
a87	0.352827	0.219385	0.148493	0.100944	0.0855647	0.0564104	0.0363746
a23	0.545451	0.271882	0.0964759	0.0366218	0.018025	0.0169713	0.0145731
a83	0.452307	0.288482	0.120195	0.0452131	0.0303416	0.0280127	0.0354478
a79	0.27848	0.14953	0.0921719	0.102115	0.115845	0.126273	0.135585
a44	0.346796	0.226176	0.157033	0.112659	0.0701306	0.0489572	0.0382486
a90	0.197725	0.248464	0.263008	0.169514	0.0675376	0.0308482	0.0229031
a56	0.118341	0.167922	0.263893	0.263958	0.111085	0.0400959	0.0347048
a96	0.139604	0.174654	0.247022	0.229854	0.114756	0.0510797	0.0430294
a70	0.126918	0.156528	0.230135	0.221901	0.134053	0.0698023	0.0606627
a71	0.0809751	0.102139	0.157836	0.201814	0.205139	0.140656	0.111441
a11	0.0404602	0.0411627	0.0693621	0.127296	0.233244	0.256263	0.232212
a31	0.0349356	0.0343434	0.0583048	0.112049	0.241001	0.280646	0.238721
a18	0.0258681	0.0212755	0.0241391	0.036447	0.155402	0.349265	0.387603
a11	0.00912465	0.00755343	0.00804129	0.0134615	0.0693422	0.293249	0.599228
a0	0.00952846	0.00684198	0.00736167	0.0122141	0.0621078	0.297197	0.604749
a62	0.0232625	0.0128635	0.0123146	0.020245	0.0705686	0.272372	0.588374
a70	0.00217515	0.0013247	0.00145985	0.00430954	0.0394867	0.234427	0.716817
a93	0.00190062	0.00134761	0.00175858	0.00571485	0.0385123	0.220698	0.730069
a96	0.00102446	0.000704006	0.000913799	0.00353882	0.0279271	0.199861	0.766031
a75	0.00280111	0.00219068	0.00352	0.0105466	0.0482952	0.219435	0.713211
a54	0.000525924	0.000404706	0.000657729	0.0023709	0.0191833	0.146411	0.830446
a36	0.000170068	0.000162801	0.000303096	0.00147804	0.0225031	0.161832	0.813551
a27	0.0262597	0.0188174	0.019669	0.029914	0.0764941	0.195265	0.633581
a82	0.293052	0.125051	0.0752318	0.0613345	0.0829223	0.140825	0.221583
a87	0.440814	0.228758	0.0959741	0.0391841	0.0377761	0.0597979	0.0976958
a99	0.455915	0.256789	0.107072	0.0424372	0.0323462	0.0483061	0.057135
a87	0.269042	0.167389	0.0692912	0.036765	0.0488503	0.112826	0.295837
a23	0.119677	0.059162	0.0266754	0.0222131	0.0537203	0.175999	0.542554
a99	0.152044	0.102648	0.0472233	0.0336957	0.0546944	0.147311	0.462384
a97	0.116792	0.0723501	0.0481698	0.0521234	0.106073	0.191086	0.413405
</S>	0.0897101	0.052227	0.033526	0.0372612	0.0884026	0.213318	0.485555
