 	il	y	a	autant	de	couteaux	que	des	fourchettes	</S>
a23	0.313239	0.189097	0.138042	0.143056	0.0584064	0.0456086	0.0352125	0.0335421	0.0240938	0.0197023
a87	0.241098	0.141386	0.0885732	0.0987886	0.0886743	0.0981055	0.0801874	0.0713429	0.0534404	0.0384041
a40	0.0891477	0.0611061	0.0374301	0.0689139	0.129962	0.173165	0.148672	0.119886	0.0939177	0.077799
a20	0.363359	0.179416	0.0962109	0.101264	0.0925886	0.0742596	0.0379432	0.0262046	0.0143248	0.0144291
a57	0.287885	0.183936	0.159997	0.138381	0.0904394	0.0545238	0.038306	0.0292217	0.0105004	0.00680979
a20	0.243494	0.19335	0.158974	0.136225	0.0943694	0.0703448	0.0405214	0.0297578	0.0184999	0.0144638
a73	0.137966	0.148526	0.158117	0.143309	0.116067	0.106417	0.0756934	0.0550308	0.0343996	0.0244755
a2	0.123947	0.129881	0.141519	0.142776	0.125903	0.117681	0.0852225	0.0611148	0.0427486	0.0292065
a40	0.071445	0.0831511	0.126018	0.142538	0.136527	0.135965	0.0933649	0.0760205	0.0740746	0.0608956
a73	0.063791	0.0710842	0.115563	0.138035	0.138835	0.136181	0.108037	0.0913649	0.0769789	0.0601308
a44	0.0975147	0.100057	0.116893	0.10703	0.117138	0.112341	0.106106	0.098792	0.0808196	0.0633088
a26	0.0697455	0.0703881	0.0962031	0.113092	0.1339	0.127475	0.111006	0.102495	0.094671	0.0810244
a94	0.0515134	0.0512011	0.0729215	0.104653	0.14366	0.142376	0.114192	0.108176	0.109833	0.101474
a13	0.0608911	0.0563854	0.0668809	0.0842386	0.122181	0.126035	0.115818	0.11803	0.119551	0.129989
a38	0.0546796	0.0486046	0.0549228	0.0725373	0.113824	0.118331	0.111601	0.123497	0.13759	0.164413
a98	0.0394109	0.0346045	0.0389429	0.0596121	0.107239	0.123954	0.11295	0.129524	0.152974	0.200789
a73	0.0400468	0.0360351	0.0382482	0.0433977	0.080498	0.0979683	0.106287	0.131907	0.1651	0.260513
a84	0.03313	0.0321722	0.0357544	0.040267	0.0954269	0.107397	0.119787	0.150392	0.157257	0.228416
a87	0.00930177	0.00975882	0.01495	0.0273475	0.0896267	0.128127	0.130514	0.168737	0.199703	0.221933
a23	0.0159488	0.0148994	0.0206549	0.0355759	0.10636	0.0855588	0.0886954	0.136519	0.19097	0.304818
a53	0.0140117	0.0109749	0.0121286	0.0182097	0.0587745	0.0550514	0.0649219	0.127951	0.203253	0.434723
a15	0.0134871	0.010696	0.0152516	0.0262707	0.0834753	0.108464	0.0901176	0.124583	0.18526	0.342395
a73	0.0100678	0.00923869	0.0142668	0.0240455	0.0848021	0.125815	0.120403	0.153022	0.184149	0.27419
a32	0.00479469	0.00462734	0.00755034	0.0134159	0.0656859	0.0974938	0.113636	0.171483	0.184642	0.336671
a73	0.00425735	0.00382474	0.00451695	0.00617303	0.0237457	0.0460648	0.0722385	0.145334	0.209685	0.48416
a4	0.00380326	0.00392116	0.00590583	0.00825553	0.0353932	0.0597761	0.0901578	0.165954	0.205965	0.420868
a94	0.00319066	0.00304131	0.00427072	0.00654516	0.0320891	0.0581314	0.080847	0.156442	0.248984	0.406459
a44	0.00473909	0.00428963	0.00460742	0.00609655	0.0248251	0.0445569	0.066042	0.139464	0.252867	0.452512
a57	0.00473137	0.00414198	0.00441505	0.00665804	0.0301218	0.0555642	0.0793028	0.154866	0.276067	0.384132
a87	0.00367943	0.0029458	0.00284835	0.00455564	0.0210381	0.0334242	0.0558597	0.138083	0.278725	0.458841
</S>	0.0034352	0.00255418	0.00231699	0.00316385	0.0133028	0.0144603	0.0254783	0.0723743	0.167214	0.6957
