 	ils	se	sont	associés	pour	la	paie	</S>
a23	0.248616	0.171626	0.121488	0.0981873	0.0805052	0.0713556	0.0917511	0.116471
a87	0.280861	0.151036	0.150884	0.0757731	0.041648	0.0371992	0.0844813	0.178117
a23	0.227307	0.140855	0.113516	0.0669044	0.055879	0.0534368	0.115722	0.22638
a20	0.14069	0.0734881	0.0441109	0.0199228	0.029419	0.0483252	0.187595	0.45645
a30	0.211847	0.115732	0.0962802	0.0696892	0.112637	0.11874	0.13311	0.141965
a73	0.28471	0.266732	0.197335	0.0788969	0.0520803	0.0340661	0.041074	0.0451058
a26	0.212375	0.233688	0.233	0.0912045	0.0608015	0.0487398	0.0589695	0.0612217
a76	0.176625	0.212622	0.244724	0.119156	0.0716143	0.0546022	0.0585471	0.0621089
a94	0.161193	0.196806	0.229136	0.145962	0.101474	0.0686	0.0490055	0.0478242
a24	0.131448	0.161678	0.214956	0.186429	0.133701	0.0777565	0.0493428	0.0446887
a25	0.131757	0.143577	0.185438	0.191057	0.164202	0.0929735	0.048728	0.042267
a24	0.11479	0.136415	0.204716	0.21104	0.15344	0.0787316	0.0474626	0.053405
a32	0.0534874	0.0639651	0.115436	0.204853	0.241203	0.156056	0.0843642	0.0806358
a25	0.062941	0.0648328	0.0962793	0.16534	0.220634	0.178575	0.107824	0.103573
a76	0.0870593	0.0927522	0.132437	0.180969	0.179649	0.121912	0.0892531	0.115969
a94	0.0574154	0.0588334	0.0751334	0.131956	0.205471	0.183373	0.133635	0.154182
a35	0.0196423	0.0211473	0.0333727	0.0821494	0.198566	0.254728	0.200339	0.190055
a41	0.015206	0.015917	0.0237119	0.0512848	0.137643	0.239268	0.242422	0.274548
a24	0.00827582	0.00991756	0.0175347	0.0458586	0.131088	0.223433	0.252901	0.310991
a32	0.00668951	0.00798425	0.0147287	0.0396262	0.111746	0.220012	0.277854	0.321359
a62	0.00664341	0.00681171	0.0113603	0.0282796	0.0723597	0.161247	0.280816	0.432482
a31	0.0173596	0.0164097	0.0203866	0.0366456	0.0727583	0.15025	0.26524	0.420951
a61	0.0190301	0.0186104	0.0232057	0.041954	0.0809987	0.166194	0.261612	0.388395
a43	0.0162605	0.0147179	0.0185979	0.0296292	0.0622888	0.139382	0.265422	0.453702
a11	0.00532351	0.00508994	0.008907	0.0198904	0.0532896	0.126739	0.271998	0.508763
a94	0.0068955	0.00598876	0.00878461	0.0171617	0.0441308	0.104703	0.250332	0.562004
a53	0.00727102	0.00620418	0.00978918	0.0187894	0.0452717	0.0998836	0.24746	0.565331
a20	0.00811011	0.00717333	0.0120524	0.0221967	0.0496715	0.101204	0.245562	0.554029
a84	0.00434505	0.00399026	0.008083	0.0173398	0.042969	0.0908915	0.230006	0.602376
a57	0.00332397	0.00336836	0.00575403	0.011273	0.0294673	0.071476	0.205454	0.669883
a87	0.00263571	0.00241096	0.00392076	0.00821292	0.0250616	0.0610284	0.203204	0.693526
</S>	0.00120154	0.00110105	0.0018475	0.00475847	0.0189347	0.0600226	0.237158	0.674976
