 	l'	enfant	a	capturé	un	silure	avec	son	hameçon	</S>
a66	0.320491	0.185809	0.104951	0.0625688	0.0618449	0.0917163	0.0717597	0.0505134	0.03094	0.0194059
a87	0.211289	0.149326	0.130365	0.116226	0.101096	0.0935697	0.0718732	0.0546936	0.0427262	0.0288357
a23	0.399189	0.255233	0.157182	0.0714094	0.0285654	0.0221053	0.0168022	0.016486	0.0173028	0.0157246
a99	0.376421	0.201894	0.14028	0.0853698	0.038353	0.0331015	0.0244971	0.0267843	0.0397721	0.0335277
a53	0.268343	0.122726	0.0973392	0.0696583	0.0521068	0.0617809	0.0577345	0.069576	0.110914	0.0898208
a20	0.224215	0.191944	0.184303	0.135033	0.0896976	0.060652	0.0320938	0.0278767	0.0312731	0.0229129
a44	0.0865032	0.124556	0.181134	0.207071	0.145482	0.0798808	0.0436809	0.041662	0.048138	0.041892
a40	0.0429093	0.0668488	0.127959	0.192996	0.164499	0.105139	0.0639399	0.0615532	0.0764693	0.0976859
a37	0.0297232	0.0534439	0.105403	0.164738	0.161576	0.125934	0.0744755	0.0755127	0.0965878	0.112606
a94	0.0318259	0.044708	0.0782801	0.117393	0.127174	0.113478	0.0799466	0.0921764	0.128328	0.186691
a70	0.0305448	0.0376914	0.0597326	0.086055	0.114374	0.110057	0.0769037	0.0886171	0.144981	0.251043
a4	0.0203252	0.023558	0.0356361	0.0544182	0.0968332	0.113386	0.0877117	0.100984	0.168587	0.298561
a11	0.0158783	0.0185467	0.0288158	0.0464976	0.0954598	0.121874	0.10268	0.108355	0.176008	0.285884
a70	0.0105298	0.0102631	0.0137052	0.0205716	0.0482867	0.0878575	0.0972948	0.11193	0.214467	0.385095
a93	0.00505986	0.00527047	0.00727096	0.0116524	0.0316675	0.0663376	0.0946869	0.120095	0.229595	0.428364
a90	0.00367799	0.00364796	0.00488989	0.0081377	0.0253312	0.0556645	0.0959196	0.130943	0.246877	0.424911
a79	0.00396955	0.00460445	0.00696379	0.0116407	0.0314471	0.0670107	0.131757	0.175637	0.260627	0.306342
a44	0.00838109	0.0100235	0.0149404	0.0206193	0.0436466	0.0834124	0.1502	0.177794	0.24283	0.248153
a93	0.000658395	0.000674437	0.000940721	0.0015934	0.00482452	0.0113852	0.0467736	0.133577	0.348533	0.451039
a62	0.000521649	0.000491137	0.000576274	0.00082383	0.00255305	0.00696154	0.0333968	0.108478	0.313853	0.532345
a50	0.000525889	0.000456362	0.000451071	0.000572277	0.00122021	0.00335852	0.0158835	0.0622152	0.254782	0.660535
a34	0.000725846	0.000579928	0.000530354	0.000659307	0.00145358	0.00291519	0.0146277	0.0752231	0.282776	0.620509
a90	0.000374859	0.000347472	0.00034949	0.00045687	0.000998862	0.00226456	0.0120366	0.0586034	0.243982	0.680586
a69	0.000179835	0.000174236	0.000195667	0.000297885	0.000815973	0.00238234	0.013837	0.0603502	0.248534	0.673233
a4	0.0001387	0.000152152	0.00018641	0.000261014	0.000681121	0.00170488	0.00966502	0.0471714	0.240568	0.699472
a57	0.000412812	0.00037018	0.000358138	0.000452312	0.000986029	0.00225282	0.0120149	0.0547563	0.242967	0.685429
a82	0.000301978	0.000222347	0.000212404	0.000293581	0.000745611	0.00161141	0.0100994	0.0536029	0.244017	0.688894
a97	0.0860088	0.0419419	0.0259142	0.0171788	0.0178044	0.0182562	0.0488696	0.0938822	0.234832	0.415312
a87	0.301688	0.187039	0.0979711	0.0442179	0.0246704	0.021621	0.0391588	0.0626007	0.0982023	0.12283
a23	0.227889	0.150408	0.0904299	0.0472333	0.0278518	0.0275302	0.047489	0.0894003	0.135947	0.155821
a87	0.179508	0.111121	0.0600622	0.0367279	0.0260809	0.0192787	0.0479883	0.0925182	0.179048	0.247667
a23	0.0483495	0.0398415	0.0307735	0.0234793	0.0211932	0.02106	0.0578887	0.106704	0.246849	0.403861
a87	0.0846232	0.0720716	0.0547574	0.0375186	0.0272508	0.0255461	0.069133	0.114595	0.207758	0.306746
a23	0.0629586	0.0589639	0.0477481	0.0364355	0.0313111	0.0318969	0.0726916	0.115236	0.217329	0.325429
a87	0.110454	0.100065	0.0733563	0.0482989	0.0333399	0.0297555	0.0703117	0.105384	0.17927	0.249765
</S>	0.0807627	0.0675412	0.0498059	0.0385669	0.0337089	0.0293669	0.0613287	0.0959047	0.208076	0.334938
