 	il	luit	court	après	</S>
a23	0.484839	0.244998	0.0632438	0.0827862	0.124133
a87	0.473084	0.328749	0.0738834	0.0546548	0.0696288
a23	0.335767	0.372476	0.0962202	0.0762328	0.119303
a79	0.148353	0.214607	0.11152	0.177329	0.34819
a20	0.478283	0.351373	0.0579624	0.047111	0.0652709
a94	0.561874	0.341651	0.0561959	0.024451	0.0158277
a20	0.521254	0.362951	0.0679974	0.026274	0.0215235
a73	0.398442	0.34567	0.137086	0.0664544	0.0523471
a94	0.406123	0.362875	0.131873	0.0560791	0.0430506
a76	0.333805	0.32686	0.172257	0.0903359	0.0767432
a73	0.271737	0.345671	0.187356	0.108309	0.0869277
a94	0.278117	0.310029	0.194848	0.12412	0.0928864
a38	0.190323	0.236612	0.225356	0.190052	0.157657
a20	0.154588	0.180029	0.213148	0.229103	0.223132
a73	0.0975183	0.114264	0.198579	0.270113	0.319526
a20	0.0498815	0.0741626	0.2081	0.300079	0.367776
a76	0.0354485	0.0393126	0.147673	0.296733	0.480832
a94	0.0252795	0.0261425	0.143804	0.326936	0.477838
a76	0.0126318	0.0124095	0.0829267	0.345903	0.546129
a94	0.019462	0.0161741	0.0866831	0.324666	0.553015
a53	0.00933416	0.00949911	0.0608248	0.329918	0.590424
a69	0.0129825	0.0120393	0.0621629	0.306654	0.606161
a58	0.0169495	0.0126967	0.0433363	0.227318	0.6997
a82	0.0141347	0.0121984	0.0352953	0.201192	0.737179
a87	0.012881	0.0112815	0.0242419	0.174634	0.776961
</S>	0.0389841	0.0231769	0.0264046	0.184358	0.727077
