 	les	bananes	sont	pleines	</S>
a23	0.325231	0.101868	0.112995	0.157556	0.30235
a87	0.587755	0.128364	0.101203	0.0689248	0.113753
a23	0.67678	0.12449	0.081863	0.0485918	0.0682761
a87	0.364877	0.0863484	0.0821181	0.112887	0.35377
a23	0.298602	0.101315	0.14032	0.130238	0.329525
a87	0.126922	0.0921938	0.122189	0.16447	0.494225
a23	0.255946	0.181598	0.170269	0.131498	0.260689
a87	0.164051	0.123268	0.139334	0.153512	0.419835
a23	0.245086	0.166231	0.187561	0.14358	0.257542
a40	0.18669	0.145516	0.13809	0.164948	0.364756
a20	0.377593	0.251467	0.160316	0.10811	0.102514
a84	0.447787	0.281423	0.152072	0.073848	0.044869
a53	0.401667	0.320735	0.171814	0.0612803	0.0445034
a76	0.315476	0.243868	0.183094	0.126928	0.130634
a69	0.275472	0.255708	0.211048	0.144044	0.113728
a58	0.353332	0.265919	0.198602	0.10309	0.079058
a82	0.274627	0.242097	0.224162	0.138328	0.120786
a87	0.220968	0.22857	0.245104	0.175972	0.129386
a23	0.246104	0.246873	0.224438	0.127427	0.155158
a40	0.168142	0.131611	0.207983	0.157971	0.334293
a20	0.0742535	0.102111	0.150606	0.213811	0.459219
a32	0.0876242	0.12715	0.209289	0.262023	0.313914
a20	0.0876753	0.102946	0.159959	0.26841	0.38101
a73	0.0661778	0.0829941	0.148153	0.268679	0.433996
a20	0.019901	0.0314564	0.0893905	0.268187	0.591066
a69	0.0167555	0.0273372	0.0755104	0.261604	0.618793
a57	0.021258	0.0313746	0.0881248	0.267472	0.591771
a75	0.00456048	0.00751567	0.0261589	0.126665	0.835099
a41	0.0206681	0.0246634	0.0536664	0.182646	0.718356
a18	0.0112311	0.0184532	0.0467787	0.171769	0.751768
a12	0.0125016	0.0173839	0.0446107	0.151256	0.774248
a18	0.0230138	0.0287863	0.0608618	0.165924	0.721414
a71	0.0121533	0.0136251	0.0442984	0.158914	0.771009
a27	0.0154681	0.0136051	0.0477041	0.162081	0.761141
a54	0.0112408	0.00855845	0.034236	0.134438	0.811526
a20	0.0117111	0.00917956	0.0262215	0.0992834	0.853604
a7	0.00743797	0.00810289	0.0271608	0.109666	0.847632
a84	0.00769285	0.00831117	0.0255066	0.10193	0.85656
a87	0.00639308	0.00738984	0.023175	0.120563	0.842479
</S>	0.0195504	0.0246107	0.0534657	0.153255	0.749118
