 	c'	est	ma	soeur	aînée	</S>
a23	0.420557	0.240588	0.137831	0.0852528	0.0532472	0.0625232
a87	0.263302	0.145309	0.122551	0.10331	0.165723	0.199805
a23	0.344121	0.190448	0.138038	0.0908937	0.109943	0.126557
a32	0.33792	0.217211	0.157119	0.0915111	0.0994912	0.0967479
a71	0.326418	0.246039	0.163129	0.131439	0.078353	0.0546228
a26	0.367867	0.276016	0.161569	0.10759	0.05249	0.0344681
a66	0.305036	0.262001	0.175496	0.128649	0.0724134	0.0564041
a76	0.234353	0.237653	0.198276	0.168784	0.0907206	0.0702132
a35	0.284465	0.268338	0.190827	0.149226	0.0627439	0.0443991
a14	0.27223	0.250935	0.192526	0.152617	0.0715929	0.0600992
a30	0.197735	0.20995	0.189442	0.202354	0.100808	0.0997109
a35	0.0893411	0.135833	0.188147	0.236927	0.158339	0.191412
a30	0.0541678	0.079174	0.138796	0.221712	0.212758	0.293393
a35	0.0424468	0.0672751	0.126478	0.188083	0.219423	0.356294
a30	0.015931	0.0264816	0.0664455	0.136411	0.217532	0.537199
a44	0.0157679	0.0271416	0.068038	0.119847	0.225551	0.543654
a90	0.011091	0.021636	0.0570694	0.104598	0.20735	0.598255
a35	0.00770543	0.0147392	0.039115	0.0827787	0.207568	0.648094
a32	0.0160465	0.0270287	0.0620091	0.102797	0.204994	0.587124
a90	0.00864038	0.0166099	0.0416608	0.0754139	0.211934	0.645741
a25	0.00667915	0.0130332	0.0338412	0.0649689	0.197405	0.684073
a87	0.00987778	0.015473	0.0403382	0.0661966	0.229613	0.638502
</S>	0.0306247	0.033877	0.0624559	0.0973404	0.212751	0.562951
