 	nous	irons	nous	laver	à	la	rivière	</S>
a66	0.38071	0.213219	0.0526696	0.0366063	0.0716579	0.110151	0.0762913	0.0586944
a87	0.478099	0.202753	0.0915705	0.0670606	0.0548517	0.0413823	0.0342549	0.0300276
a23	0.449277	0.342284	0.106219	0.0528463	0.0169612	0.0116995	0.0101939	0.0105189
a99	0.377429	0.315707	0.110044	0.0781439	0.0294007	0.0222545	0.0296847	0.0373357
a9	0.392512	0.23142	0.0749157	0.0873374	0.0523527	0.044604	0.0526876	0.0641707
a24	0.349856	0.271645	0.082212	0.0727441	0.0489402	0.049293	0.0544113	0.0708985
a62	0.221682	0.188612	0.220875	0.162156	0.0698238	0.0538927	0.0411826	0.0417766
a12	0.08906	0.102371	0.279505	0.286698	0.110683	0.0623571	0.0386111	0.0307139
a96	0.0486606	0.0702579	0.306046	0.3461	0.120133	0.0566438	0.0307455	0.0214138
a93	0.0328957	0.0508174	0.295743	0.349116	0.145644	0.0654191	0.03494	0.0254249
a70	0.0343599	0.0525142	0.277075	0.329116	0.17312	0.0738951	0.0356499	0.0242705
a43	0.0363748	0.0307052	0.20716	0.265911	0.225012	0.128768	0.0607012	0.0453674
a90	0.018196	0.0185064	0.133777	0.245334	0.263776	0.16532	0.0878216	0.067269
a15	0.0217459	0.0227068	0.106829	0.184639	0.251628	0.203079	0.118894	0.0904786
a69	0.0148427	0.0140349	0.0713566	0.0887649	0.185315	0.227627	0.197303	0.200757
a90	0.0161823	0.0141077	0.0378969	0.0598925	0.157408	0.245725	0.213717	0.255071
a69	0.00818898	0.00593098	0.0194761	0.0377773	0.14016	0.245095	0.242944	0.300428
a94	0.00446599	0.00326079	0.0126757	0.0217064	0.0788074	0.19341	0.264919	0.420755
a62	0.00268888	0.00200347	0.00513439	0.012274	0.0458551	0.143065	0.270847	0.518132
a0	0.00297864	0.0025143	0.00553348	0.00945366	0.0324088	0.106186	0.266376	0.574549
a24	0.00261411	0.0019645	0.00379593	0.00641091	0.0239426	0.0870829	0.278273	0.595916
a9	0.00079162	0.00074764	0.00179499	0.00359991	0.0149676	0.0609502	0.241942	0.675206
a10	0.0113913	0.0110261	0.012732	0.0148751	0.0322876	0.0856887	0.224381	0.607618
a87	0.15477	0.0898718	0.0511654	0.0377467	0.0514989	0.0930652	0.171897	0.349985
a23	0.373557	0.165612	0.0758107	0.039425	0.0401578	0.0628696	0.0965776	0.14599
a87	0.150436	0.106256	0.0941501	0.0783428	0.0691988	0.0914894	0.161114	0.249013
</S>	0.0351135	0.0475141	0.0834718	0.0653976	0.0553508	0.0927088	0.215307	0.405136
