 	enlève	les	miettes	de	pain	qui	sont	sur	la	table	</S>
a66	0.261475	0.396813	0.175443	0.0497083	0.0313485	0.0237154	0.0173059	0.0143605	0.0116496	0.00967578	0.00850551
a87	0.423732	0.280658	0.110035	0.0255961	0.0301924	0.0264695	0.0235185	0.019993	0.0167348	0.0178025	0.0252677
a97	0.298433	0.200701	0.262643	0.0476677	0.0404774	0.0320146	0.0264067	0.0229252	0.0190129	0.0244357	0.0252825
a87	0.213845	0.16183	0.34552	0.0570464	0.0521737	0.0353891	0.0290253	0.0272583	0.0230029	0.0271868	0.0277233
a97	0.192466	0.154675	0.285022	0.06309	0.0682995	0.0473105	0.0401672	0.0393616	0.0328685	0.0368468	0.0398928
a79	0.187798	0.157566	0.27246	0.0612478	0.067821	0.0448171	0.0410166	0.0419689	0.0353675	0.0421298	0.0478078
a12	0.405416	0.300184	0.110615	0.0148279	0.0140083	0.0149291	0.0203958	0.0234304	0.0225171	0.0318884	0.0417882
a43	0.408729	0.334113	0.148335	0.0247614	0.0138717	0.0119828	0.0117763	0.012343	0.00928682	0.0112048	0.013596
a21	0.326377	0.29383	0.200383	0.0422086	0.0223245	0.0185826	0.0174156	0.0198346	0.0162783	0.0208106	0.0219555
a12	0.205059	0.235596	0.232399	0.0874208	0.0488814	0.0425283	0.0323983	0.0294931	0.0251341	0.0300119	0.031078
a18	0.172679	0.234914	0.25961	0.093714	0.0506975	0.0440446	0.0326819	0.0284374	0.0248784	0.0284757	0.0298685
a94	0.0875057	0.137489	0.309969	0.12939	0.0627153	0.0543941	0.0461391	0.0415131	0.0389013	0.0446607	0.0473219
a11	0.061921	0.0969485	0.277239	0.145955	0.0722643	0.0631216	0.057446	0.051535	0.0503229	0.0589723	0.0642748
a0	0.0579607	0.109304	0.310006	0.150648	0.0700588	0.059357	0.0505576	0.0448087	0.0426485	0.0499209	0.05473
a11	0.0353692	0.057407	0.287196	0.202039	0.0857091	0.0766319	0.0586129	0.0439751	0.0442257	0.0476999	0.0611336
a70	0.0242824	0.0499819	0.228638	0.225623	0.104794	0.0925509	0.0678453	0.0480371	0.044801	0.0490271	0.0644192
a94	0.0145334	0.040273	0.170177	0.200113	0.124177	0.11674	0.0920019	0.0643166	0.0550617	0.0539498	0.0686564
a62	0.00924085	0.0258558	0.140607	0.21037	0.133341	0.124011	0.0996432	0.0692733	0.0587494	0.0572167	0.0716919
a75	0.00753832	0.0184686	0.129918	0.222497	0.13046	0.127588	0.0981268	0.0615124	0.0566303	0.0584918	0.0887685
a5	0.0038	0.0112875	0.05114	0.129604	0.117068	0.114326	0.111208	0.0987404	0.0967683	0.116161	0.149897
a36	0.00384435	0.00816597	0.041672	0.136078	0.134287	0.134084	0.122601	0.0961668	0.0902599	0.102804	0.130038
a18	0.00135791	0.00365939	0.0219138	0.105063	0.130523	0.142441	0.137971	0.103202	0.0944887	0.107729	0.151651
a83	0.000900207	0.00188047	0.0115633	0.0551271	0.0840108	0.116016	0.13313	0.108278	0.11135	0.143339	0.234404
a54	0.000787832	0.0015594	0.0087248	0.0423385	0.0697292	0.094581	0.108983	0.0981784	0.110473	0.171501	0.293143
a5	0.000458381	0.00110965	0.00648111	0.0445301	0.0974945	0.121933	0.147275	0.12354	0.115902	0.128579	0.212696
a62	0.000359497	0.00077449	0.00512376	0.0319023	0.0571401	0.0757637	0.105316	0.113711	0.143466	0.199658	0.266785
a88	0.000303017	0.000572626	0.00433651	0.0242112	0.0428064	0.0727927	0.102132	0.106593	0.15793	0.209043	0.279279
a70	0.000183022	0.00038109	0.0033914	0.0174144	0.032315	0.0562435	0.0820858	0.0913626	0.149715	0.232948	0.33396
a13	8.93341e-05	0.000191783	0.00176814	0.0121328	0.0237503	0.0419092	0.0642676	0.0776849	0.139551	0.251968	0.386687
a83	8.7746e-05	0.000124101	0.000744998	0.00733976	0.0167253	0.0411448	0.0905273	0.107952	0.195395	0.241193	0.298766
a96	7.47331e-05	0.000101932	0.000565711	0.00593194	0.0127145	0.0314535	0.0737777	0.100352	0.192527	0.258897	0.323604
a88	5.95568e-05	9.09065e-05	0.000475695	0.00480014	0.0105976	0.0252249	0.0561481	0.0850269	0.177603	0.262811	0.377162
a0	6.81111e-05	9.25119e-05	0.000377722	0.0035027	0.00702503	0.0163041	0.0392979	0.0653567	0.157466	0.267583	0.442926
a11	6.70539e-05	7.92052e-05	0.000357365	0.00306679	0.00612743	0.0167489	0.0450861	0.0663821	0.159856	0.260749	0.44148
a27	0.000122667	0.000140899	0.000569977	0.00441493	0.00873742	0.0238959	0.0582758	0.0740361	0.159039	0.242147	0.428621
a82	0.00173534	0.00177539	0.0039931	0.0180894	0.0287953	0.05385	0.0892407	0.0914636	0.168735	0.208	0.334322
a97	0.00499662	0.00385553	0.00866918	0.0230197	0.0353842	0.0537618	0.0854854	0.0842929	0.152916	0.217982	0.329637
a10	0.0582232	0.0267539	0.0305382	0.030045	0.0455459	0.054712	0.0889521	0.0946992	0.14199	0.202445	0.226095
a97	0.0297384	0.0137055	0.0265862	0.0318606	0.0613347	0.0731749	0.101792	0.102949	0.143188	0.215264	0.200407
a99	0.0174367	0.00975104	0.0243115	0.035764	0.0667135	0.0731338	0.0967094	0.102897	0.146582	0.220415	0.206285
a97	0.0169012	0.0115158	0.0315763	0.0542989	0.084927	0.0791214	0.0997692	0.111412	0.127575	0.193916	0.188987
a30	0.0131039	0.0105556	0.0283973	0.0449045	0.066158	0.0599128	0.0811063	0.102122	0.130759	0.228374	0.234607
</S>	0.01401	0.0103144	0.0251576	0.0437344	0.0575862	0.0524616	0.0729772	0.0985493	0.130137	0.242706	0.252367
