 	le	jour	baisse	</S>
a23	0.613212	0.17799	0.11779	0.0910081
a99	0.576971	0.14492	0.174291	0.103817
a53	0.508582	0.237466	0.176627	0.0773247
a56	0.687872	0.254128	0.039435	0.0185653
a32	0.430072	0.399926	0.136596	0.0334063
a25	0.380335	0.366383	0.190642	0.06264
a94	0.293815	0.32927	0.242987	0.133928
a76	0.277164	0.296358	0.277845	0.148634
a90	0.389785	0.268626	0.204528	0.137061
a94	0.235607	0.219807	0.338304	0.206282
a24	0.155627	0.168932	0.365761	0.30968
a98	0.135094	0.146736	0.319362	0.398808
a38	0.109687	0.122001	0.304086	0.464226
a20	0.0671589	0.0800509	0.272117	0.580673
a84	0.104671	0.106866	0.210576	0.577888
a57	0.0506344	0.0574738	0.153325	0.738566
a87	0.100081	0.0710364	0.171642	0.65724
a23	0.112398	0.100579	0.194367	0.592655
a10	0.161302	0.14148	0.202649	0.49457
</S>	0.107602	0.0736038	0.181324	0.63747
