 	c'	est	une	femme	d'	une	grande	beauté	</S>
a23	0.331778	0.207601	0.114544	0.110377	0.108849	0.0679676	0.0280618	0.0158031	0.0150188
a85	0.369091	0.233917	0.124868	0.110613	0.0769248	0.0394724	0.0182313	0.0105486	0.0163347
a87	0.229385	0.198371	0.144626	0.124721	0.0792105	0.0536396	0.0396398	0.038717	0.0916902
a23	0.223168	0.227536	0.174469	0.137072	0.0678273	0.0321398	0.0213036	0.0309826	0.0855015
a40	0.311813	0.221034	0.126247	0.0846878	0.0404698	0.027245	0.0298042	0.0512485	0.107451
a44	0.429959	0.255752	0.124732	0.0625154	0.0407466	0.0322937	0.0244802	0.0170864	0.0124341
a26	0.250604	0.212331	0.187714	0.138783	0.0986466	0.0594769	0.0254454	0.0152386	0.0117606
a38	0.195103	0.183778	0.186843	0.165957	0.122484	0.0746821	0.0298311	0.0223313	0.0189897
a20	0.148576	0.15406	0.171141	0.179926	0.14116	0.0983846	0.0427146	0.0337984	0.0302395
a94	0.136798	0.159652	0.175515	0.190982	0.146471	0.0891602	0.0423534	0.0313535	0.0277147
a24	0.136461	0.165288	0.177671	0.194649	0.147656	0.0964766	0.038749	0.0235651	0.0194853
a35	0.106737	0.145054	0.157697	0.185536	0.143332	0.122774	0.0678861	0.0389261	0.0320589
a90	0.0808759	0.129065	0.17532	0.217446	0.160207	0.120866	0.0565167	0.031191	0.0285121
a94	0.0825858	0.122306	0.16503	0.208252	0.158373	0.119166	0.0692777	0.0398698	0.03514
a38	0.0742185	0.0956633	0.127904	0.19339	0.144871	0.123657	0.0958845	0.0687707	0.0756407
a10	0.0650077	0.0762368	0.0922541	0.159853	0.130203	0.132559	0.131819	0.0979418	0.114126
a11	0.0338589	0.0383784	0.0513998	0.129285	0.108107	0.118153	0.157482	0.163665	0.199671
a53	0.0396163	0.0416099	0.0494362	0.110474	0.0981044	0.111869	0.159226	0.170542	0.219122
a76	0.0635668	0.0598611	0.0569455	0.0831164	0.0767753	0.100382	0.149669	0.161492	0.248192
a20	0.0364694	0.0368813	0.0345832	0.0465902	0.0539216	0.0899367	0.163401	0.207704	0.330513
a94	0.0267307	0.0212445	0.0174639	0.0241443	0.0256101	0.0501191	0.138076	0.239509	0.457103
a20	0.0244678	0.0192714	0.0149725	0.0202351	0.0200543	0.0379583	0.114812	0.250739	0.497489
a73	0.0246231	0.0169444	0.0142424	0.0258444	0.0305602	0.0601624	0.159007	0.242937	0.42568
a94	0.0188448	0.0151993	0.0134163	0.023881	0.0290832	0.0601248	0.180598	0.272215	0.386637
a76	0.0150616	0.0111843	0.00931096	0.0166559	0.0178629	0.0369954	0.123712	0.278351	0.490866
a73	0.0244722	0.0158729	0.0127421	0.019045	0.0205284	0.0371215	0.117997	0.289392	0.462829
a44	0.0231732	0.0170022	0.0138107	0.0205892	0.022317	0.0378634	0.111507	0.250654	0.503084
a58	0.0186312	0.0137664	0.0115299	0.0199376	0.0196737	0.0320251	0.0896171	0.226361	0.568458
a84	0.010494	0.00689549	0.00531347	0.00962552	0.0105465	0.0189482	0.0633741	0.192488	0.682315
a57	0.0113105	0.00651771	0.00408874	0.00699416	0.00902806	0.0155298	0.0562169	0.181292	0.709022
a87	0.0102413	0.00581068	0.00327672	0.00402791	0.00435466	0.00763481	0.0396253	0.168915	0.756114
</S>	0.0310801	0.0162556	0.0107005	0.0108029	0.0131653	0.0250167	0.0808536	0.214112	0.598013
