 	j'	ai	déjà	souffert	du	mwanza	</S>
a66	0.426486	0.33574	0.133282	0.0503781	0.0304597	0.0139657	0.00968762
a87	0.335332	0.333272	0.155985	0.0863336	0.0471894	0.021397	0.0204912
a23	0.357484	0.348651	0.217902	0.0460946	0.0125226	0.00739839	0.0099468
a87	0.38048	0.37975	0.149985	0.0361849	0.0167751	0.0151798	0.0216451
a23	0.447017	0.404778	0.109401	0.0163343	0.00643228	0.00643276	0.00960471
a38	0.385199	0.320968	0.107685	0.0406168	0.0367623	0.0523216	0.0564476
a54	0.337151	0.226863	0.105987	0.0863503	0.0832711	0.0960799	0.0642982
a7	0.0554852	0.075546	0.100473	0.251123	0.303512	0.147461	0.0664005
a69	0.0302828	0.0338068	0.0517851	0.179145	0.389723	0.227194	0.0880633
a58	0.0360705	0.0426322	0.0688909	0.169501	0.332807	0.227611	0.122487
a53	0.0300882	0.0244874	0.030523	0.0566966	0.213205	0.368125	0.276875
a69	0.0130319	0.00907379	0.0147079	0.0437952	0.197904	0.358983	0.362504
a7	0.00513784	0.00321642	0.00583957	0.0231837	0.132441	0.354143	0.476038
a26	0.000920247	0.000505534	0.000746363	0.0040627	0.0343527	0.279873	0.67954
a57	0.0139136	0.0123924	0.0133792	0.0241346	0.0737465	0.276528	0.585906
a87	0.217419	0.243226	0.137033	0.0589295	0.0579041	0.107475	0.178013
a23	0.184315	0.211188	0.222241	0.14325	0.0996088	0.0765857	0.0628103
a87	0.151771	0.137018	0.107463	0.0537324	0.0748728	0.169488	0.305655
</S>	0.0349179	0.0256208	0.0221402	0.0232119	0.0844569	0.343618	0.466034
