 	l'	enfant	se	vante	devant	son	père	parce	qu'	il	vient	d'	avoir	une	nouvelle	voiture	</S>
a66	0.117538	0.0863351	0.0660192	0.0703407	0.0871154	0.12558	0.120952	0.0970326	0.0732365	0.0520918	0.0389962	0.0212976	0.0118293	0.00800948	0.00833891	0.00823659	0.00705055
a87	0.14848	0.0758504	0.0512232	0.0470238	0.0532437	0.0723837	0.077741	0.0692084	0.0590405	0.0460348	0.0373517	0.0255909	0.0231144	0.030892	0.0523501	0.0670537	0.0634181
a23	0.193451	0.101645	0.0568206	0.0441819	0.0353248	0.044724	0.0447651	0.0407418	0.0498196	0.0643192	0.0542678	0.044265	0.0315658	0.0362294	0.0414822	0.0478711	0.068526
a54	0.17195	0.119797	0.0848685	0.0617271	0.0493836	0.0526453	0.0453959	0.0462408	0.0533312	0.0494933	0.0426986	0.0309732	0.0211284	0.0264573	0.034605	0.0467778	0.0625271
a92	0.15881	0.113622	0.0689835	0.0428698	0.039286	0.0458645	0.046059	0.039823	0.0356971	0.0295694	0.0286885	0.0251191	0.0286694	0.0468792	0.0789133	0.085758	0.0853881
a6	0.145805	0.121416	0.0973198	0.065147	0.0591476	0.0590309	0.0486925	0.0408969	0.0396408	0.0327222	0.0318454	0.0252839	0.0269213	0.0366093	0.058566	0.0534602	0.0574947
a47	0.137494	0.104784	0.0873407	0.0624498	0.0566017	0.0527882	0.0459227	0.0410119	0.0400689	0.034169	0.0355812	0.0295732	0.0335296	0.0397674	0.0617069	0.064307	0.072904
a36	0.116834	0.107952	0.113025	0.0916653	0.079539	0.0589594	0.0494816	0.0430151	0.0365812	0.0275878	0.0220427	0.0157078	0.0192304	0.0232659	0.0485747	0.0644657	0.082072
a0	0.150778	0.132583	0.136185	0.116211	0.0938101	0.0608301	0.0465686	0.0373746	0.031794	0.0245283	0.0206367	0.0157297	0.0165492	0.0162787	0.02635	0.0311073	0.0426861
a56	0.109476	0.112727	0.118645	0.116239	0.0934954	0.0710368	0.0579876	0.0530125	0.049053	0.0432329	0.0344227	0.0276968	0.0261211	0.0211747	0.0208684	0.0193932	0.0254174
a25	0.0804131	0.0887975	0.100773	0.113231	0.100454	0.0911947	0.0742325	0.066972	0.060023	0.0491612	0.0403159	0.0304182	0.0259879	0.019769	0.018762	0.0173887	0.0221064
a69	0.0457726	0.0631421	0.0936041	0.115315	0.108087	0.0937983	0.0868517	0.0766429	0.0644081	0.0513852	0.0373642	0.0268206	0.0252	0.0190422	0.0239996	0.028351	0.040215
a90	0.0204044	0.0313855	0.052431	0.0860679	0.0958222	0.0978333	0.0874743	0.0872365	0.0871155	0.0780202	0.0625221	0.0435557	0.0346533	0.0248904	0.0280295	0.0350507	0.0475076
a92	0.0106584	0.0153111	0.0253348	0.050062	0.0677135	0.0787283	0.0859762	0.0887218	0.0819507	0.0735016	0.0651711	0.0533081	0.0516922	0.0440228	0.0503071	0.0657181	0.0918222
a98	0.00879215	0.0130592	0.022125	0.0463984	0.0643039	0.0798044	0.0918026	0.088818	0.0795033	0.0719101	0.0690787	0.06163	0.0696921	0.0535698	0.0482452	0.056259	0.0750082
a6	0.00572981	0.00856625	0.0156961	0.0359122	0.0599335	0.0826526	0.106753	0.104	0.0907603	0.0784713	0.065171	0.0525524	0.0623436	0.0437879	0.0446331	0.0599575	0.08308
a36	0.00407391	0.0057593	0.00984386	0.0220794	0.0407723	0.0659825	0.0933058	0.0995967	0.0955725	0.0856501	0.0714635	0.0549962	0.0618081	0.0463307	0.0539359	0.0805348	0.108294
a85	0.00398853	0.00496227	0.00720735	0.0142153	0.0235019	0.0430711	0.0708219	0.0926904	0.0992436	0.0899727	0.0753115	0.0523841	0.0562171	0.0412787	0.0575597	0.105783	0.161791
a6	0.002888	0.00351551	0.00526143	0.0101387	0.0184423	0.0340315	0.0614931	0.0788452	0.0819623	0.079384	0.0712948	0.0579406	0.0793147	0.0669575	0.0739083	0.115127	0.159495
a0	0.00287287	0.00358575	0.00561118	0.0111686	0.0201547	0.0354284	0.0603125	0.076514	0.0814017	0.082386	0.0759095	0.0636987	0.0830015	0.0673884	0.0716735	0.111416	0.147476
a37	0.00387913	0.00422111	0.00517563	0.00934323	0.0148345	0.0260132	0.0453464	0.0761822	0.0938944	0.0884771	0.0787103	0.0525303	0.0574397	0.0362682	0.0547461	0.125128	0.22781
a75	0.00750099	0.00750604	0.00717455	0.00953042	0.0125938	0.0206026	0.0315287	0.0535481	0.0821971	0.0935233	0.103333	0.0650089	0.0696134	0.0424181	0.0572676	0.126732	0.209921
a92	0.00182673	0.0019514	0.00260469	0.00471	0.00722247	0.0120013	0.0233433	0.0390144	0.0537713	0.0625411	0.0679405	0.0543753	0.0862656	0.0788833	0.0930513	0.167332	0.243165
a37	0.00114733	0.00135087	0.00202264	0.00398939	0.00687202	0.0122779	0.023627	0.0388974	0.0511032	0.0570939	0.0593462	0.0549835	0.0880788	0.0978422	0.121007	0.169265	0.211096
a61	0.0024545	0.00266762	0.00308355	0.00535306	0.00823072	0.013949	0.0238467	0.0389964	0.0529743	0.0567088	0.0566448	0.0381087	0.0533919	0.0545796	0.0986378	0.196189	0.294184
a75	0.00271564	0.003172	0.00409906	0.00630656	0.00892555	0.0140926	0.0235002	0.0402659	0.0573572	0.0619731	0.0643479	0.0491377	0.0709753	0.0732684	0.115661	0.182584	0.221618
a25	0.00142526	0.00171419	0.00239122	0.00401226	0.00615861	0.00960239	0.015607	0.0250191	0.0351321	0.0401283	0.0441097	0.0344967	0.0571171	0.070908	0.146969	0.229714	0.275495
a69	0.000825367	0.000847871	0.00105495	0.00177732	0.00272744	0.00434474	0.00849372	0.0152258	0.0206467	0.0242627	0.0255369	0.019972	0.034209	0.0488956	0.122868	0.270179	0.398133
a90	0.00252187	0.00246728	0.00249289	0.00347322	0.00472411	0.00686122	0.0113158	0.0163819	0.0237028	0.0309361	0.0399056	0.0281516	0.0407232	0.0521386	0.109704	0.263223	0.361277
a79	0.00198976	0.00186744	0.00196909	0.0030494	0.00443246	0.00665987	0.0115112	0.017397	0.0257729	0.0372108	0.0506387	0.037358	0.0530351	0.0624476	0.116324	0.245234	0.323103
a94	0.00177261	0.00169337	0.00175219	0.00258921	0.0037168	0.00592694	0.0108042	0.0172025	0.0264056	0.0367152	0.0445944	0.0312773	0.0447665	0.0553283	0.112773	0.252456	0.350226
a62	0.00159666	0.00155991	0.00164328	0.00219249	0.00308127	0.00492208	0.00823152	0.0102235	0.0136642	0.0181072	0.0230677	0.0184551	0.0293236	0.0417114	0.113579	0.296879	0.411762
a21	0.00184629	0.00201621	0.00249484	0.00363415	0.00530676	0.0080843	0.0122587	0.0145062	0.0173598	0.0201008	0.0238768	0.0187605	0.0279726	0.0400043	0.108185	0.286022	0.40757
a85	0.00116447	0.00120591	0.00141718	0.00192125	0.00268077	0.00401393	0.0064256	0.00883947	0.0118151	0.0145943	0.0171655	0.0151092	0.0287082	0.0495295	0.139758	0.288825	0.406826
a47	0.00138126	0.00141203	0.00158478	0.00215932	0.0028276	0.00396108	0.00658979	0.00958585	0.0123037	0.0154994	0.0198238	0.0157546	0.0276016	0.0401583	0.100505	0.2652	0.473651
a36	0.000356499	0.000360861	0.000480817	0.000826701	0.00135208	0.0018979	0.0038193	0.00636664	0.00804307	0.0101452	0.0109584	0.00962168	0.0189873	0.0392527	0.110884	0.27841	0.498237
a54	0.003259	0.00311796	0.0031516	0.00375144	0.0049812	0.00715187	0.0115067	0.0132261	0.0158819	0.0198035	0.021701	0.0160023	0.0252621	0.0465158	0.115594	0.28125	0.407843
a6	0.00094774	0.000975276	0.00108723	0.00147344	0.00220299	0.00340759	0.00669986	0.00932632	0.0119929	0.0160445	0.0173866	0.0136272	0.0255602	0.0504498	0.125528	0.288913	0.424378
a36	0.000875548	0.00103946	0.00135584	0.00193874	0.00308002	0.00488349	0.00887247	0.0118193	0.0144099	0.0189576	0.0216928	0.0179619	0.0317675	0.0578905	0.131999	0.285067	0.386389
a26	0.00255991	0.00256649	0.00322806	0.00399611	0.00623431	0.00850817	0.0134298	0.0139418	0.0169987	0.0220935	0.0219041	0.0206348	0.0326725	0.0541702	0.131298	0.284892	0.360871
a57	0.0286063	0.0186722	0.0178167	0.0203136	0.0265401	0.0401496	0.061868	0.0724674	0.0955342	0.0980271	0.0742251	0.0557076	0.0666814	0.061909	0.0649232	0.0909058	0.105653
a87	0.0507652	0.025357	0.0176263	0.0179092	0.0199213	0.0368456	0.0548134	0.0599921	0.0852485	0.0938561	0.0761303	0.0595342	0.0717746	0.0815032	0.0710034	0.0875461	0.0901737
a23	0.0448019	0.0244718	0.0162584	0.0167608	0.0190969	0.0361842	0.054047	0.0628511	0.0889652	0.103438	0.0870337	0.0723786	0.0727302	0.07935	0.0694972	0.0750431	0.0770923
a99	0.0308426	0.0149952	0.00738549	0.00636571	0.00619219	0.01034	0.0152073	0.0175029	0.0202052	0.0219796	0.0203437	0.0235655	0.0352368	0.0960461	0.185486	0.218397	0.269909
a3	0.023302	0.00992438	0.00581543	0.00660774	0.00800686	0.0141846	0.0222937	0.0243973	0.0266013	0.0261667	0.0225376	0.0231595	0.033145	0.0756994	0.15831	0.203342	0.316506
</S>	0.0100671	0.00564904	0.0046112	0.00656392	0.00877722	0.014073	0.0215131	0.0219837	0.0221198	0.0200942	0.0144678	0.0118693	0.0157232	0.0396329	0.120608	0.238078	0.424169
