 	il	est	arrivé	dans	l'	après-midi	</S>
a23	0.449076	0.273348	0.0947129	0.0494753	0.0302851	0.0406672	0.0624354
a85	0.445274	0.296223	0.119872	0.0585922	0.0231627	0.0185294	0.0383467
a87	0.307587	0.204798	0.0896059	0.0651969	0.0499675	0.0843073	0.198537
a23	0.331701	0.253871	0.112924	0.0834649	0.0483745	0.0489111	0.120753
a79	0.179129	0.149982	0.0665768	0.0696567	0.0543135	0.114043	0.3663
a20	0.319354	0.247677	0.111877	0.0783177	0.0481711	0.0671687	0.127435
a73	0.278746	0.255609	0.197338	0.131935	0.0665143	0.0357713	0.0340854
a2	0.223024	0.231821	0.224602	0.159891	0.0931169	0.0388943	0.0286513
a24	0.128171	0.143142	0.21299	0.198345	0.14626	0.0852735	0.0858193
a12	0.133951	0.156169	0.175152	0.163338	0.149833	0.116999	0.104559
a24	0.11299	0.13415	0.173681	0.184667	0.175654	0.122275	0.0965836
a41	0.0916923	0.104685	0.135761	0.154687	0.179605	0.161202	0.172367
a32	0.0752724	0.0826446	0.112864	0.151149	0.207159	0.179027	0.191884
a76	0.0627914	0.0715986	0.0824591	0.106188	0.161758	0.213213	0.301992
a69	0.0443032	0.0465458	0.069609	0.120939	0.221644	0.245447	0.251512
a58	0.0282046	0.0291968	0.0463279	0.091921	0.208866	0.273418	0.322066
a84	0.0325099	0.0309628	0.034746	0.0527195	0.124258	0.252923	0.47188
a53	0.0109895	0.0108779	0.0124904	0.0180145	0.0470708	0.207578	0.692979
a69	0.00936821	0.00858848	0.00988832	0.0203707	0.0626376	0.235473	0.653674
a58	0.00727109	0.00643364	0.00980067	0.024881	0.0824739	0.244313	0.624827
a84	0.00347808	0.00333154	0.00451994	0.0137036	0.0486329	0.210677	0.715657
a87	0.001696	0.00171069	0.00173007	0.00541587	0.0245853	0.159523	0.805339
</S>	0.00984639	0.0100133	0.0101799	0.036111	0.112052	0.2238	0.597997
