 	si	tu	accomplis	des	actes	justes	devant	dieu	tu	auras	une	longue	vie	</S>
a66	0.211845	0.26283	0.18576	0.110619	0.077365	0.0585738	0.0286283	0.0283842	0.0146858	0.00978005	0.005021	0.00342688	0.00156626	0.00151531
a87	0.371949	0.194395	0.0461853	0.0252357	0.0505368	0.0569112	0.0392965	0.0478183	0.0241452	0.0242895	0.0193725	0.0276727	0.0275751	0.0446174
a23	0.167182	0.11508	0.0962552	0.0692245	0.0693394	0.0963854	0.0752769	0.0873423	0.0550247	0.0582844	0.0410819	0.0274056	0.0169199	0.0251982
a53	0.122698	0.115875	0.0521224	0.0819465	0.0858357	0.123775	0.0691289	0.0783129	0.0502229	0.0575623	0.0510392	0.0482489	0.0282899	0.0349432
a20	0.176641	0.226476	0.115715	0.0902541	0.0583737	0.0551101	0.0349201	0.0360913	0.0259584	0.0276261	0.0321086	0.0416927	0.0317249	0.0473081
a47	0.171627	0.264717	0.161759	0.12136	0.0552859	0.0503543	0.0193538	0.0180722	0.0139566	0.0144726	0.0194283	0.0316043	0.0238122	0.0341963
a92	0.132298	0.216723	0.166657	0.135203	0.0656491	0.0577396	0.0218545	0.018383	0.0181864	0.0217277	0.0230055	0.0472969	0.0314706	0.043806
a98	0.107595	0.172211	0.155906	0.158005	0.0926871	0.0835348	0.036531	0.0285591	0.027563	0.0301312	0.0274486	0.0357992	0.0200485	0.0239804
a79	0.0567435	0.0887266	0.118178	0.147087	0.106355	0.0836874	0.052703	0.042957	0.0527792	0.0588992	0.0479045	0.0506315	0.0372289	0.05612
a7	0.0703862	0.106768	0.155107	0.176525	0.13533	0.0985292	0.053163	0.0410937	0.0413121	0.0391374	0.0235176	0.0176719	0.0150213	0.0264381
a75	0.0767033	0.105705	0.137065	0.171913	0.13688	0.120708	0.0588301	0.0490099	0.0392929	0.0344591	0.0209088	0.0161007	0.0130306	0.0193942
a5	0.0515935	0.0754858	0.111457	0.152131	0.127518	0.112245	0.0713639	0.0668539	0.0649044	0.061777	0.0347665	0.0214178	0.0200392	0.0284467
a36	0.0393573	0.05603	0.0828563	0.135079	0.129139	0.123479	0.0873171	0.090819	0.0845334	0.0767342	0.0368995	0.0193756	0.0166894	0.0216916
a26	0.0229033	0.0301805	0.047753	0.091819	0.120174	0.146703	0.119233	0.127686	0.107662	0.0848829	0.0334971	0.0188414	0.0182721	0.0303931
a90	0.0140587	0.0158144	0.0284594	0.0495729	0.118536	0.152902	0.146107	0.137035	0.138983	0.0933942	0.0312274	0.0180241	0.0202656	0.0356224
a25	0.0183335	0.023113	0.040367	0.0644511	0.0882894	0.109029	0.106674	0.120467	0.106591	0.0859135	0.0465217	0.0301228	0.0498024	0.110325
a92	0.00995376	0.0128594	0.0275948	0.0434844	0.0743103	0.105081	0.120955	0.126403	0.147641	0.115795	0.0479014	0.0254242	0.0450773	0.0975197
a12	0.0100276	0.0136096	0.0288363	0.0377033	0.0582159	0.0993113	0.101638	0.111089	0.117276	0.112817	0.0692929	0.0456668	0.0705407	0.123975
a47	0.00425022	0.00506739	0.0102342	0.0177522	0.0458643	0.109895	0.135503	0.163191	0.163889	0.132155	0.058225	0.0318901	0.0427408	0.079342
a88	0.00377782	0.00456348	0.00939091	0.0150302	0.0494482	0.111825	0.142801	0.156472	0.181925	0.137589	0.0484482	0.02236	0.0351012	0.0812683
a71	0.00485014	0.00543613	0.00916125	0.010823	0.0373374	0.0918194	0.116747	0.144636	0.201581	0.171084	0.0653593	0.0317651	0.0361133	0.0732864
a62	0.00684851	0.00757822	0.0101344	0.0102104	0.0346045	0.0773467	0.104157	0.127731	0.195369	0.186352	0.0737368	0.0431368	0.0396599	0.083135
a21	0.00372796	0.0040624	0.00582814	0.00629406	0.0196444	0.0516715	0.0771274	0.101867	0.18609	0.202299	0.101229	0.0594391	0.062058	0.118662
a47	0.0103634	0.0103116	0.0134824	0.0139988	0.0211131	0.052366	0.065016	0.098413	0.133924	0.160056	0.120708	0.0914514	0.084263	0.124533
a62	0.00352769	0.00418813	0.00658393	0.0115284	0.030681	0.0601357	0.0817916	0.103069	0.181956	0.186994	0.105307	0.0676371	0.0622479	0.0943527
a18	0.00540747	0.00546971	0.00854533	0.0125573	0.0296532	0.0766984	0.0901362	0.129811	0.154788	0.152799	0.0985856	0.0701274	0.0667763	0.0986449
a62	0.00343336	0.00391963	0.00558709	0.00633984	0.0176123	0.0428696	0.0566341	0.0801058	0.155135	0.198991	0.0960484	0.0841372	0.0897424	0.159444
a93	0.00373336	0.00389377	0.00603874	0.00794259	0.0217998	0.0596511	0.0744011	0.104963	0.148452	0.146764	0.0987374	0.0901491	0.0953243	0.13815
a70	0.00307089	0.00340459	0.00550345	0.00790841	0.0220182	0.0579426	0.0701499	0.0999152	0.1358	0.13425	0.0989046	0.106657	0.111789	0.142685
a96	0.00222571	0.00263784	0.00384715	0.00445297	0.0119623	0.0284167	0.0384389	0.0548342	0.106346	0.133663	0.0923662	0.133756	0.175437	0.211616
