 	grande	brousse	qui	pousse	après	la	plantation	</S>
a85	0.309594	0.17064	0.137962	0.11791	0.082079	0.0627229	0.0552849	0.0638079
a87	0.214109	0.102711	0.0893431	0.11446	0.102456	0.0994173	0.121719	0.155786
a23	0.168253	0.183866	0.171737	0.156578	0.0985396	0.0712449	0.069676	0.0801062
a87	0.260904	0.182353	0.143905	0.0874061	0.0562189	0.0594356	0.0838949	0.125882
a10	0.20493	0.181318	0.134679	0.086903	0.0714504	0.0813789	0.103813	0.135528
a87	0.230702	0.167495	0.119055	0.0711941	0.0591343	0.0716396	0.110913	0.169866
a23	0.186337	0.168425	0.117102	0.076373	0.0678435	0.0847387	0.125249	0.173931
a24	0.292259	0.167547	0.104464	0.0548594	0.0476997	0.0603698	0.103967	0.168834
a0	0.392235	0.325909	0.17714	0.048229	0.0163852	0.0120704	0.0134749	0.0145574
a11	0.28158	0.333302	0.226003	0.0767174	0.0276339	0.0187753	0.0181549	0.0178334
a94	0.177932	0.270734	0.232938	0.121927	0.0631145	0.0462537	0.0435513	0.0435493
a70	0.150651	0.245442	0.239858	0.151769	0.0773691	0.0516131	0.0445614	0.0387362
a13	0.200428	0.269807	0.25856	0.163356	0.0542214	0.0232918	0.0163024	0.0140337
a9	0.169168	0.24447	0.246068	0.173924	0.0752795	0.0364481	0.0279544	0.0266867
a99	0.129583	0.188666	0.200699	0.171215	0.110691	0.0665312	0.060997	0.0716177
a87	0.110443	0.160061	0.172956	0.157182	0.112716	0.0803672	0.0883867	0.117889
a23	0.182179	0.199924	0.22754	0.17726	0.0876448	0.0481172	0.0389992	0.0383352
a83	0.11458	0.153389	0.166814	0.178668	0.113086	0.0720744	0.0862984	0.115091
a24	0.183331	0.227709	0.211321	0.157914	0.0850521	0.0541596	0.0441653	0.0363471
a26	0.139643	0.187266	0.20257	0.199656	0.124496	0.0701842	0.0446162	0.0315689
a24	0.119285	0.166884	0.185302	0.199935	0.141594	0.0814482	0.0558486	0.0497031
