 	cette	saison	ce	safoutier	a	gardé	ses	fruits	</S>
a66	0.266462	0.129737	0.101505	0.114252	0.137232	0.134492	0.0577564	0.0327029	0.0258601
a87	0.175886	0.155359	0.119052	0.0989438	0.08635	0.0859148	0.0712231	0.0931779	0.114093
a23	0.462461	0.281719	0.101637	0.04739	0.0287752	0.021842	0.0150227	0.0175318	0.0236213
a83	0.398966	0.29892	0.123682	0.0548163	0.0354463	0.0231282	0.0167944	0.0200091	0.0282367
a12	0.368218	0.188481	0.0908566	0.0650406	0.0618354	0.049646	0.0492062	0.0593081	0.067409
a61	0.297835	0.282351	0.152084	0.087425	0.0597643	0.0357399	0.0292495	0.0274267	0.0281244
a56	0.189254	0.254555	0.201912	0.128448	0.0785878	0.044445	0.0347476	0.0320549	0.0359948
a21	0.132922	0.227579	0.2444	0.179723	0.096517	0.0445826	0.0258142	0.0225696	0.0258933
a5	0.104411	0.180484	0.245327	0.213144	0.124533	0.0589326	0.0287759	0.0214755	0.0229173
a36	0.0922263	0.142789	0.216561	0.227372	0.152435	0.075041	0.0361857	0.027712	0.0296788
a79	0.0624409	0.0806822	0.17136	0.253259	0.19588	0.100133	0.0473083	0.0418709	0.0470655
a56	0.0469442	0.053148	0.108297	0.192617	0.200664	0.137089	0.0834555	0.0804069	0.0973781
a75	0.0441445	0.0532182	0.105407	0.181776	0.210658	0.162806	0.0977924	0.0710775	0.0731201
a85	0.0260775	0.0275765	0.0610281	0.133899	0.187899	0.164244	0.145777	0.124899	0.128599
a47	0.0163738	0.0171751	0.0435466	0.106154	0.180829	0.170272	0.165889	0.143857	0.155903
a25	0.0177317	0.0152074	0.0243794	0.0588001	0.137048	0.134516	0.155102	0.173764	0.283452
a69	0.0169099	0.0160505	0.0255051	0.047311	0.0870536	0.0799938	0.12111	0.205868	0.400198
a40	0.017295	0.013615	0.0169599	0.0286431	0.0602614	0.0908974	0.155023	0.230984	0.386321
a85	0.0132695	0.00965061	0.0107707	0.0159978	0.0325961	0.0553533	0.147693	0.25621	0.458458
a6	0.00427076	0.00370674	0.00493188	0.00883892	0.0216154	0.034981	0.125222	0.281671	0.514763
a36	0.00387225	0.00325957	0.00430838	0.00839356	0.0221503	0.0383787	0.128731	0.284446	0.50646
a27	0.00480228	0.00332096	0.00341677	0.00411179	0.0078155	0.0135617	0.0680585	0.244992	0.64992
a57	0.043042	0.0307505	0.0295903	0.028013	0.0333558	0.0349789	0.0886849	0.207394	0.504191
a87	0.220964	0.121489	0.0703742	0.0531946	0.0511523	0.0511298	0.0779029	0.124948	0.228846
a23	0.384292	0.194411	0.0677461	0.0419904	0.0361215	0.0388772	0.0594467	0.0758921	0.101223
a99	0.200369	0.089694	0.0407724	0.0327586	0.0378643	0.0535224	0.113756	0.185321	0.245941
a97	0.0725887	0.0451072	0.0376009	0.0453948	0.0607858	0.0684508	0.127242	0.214194	0.328636
a30	0.0647055	0.0464102	0.0434758	0.0582439	0.0690984	0.0688669	0.113858	0.19593	0.339411
</S>	0.0868881	0.056354	0.047824	0.0626121	0.07035	0.0657802	0.102174	0.182789	0.325229
