 	ton	mari	est	poignardé	</S>
a66	0.321918	0.230708	0.241838	0.142086	0.06345
a87	0.247497	0.27329	0.276941	0.135167	0.0671059
a23	0.591062	0.288174	0.0792328	0.0209737	0.0205573
a30	0.634054	0.252015	0.0614078	0.0220289	0.0304946
a70	0.607453	0.228426	0.0785577	0.0379713	0.0475914
a34	0.432313	0.290755	0.169848	0.0606143	0.0464697
a44	0.30598	0.33173	0.26142	0.0669215	0.0339485
a98	0.183029	0.260625	0.353807	0.136205	0.0663344
a92	0.130694	0.21831	0.329187	0.204139	0.11767
a37	0.143237	0.207588	0.334185	0.188971	0.126019
a6	0.184416	0.21241	0.292271	0.177202	0.133701
a37	0.155837	0.180537	0.257672	0.207484	0.198471
a98	0.138662	0.153895	0.236139	0.24134	0.229964
a25	0.0546489	0.0827435	0.204936	0.348641	0.309031
a90	0.03306	0.0487277	0.120021	0.293958	0.504233
a44	0.0290228	0.0334254	0.0724804	0.25688	0.608192
a98	0.0286053	0.0280816	0.0420692	0.182161	0.719083
a47	0.00819282	0.0105039	0.026318	0.198344	0.756641
a37	0.00417296	0.0048241	0.0139639	0.144182	0.832857
a47	0.0187421	0.0170042	0.0229553	0.110068	0.83123
a36	0.0140229	0.0137194	0.0221721	0.126595	0.823491
a2	0.0561054	0.0519324	0.065292	0.157308	0.669362
a57	0.136035	0.110223	0.128242	0.197704	0.427797
a3	0.447523	0.212437	0.101723	0.094575	0.143743
a10	0.396388	0.24693	0.13907	0.0973025	0.12031
a87	0.253002	0.191135	0.154528	0.152722	0.248612
a23	0.192396	0.157537	0.157267	0.187149	0.305652
a87	0.15713	0.117456	0.0819743	0.139377	0.504062
a23	0.0970655	0.0882007	0.0775158	0.182817	0.554402
a87	0.151715	0.132684	0.100757	0.168596	0.446248
</S>	0.15637	0.128326	0.11366	0.194184	0.407459
