 	j'	ai	soif	donne-moi	de	la	bière	</S>
a23	0.270177	0.128726	0.193944	0.126973	0.118866	0.0732596	0.0465265	0.0415276
a85	0.570472	0.142282	0.0999864	0.101908	0.0386155	0.0142881	0.0119497	0.0204985
a87	0.307925	0.214371	0.215731	0.0871044	0.0323491	0.0252512	0.0401397	0.0771284
a23	0.286772	0.267513	0.268468	0.0883704	0.0205972	0.0086456	0.0178292	0.0418052
a38	0.277676	0.228178	0.255286	0.103768	0.0374746	0.0167669	0.0277974	0.0530522
a24	0.364087	0.299935	0.218793	0.0692551	0.0217848	0.00985227	0.00789012	0.00840357
a38	0.283729	0.314106	0.252706	0.0963111	0.0299591	0.0104948	0.00613319	0.00656176
a24	0.240289	0.281269	0.249859	0.142946	0.0494715	0.0174377	0.0090982	0.00962896
a35	0.177073	0.246672	0.219128	0.17945	0.0950289	0.0439888	0.0199184	0.0187415
a73	0.127054	0.183584	0.198084	0.283842	0.126788	0.0461779	0.0179249	0.0165458
a26	0.0938271	0.129053	0.193857	0.29182	0.155188	0.06566	0.0348655	0.0357305
a76	0.045067	0.0684706	0.102626	0.23946	0.226364	0.142508	0.0895815	0.0859224
a94	0.0792678	0.113487	0.19773	0.274306	0.141279	0.0877752	0.0556143	0.0505416
a11	0.070411	0.0804794	0.116005	0.199483	0.145196	0.146357	0.127742	0.114328
a76	0.051833	0.0532724	0.0674885	0.154129	0.164523	0.168144	0.172294	0.168316
a94	0.0789451	0.0647234	0.0741291	0.0969594	0.143038	0.167658	0.169246	0.205301
a76	0.0314103	0.0256238	0.0285247	0.0533687	0.111283	0.194596	0.273881	0.281312
a73	0.037315	0.0291508	0.0355703	0.0464867	0.10832	0.19453	0.285229	0.263397
a84	0.016335	0.0138772	0.0204362	0.0421082	0.105289	0.201846	0.298715	0.301394
a57	0.0111902	0.0110321	0.0117182	0.0365899	0.0987967	0.153135	0.256333	0.421204
a97	0.0192223	0.0107949	0.012034	0.0268815	0.0726618	0.12976	0.259898	0.468748
a3	0.0126305	0.0079421	0.00883597	0.0245957	0.070612	0.140809	0.292171	0.442403
a53	0.0194165	0.0129818	0.0155005	0.0688909	0.155605	0.228188	0.245879	0.253539
a94	0.0465875	0.031709	0.0223074	0.0287272	0.0322437	0.0759661	0.248773	0.513686
a54	0.0255834	0.0131197	0.0117573	0.0197355	0.0312834	0.0854162	0.302293	0.510812
a73	0.0207399	0.0106398	0.0119883	0.0215818	0.0408326	0.106635	0.306346	0.481236
a94	0.00311403	0.00302382	0.00504406	0.0151236	0.0335113	0.0953073	0.326887	0.517989
a73	0.00216564	0.0017502	0.00244506	0.00705549	0.0163291	0.0552809	0.285741	0.629232
a94	0.00647806	0.00407005	0.00544047	0.0133293	0.0277305	0.0874721	0.318789	0.53669
a76	0.00504217	0.00313673	0.00403057	0.00891237	0.019607	0.0734615	0.301827	0.583983
a56	0.0114347	0.00649658	0.00714292	0.0124874	0.0308709	0.101602	0.322085	0.50788
a96	0.00670842	0.00535013	0.00791867	0.0154471	0.0226172	0.063014	0.26007	0.618874
a88	0.0072069	0.00433258	0.00564144	0.0131804	0.0185544	0.0515735	0.24072	0.658791
a71	0.0043959	0.00322557	0.00374378	0.00967772	0.0129644	0.0440343	0.244132	0.677827
a9	0.00436095	0.00240618	0.00285159	0.01256	0.0236655	0.0679188	0.253807	0.63243
a87	0.00408032	0.00287921	0.00307583	0.00933309	0.0184799	0.0508995	0.197944	0.713308
</S>	0.00671636	0.0068346	0.00485638	0.00827319	0.013741	0.0441166	0.165833	0.749628
