 	le	vrombissement	du	bateau	réveille	les	gens	</S>
a87	0.209705	0.134244	0.202981	0.27983	0.0952024	0.0389853	0.0230293	0.0160231
a23	0.159521	0.142826	0.163819	0.133762	0.0658366	0.0623838	0.113062	0.158789
a38	0.165925	0.227179	0.177167	0.115938	0.0689963	0.0571777	0.0727789	0.114838
a56	0.290825	0.218598	0.17726	0.120506	0.0628645	0.0414941	0.0389362	0.0495163
a34	0.43858	0.156726	0.190292	0.119549	0.035458	0.0238077	0.0158962	0.0196902
a93	0.396707	0.202605	0.210958	0.117159	0.0311197	0.0184135	0.0110174	0.0120201
a4	0.366857	0.175063	0.201538	0.11959	0.0447963	0.0364855	0.0255117	0.0301587
a98	0.253951	0.165737	0.168018	0.12183	0.0727338	0.0781264	0.0619334	0.0776715
a79	0.20174	0.168759	0.196809	0.143073	0.0861248	0.0713245	0.0604406	0.0717293
a11	0.229456	0.214396	0.226343	0.145702	0.0711216	0.0465928	0.0320371	0.034352
a90	0.216003	0.261572	0.223259	0.127475	0.0643402	0.0471353	0.0294774	0.0307375
a25	0.174119	0.207853	0.157556	0.11121	0.0887556	0.0915733	0.0754889	0.0934438
a44	0.13997	0.180096	0.173909	0.129427	0.0891122	0.0984098	0.0876294	0.101447
a53	0.122747	0.289315	0.228577	0.150339	0.0726892	0.0510948	0.0397227	0.0455157
a15	0.103524	0.210964	0.148922	0.115931	0.097029	0.106367	0.101387	0.115875
a98	0.0601546	0.117241	0.0740972	0.0637879	0.109574	0.148133	0.189662	0.23735
a92	0.0461846	0.102232	0.0655533	0.0620595	0.0974399	0.134568	0.205537	0.286425
a85	0.0570472	0.126976	0.0600182	0.0565958	0.125683	0.141641	0.185824	0.246215
a37	0.0353727	0.0591196	0.034265	0.0346051	0.0910453	0.131576	0.237194	0.376822
a96	0.0315958	0.082013	0.0414794	0.0404469	0.134409	0.184893	0.212726	0.272437
a75	0.0233137	0.058044	0.0251386	0.0236323	0.118797	0.199419	0.246529	0.305127
a5	0.0256153	0.0538345	0.0225518	0.0194843	0.0743811	0.144164	0.261072	0.398897
a11	0.0244865	0.0477044	0.0205726	0.0189618	0.0938762	0.193706	0.280134	0.320559
a38	0.00331843	0.0110654	0.00312569	0.00311118	0.0308071	0.115754	0.315552	0.517266
a73	0.00223819	0.00965448	0.00300571	0.0033149	0.030318	0.125704	0.32165	0.504114
a44	0.000581438	0.00270186	0.0011193	0.0018702	0.0220946	0.10237	0.29436	0.574902
a98	0.000596673	0.00343243	0.00122028	0.00183291	0.0177284	0.0840934	0.281699	0.609397
a92	0.00112949	0.00457257	0.0021271	0.00277417	0.0235125	0.102397	0.32595	0.537537
a37	0.00183811	0.0049709	0.00235078	0.00319587	0.0255856	0.105286	0.31333	0.543443
a98	0.000584599	0.00244802	0.000988723	0.0017414	0.0164586	0.0832408	0.301532	0.593006
a47	0.000531938	0.0022984	0.000866178	0.00131381	0.0174716	0.0963102	0.321065	0.560143
a7	0.00139364	0.00583485	0.0026003	0.00400516	0.0438931	0.155251	0.313119	0.473904
a11	0.00140569	0.00525172	0.00297835	0.00545065	0.0355382	0.111436	0.280214	0.557725
a13	0.00374841	0.0115968	0.00759616	0.0105574	0.0483853	0.123387	0.293063	0.501666
a18	0.00577852	0.0151388	0.00947682	0.0125622	0.0483918	0.127326	0.29915	0.482176
a99	0.0229587	0.0387409	0.0224426	0.0276741	0.0615027	0.113485	0.274756	0.43844
a9	0.0181645	0.0247203	0.0263018	0.0559264	0.10239	0.162124	0.267766	0.342607
a87	0.031536	0.0350603	0.0530447	0.0813932	0.140856	0.194668	0.233671	0.229771
a23	0.0488638	0.0620927	0.0768824	0.101483	0.163199	0.178685	0.186688	0.182106
a87	0.00910439	0.0145734	0.0192852	0.0329329	0.0856247	0.185804	0.301947	0.350729
a23	0.00245716	0.00510044	0.00778526	0.0172978	0.0545789	0.141843	0.325371	0.445566
a87	0.003005	0.00616278	0.0092877	0.0211993	0.0745127	0.185003	0.322525	0.378305
a23	0.00216596	0.00537957	0.00955935	0.026231	0.0770103	0.159089	0.321889	0.398675
a87	0.00413152	0.00761155	0.0124236	0.0306779	0.0857792	0.18042	0.312541	0.366416
</S>	0.00285098	0.00603501	0.0103316	0.0338523	0.0881035	0.173642	0.318334	0.36685
