 	j'	écris	une	lettre	</S>
a66	0.564252	0.213887	0.0798695	0.0659158	0.0760761
a87	0.336374	0.23864	0.184745	0.137205	0.103036
a23	0.596543	0.23055	0.0763567	0.0514344	0.0451161
a83	0.565191	0.223264	0.0736867	0.0709431	0.0669157
a54	0.660125	0.213133	0.066199	0.0360636	0.0244793
a5	0.409385	0.363666	0.148568	0.0532025	0.0251794
a18	0.183639	0.31576	0.320739	0.136567	0.0432949
a21	0.153336	0.286131	0.337691	0.154927	0.0679154
a5	0.0955803	0.164025	0.268112	0.303269	0.169014
a21	0.0848676	0.105651	0.157223	0.318609	0.333649
a5	0.0351497	0.0432729	0.102112	0.331326	0.488139
a21	0.0224199	0.0282937	0.0698969	0.289578	0.589811
a92	0.00611125	0.0112256	0.0438922	0.260904	0.677867
a37	0.00383288	0.00663697	0.0288616	0.205975	0.754693
a94	0.00250116	0.00483214	0.0254731	0.160418	0.806776
a58	0.00447189	0.0085562	0.0403698	0.18181	0.764792
a82	0.0144599	0.0235925	0.0709846	0.207687	0.683276
a87	0.32288	0.120413	0.117753	0.167978	0.270975
a23	0.556245	0.226841	0.093222	0.0624595	0.0612333
a87	0.229462	0.0949574	0.088452	0.106973	0.480155
a97	0.0196806	0.0129683	0.0374117	0.137989	0.79195
</S>	0.058205	0.0436004	0.0593259	0.125146	0.713722
