 	il	ajuste	les	montants	du	lit	</S>
a10	0.0801403	0.103464	0.163165	0.239098	0.17619	0.117136	0.120807
a27	0.0658076	0.0964686	0.123096	0.182727	0.189165	0.174546	0.168189
a40	0.0994536	0.127729	0.151356	0.176463	0.155496	0.140087	0.149414
a10	0.386339	0.247278	0.143839	0.0592161	0.0509465	0.0474914	0.0648895
a53	0.427294	0.257974	0.139741	0.051711	0.0421917	0.0355936	0.0454954
a4	0.382911	0.239849	0.140424	0.0653958	0.0588555	0.0532635	0.0593016
a90	0.260367	0.199123	0.140393	0.074984	0.084464	0.104107	0.136563
a20	0.230727	0.21649	0.17125	0.0923272	0.0901332	0.0927328	0.106339
a14	0.182676	0.209485	0.177913	0.138674	0.113921	0.0914271	0.0859035
a35	0.155474	0.227365	0.20548	0.166698	0.11663	0.0711011	0.0572517
a30	0.140269	0.219503	0.200565	0.186293	0.120659	0.0732095	0.0595
a41	0.166828	0.254609	0.211715	0.176604	0.100758	0.0504996	0.0389855
a35	0.118015	0.208203	0.213745	0.231153	0.120013	0.0600119	0.0488596
a66	0.131114	0.2036	0.203345	0.224555	0.126659	0.063622	0.0471037
a38	0.0623707	0.0924671	0.12497	0.245549	0.204807	0.155798	0.114039
a41	0.0736667	0.106261	0.127642	0.237182	0.177444	0.157508	0.120296
a43	0.0431702	0.0695916	0.0957657	0.215273	0.189104	0.20784	0.179255
a11	0.0196792	0.0312733	0.0490868	0.157563	0.174962	0.276616	0.290819
a10	0.013949	0.0196944	0.031008	0.121381	0.157798	0.294233	0.361938
a26	0.00932765	0.0159551	0.0313722	0.130535	0.163367	0.288064	0.361379
a24	0.0108281	0.0195954	0.0381028	0.138565	0.166198	0.269928	0.356782
a25	0.00936882	0.0155855	0.0270773	0.115052	0.135768	0.261719	0.435428
a40	0.0148584	0.0217723	0.0304333	0.108922	0.115761	0.233416	0.474837
a76	0.00705219	0.0113555	0.0176777	0.0878767	0.104913	0.24786	0.523265
a94	0.0127881	0.0218455	0.0307158	0.0967998	0.115035	0.252903	0.469914
a76	0.005829	0.0100343	0.0178071	0.0844056	0.102784	0.250143	0.528997
a94	0.0117224	0.0187225	0.0276569	0.087168	0.112256	0.250661	0.491813
a76	0.00701565	0.0127494	0.023647	0.0996802	0.116611	0.241332	0.498964
a90	0.00549452	0.00930644	0.0177139	0.0785167	0.112408	0.264669	0.511891
a13	0.0109122	0.020291	0.0304417	0.0894796	0.105027	0.221645	0.522203
a38	0.0297496	0.0515233	0.0616376	0.157712	0.122216	0.188273	0.388888
a12	0.0192855	0.0313584	0.0403375	0.126566	0.116516	0.21578	0.450157
a98	0.016103	0.0253342	0.0339442	0.111297	0.129981	0.236513	0.446827
a71	0.0184295	0.0261502	0.0388995	0.131724	0.150538	0.248738	0.385521
a10	0.0242076	0.0347612	0.0427846	0.149401	0.136495	0.225391	0.38696
a11	0.035676	0.0458333	0.0499967	0.163488	0.14913	0.216175	0.339701
a10	0.0257271	0.0371673	0.043912	0.147995	0.140726	0.221038	0.383435
a87	0.0386749	0.047906	0.0531827	0.180333	0.149516	0.201727	0.32866
a23	0.0277805	0.0323914	0.0411193	0.138346	0.158489	0.238779	0.363095
a87	0.0616311	0.0616739	0.0616317	0.122631	0.129472	0.207187	0.355772
</S>	0.0319662	0.0424339	0.0555474	0.157921	0.1615	0.223734	0.326898
