 	avant	de	cuire	la	viande	il	faut	la	découper	</S>
a66	0.127666	0.112584	0.129982	0.147676	0.1321	0.121292	0.102269	0.0638819	0.0406052	0.0219448
a87	0.113953	0.112558	0.143386	0.132801	0.112885	0.0805088	0.107862	0.0859181	0.0714723	0.0386554
a97	0.154874	0.132644	0.135764	0.121378	0.0949468	0.072382	0.0705139	0.0672764	0.0856244	0.0645962
a99	0.139955	0.154937	0.215546	0.180554	0.127394	0.0772843	0.0420103	0.0215059	0.0216915	0.0191218
a30	0.171357	0.178888	0.235558	0.174665	0.108787	0.054877	0.0300218	0.0154312	0.0161959	0.0142188
a13	0.177459	0.188294	0.244151	0.175906	0.10597	0.0510935	0.02718	0.0116639	0.00984057	0.00844182
a93	0.161362	0.179214	0.216075	0.172101	0.116124	0.0597666	0.0412172	0.021508	0.0174269	0.015206
a56	0.168414	0.190348	0.199889	0.177067	0.12121	0.0649197	0.0387138	0.0183832	0.0112581	0.00979717
a75	0.143066	0.165878	0.18287	0.190235	0.140338	0.0834173	0.0486924	0.0225604	0.0120229	0.0109187
a56	0.139218	0.141374	0.14058	0.150925	0.135076	0.111004	0.0902969	0.0470507	0.0232144	0.0212621
a21	0.0909182	0.12166	0.155475	0.175165	0.169988	0.140404	0.0796867	0.0333556	0.0172879	0.01606
a75	0.0782823	0.0988649	0.120719	0.140176	0.160038	0.171224	0.121621	0.055996	0.0297397	0.0233395
a92	0.0480165	0.0676221	0.0852717	0.0999416	0.114025	0.140739	0.136964	0.115257	0.109165	0.0829972
a98	0.0425691	0.0619704	0.0855046	0.111917	0.151574	0.190423	0.146904	0.0864058	0.0692289	0.0535025
a85	0.0253223	0.0396734	0.0544268	0.0631633	0.0991281	0.161678	0.185781	0.149693	0.13044	0.0906946
a5	0.0271277	0.0400951	0.0494234	0.0517448	0.0818268	0.139508	0.178908	0.15513	0.157469	0.118768
a21	0.0284688	0.0426167	0.0517139	0.0612558	0.0988031	0.161397	0.174441	0.137488	0.132957	0.110859
a92	0.0204691	0.027713	0.0323976	0.0374038	0.0568526	0.0977136	0.143164	0.176457	0.231777	0.176052
a37	0.0121312	0.0157363	0.0166875	0.0185631	0.0325585	0.0730902	0.130706	0.168386	0.25705	0.275091
a79	0.0126769	0.0151524	0.0145883	0.0158126	0.026693	0.0660226	0.125626	0.166889	0.281009	0.275529
a7	0.00638538	0.00719916	0.00718528	0.00730918	0.0135617	0.0351296	0.0849749	0.141477	0.354199	0.342579
a84	0.0124356	0.0125043	0.0125211	0.0103759	0.0152029	0.0256446	0.0491873	0.0779416	0.318966	0.465221
a57	0.0562322	0.0464946	0.0389893	0.0269534	0.0278995	0.0334343	0.0475678	0.0708844	0.221831	0.429713
a97	0.0555521	0.0489076	0.047883	0.035233	0.0349518	0.0360528	0.0517432	0.0759081	0.203046	0.410723
a40	0.0479827	0.0333802	0.0350492	0.0314782	0.0415648	0.0508027	0.0871724	0.129808	0.245412	0.29735
a75	0.0179239	0.0167903	0.0210492	0.0213433	0.0299807	0.0342079	0.066655	0.0835854	0.242581	0.465883
a47	0.00465173	0.0046062	0.0055433	0.00667365	0.0126458	0.0236482	0.0632809	0.129623	0.26974	0.479587
a92	0.00189247	0.00212378	0.00274479	0.00339698	0.00716128	0.0147711	0.0376749	0.0765456	0.265184	0.588506
a56	0.00242371	0.00266226	0.00334719	0.00407873	0.00794369	0.0168404	0.0442304	0.0856642	0.26557	0.56724
a93	0.00174513	0.00183335	0.00213211	0.00299911	0.00677068	0.0168965	0.0427859	0.0764081	0.280864	0.567565
a70	0.00149389	0.00161355	0.00180365	0.00222468	0.00450001	0.0112756	0.0317755	0.0640531	0.280892	0.600368
a66	0.00165648	0.00161727	0.00168446	0.00158229	0.0026686	0.00546341	0.018075	0.0473081	0.272934	0.647011
a11	0.00568111	0.00454692	0.00409521	0.00385858	0.00522617	0.00779149	0.0218815	0.0589708	0.289495	0.598453
a21	0.0142065	0.0113869	0.0102551	0.00874169	0.0111446	0.0139125	0.0316549	0.0734233	0.280345	0.54493
a47	0.00180644	0.00164451	0.00153399	0.00140851	0.00208239	0.00388048	0.0125963	0.0374708	0.217768	0.719808
a21	0.00521576	0.00434206	0.00417232	0.00370044	0.00495492	0.00634914	0.0188436	0.047277	0.227443	0.677702
a85	0.00448101	0.00372787	0.00332457	0.00266079	0.00373264	0.00560318	0.0154658	0.0443837	0.239289	0.677332
a79	0.00277736	0.00208045	0.00180062	0.00128362	0.00169323	0.00246041	0.00626709	0.0177506	0.166118	0.797769
a7	0.0030337	0.0024552	0.00216891	0.00143172	0.00179953	0.00225736	0.00555966	0.0175791	0.188379	0.775336
a26	0.0100393	0.00852635	0.00748402	0.00634021	0.00826421	0.00884468	0.0203565	0.044152	0.270851	0.615142
a3	0.0827176	0.0694657	0.0613967	0.0445344	0.0487503	0.0422581	0.0569599	0.0794567	0.211463	0.302997
a97	0.164775	0.122837	0.112976	0.07431	0.0600463	0.0357847	0.0428901	0.0474044	0.136628	0.202349
a99	0.153835	0.10934	0.0965117	0.0675589	0.0531775	0.0354192	0.0456249	0.0538386	0.151287	0.233408
a82	0.055995	0.0343161	0.0252723	0.018181	0.0174779	0.0151774	0.028403	0.0523696	0.236029	0.516779
</S>	0.0521701	0.0358864	0.0323098	0.0279983	0.0327234	0.0286774	0.0433565	0.0572782	0.235176	0.454424
