 	les	gens	l'	apprécient	pour	sa	façon	de	travailler	</S>
a66	0.254493	0.139241	0.0968123	0.103129	0.110427	0.10156	0.0852262	0.0530352	0.0333308	0.0227456
a87	0.208229	0.116865	0.0900159	0.0921907	0.0815281	0.0956666	0.104268	0.0946232	0.070058	0.0465546
a97	0.227391	0.138672	0.126672	0.170653	0.12461	0.0810915	0.0483777	0.0337514	0.0275323	0.0212489
a10	0.183807	0.149032	0.149526	0.209265	0.122802	0.0636498	0.0418595	0.0374116	0.0245104	0.0181372
a99	0.176948	0.145332	0.141105	0.18855	0.121879	0.0717499	0.0544878	0.0500802	0.0295847	0.0202837
a54	0.206066	0.142604	0.116811	0.154893	0.107871	0.0852375	0.0687643	0.059233	0.0354542	0.0230655
a56	0.202124	0.177748	0.138152	0.157346	0.0885164	0.0805751	0.0579066	0.043922	0.030917	0.0227926
a70	0.188008	0.210589	0.171223	0.144831	0.0607367	0.0710289	0.058894	0.0439032	0.0289075	0.0218784
a54	0.149717	0.196998	0.184977	0.157368	0.0797875	0.0780464	0.0620203	0.0400465	0.027414	0.0236259
a41	0.0945788	0.132464	0.137977	0.118356	0.0797951	0.0917565	0.0976013	0.0895084	0.0808048	0.0771586
a56	0.133674	0.183872	0.165374	0.119831	0.0744195	0.0723108	0.0663152	0.0622177	0.0581243	0.0638619
a96	0.111049	0.146204	0.153547	0.135417	0.100402	0.0832749	0.0628036	0.048241	0.069257	0.0898039
a93	0.0691464	0.0909417	0.120248	0.128208	0.114857	0.107289	0.0976219	0.0708831	0.0912757	0.109529
a56	0.0687494	0.084096	0.109189	0.11839	0.12826	0.127023	0.108953	0.0703307	0.0853604	0.0996487
a75	0.0459686	0.0563197	0.0827575	0.105172	0.137383	0.151302	0.135229	0.0822611	0.0943413	0.109266
a73	0.0272745	0.0353447	0.0518172	0.0692471	0.0842569	0.103189	0.132636	0.152636	0.172386	0.171212
a69	0.0309517	0.0385928	0.0519125	0.064041	0.0901513	0.126571	0.154206	0.146059	0.141781	0.155733
a93	0.0177634	0.0172885	0.0281699	0.0506196	0.113992	0.153508	0.153303	0.116425	0.146448	0.202483
a56	0.0255309	0.0233393	0.0327123	0.0500567	0.118103	0.160291	0.166106	0.119568	0.135802	0.168491
a94	0.00933446	0.00907357	0.012591	0.0196471	0.0541015	0.0903132	0.145818	0.164602	0.22227	0.272249
a43	0.00617947	0.00599893	0.0090707	0.0151971	0.040615	0.0698778	0.115176	0.169546	0.2572	0.311139
a75	0.00560443	0.00541412	0.00818013	0.0128556	0.0279079	0.0467308	0.081748	0.14955	0.286407	0.375601
a56	0.00289331	0.00330848	0.00567959	0.0114589	0.0263993	0.0420136	0.0669371	0.141709	0.297639	0.401962
a96	0.00141738	0.00151423	0.00243204	0.00444555	0.0124354	0.0214576	0.0447437	0.123392	0.321776	0.466386
a75	0.00104475	0.00108037	0.00170876	0.0025706	0.00540828	0.01021	0.0266747	0.0887552	0.29626	0.566287
a79	0.000549015	0.000531627	0.000878344	0.00180422	0.00464071	0.00838836	0.0167179	0.070905	0.28854	0.607044
a44	0.00059254	0.000614769	0.00101677	0.00217954	0.0050175	0.00882102	0.0166358	0.068214	0.268255	0.628653
a7	0.000773427	0.000800311	0.0012613	0.00202673	0.00404321	0.00776411	0.017265	0.0706655	0.261663	0.633737
a84	0.00322132	0.00321852	0.00464596	0.00549961	0.00874114	0.0183538	0.035758	0.106898	0.288495	0.525169
a57	0.0965588	0.0664092	0.0678131	0.062648	0.0677793	0.0871817	0.0923318	0.123458	0.151422	0.184398
a87	0.174963	0.0923641	0.0754964	0.074893	0.063012	0.0755528	0.0686444	0.0954798	0.136338	0.143256
a23	0.162983	0.0819848	0.0710854	0.0740843	0.0607212	0.0776376	0.0782541	0.123817	0.146146	0.123286
a87	0.0671205	0.0355269	0.0331581	0.0407386	0.0562118	0.0925437	0.103097	0.146981	0.216851	0.207772
</S>	0.0185908	0.0146853	0.017829	0.0253924	0.0336454	0.0597132	0.074978	0.130538	0.273102	0.351526
