 	une	femme	qui	quitte	son	mari	arbitrairement	est	une	imbécile	</S>
a87	0.190645	0.136876	0.101979	0.191016	0.115785	0.0972977	0.0423802	0.0370777	0.0268169	0.0314193	0.0287081
a23	0.325621	0.210885	0.101378	0.0713736	0.0556363	0.0400511	0.0237887	0.0280315	0.0289167	0.055953	0.0583656
a93	0.077785	0.0746202	0.0640845	0.0710816	0.0825627	0.0731595	0.0494513	0.0516374	0.0761941	0.129657	0.249767
a61	0.171599	0.15512	0.118327	0.126988	0.06694	0.0854079	0.086515	0.072258	0.0462932	0.0355676	0.034984
a56	0.325319	0.221723	0.169533	0.100271	0.0660162	0.0437559	0.0204049	0.0168385	0.0135822	0.00974906	0.0128073
a47	0.277249	0.208035	0.189629	0.113381	0.0914271	0.0572613	0.0239258	0.0138779	0.00962925	0.00682339	0.00876158
a75	0.0855485	0.100384	0.175025	0.171227	0.203851	0.134315	0.0594593	0.0279547	0.0179481	0.012079	0.0122086
a47	0.122752	0.140838	0.208045	0.154361	0.17323	0.104043	0.0439458	0.0207746	0.0119188	0.00942501	0.0106675
a66	0.0881373	0.117514	0.188202	0.180188	0.197655	0.118862	0.046372	0.023476	0.0146518	0.0112057	0.0137374
a9	0.0963203	0.12464	0.180117	0.152557	0.195674	0.123102	0.0442711	0.030017	0.0211069	0.016002	0.0161933
a75	0.0432909	0.0627018	0.0991601	0.0943623	0.181376	0.139509	0.0754011	0.0589406	0.0670759	0.07741	0.100773
a25	0.0677833	0.0876931	0.113837	0.137099	0.218977	0.149714	0.0961809	0.0571058	0.0302955	0.0199994	0.021315
a44	0.0387066	0.0666567	0.107051	0.171037	0.249772	0.1716	0.0792304	0.0504394	0.0281262	0.0189069	0.0184736
a90	0.0327762	0.0519062	0.072827	0.115242	0.273518	0.201248	0.101509	0.0538026	0.0353306	0.0290107	0.0328302
a25	0.0342882	0.0490053	0.0600785	0.0854498	0.229412	0.19312	0.121371	0.0779396	0.0587726	0.0444317	0.0461325
a56	0.0219206	0.0288844	0.036735	0.0726509	0.201939	0.175016	0.131393	0.0929124	0.0897958	0.0747858	0.073967
a75	0.0287337	0.0418551	0.0524255	0.0679953	0.152823	0.128978	0.161428	0.114865	0.100337	0.0748299	0.07573
a25	0.0318363	0.0423658	0.047994	0.0570163	0.121254	0.11122	0.12669	0.105063	0.116731	0.112358	0.127472
a44	0.0122949	0.0167841	0.0217398	0.0380523	0.0997042	0.101786	0.155741	0.132639	0.149479	0.129287	0.142493
a90	0.014077	0.0193242	0.0222719	0.0270092	0.0629198	0.0633211	0.126648	0.137456	0.184492	0.166198	0.176283
a94	0.0190791	0.0257589	0.0294246	0.0395074	0.0761668	0.073311	0.119196	0.129592	0.166217	0.141564	0.180183
a70	0.00970193	0.012721	0.0170393	0.0218673	0.0586079	0.0557795	0.100688	0.110825	0.195252	0.187541	0.229977
a53	0.00647964	0.00767043	0.00943385	0.0127726	0.040211	0.0394813	0.0820562	0.0904825	0.199598	0.230065	0.281749
a90	0.0028925	0.00325269	0.00390046	0.00492704	0.0210828	0.0249542	0.0679081	0.0915446	0.206744	0.265045	0.307749
a98	0.00438216	0.00609368	0.00792187	0.0108432	0.0439562	0.0445859	0.0852517	0.0943426	0.17915	0.224184	0.299289
a92	0.0076797	0.00990603	0.0134067	0.0186691	0.0538508	0.0549822	0.0825863	0.0782672	0.156894	0.216874	0.306884
a66	0.00438319	0.00549942	0.00651887	0.00733625	0.0309982	0.0280621	0.0481453	0.0587121	0.145565	0.242308	0.422472
a34	0.00145616	0.00116115	0.000797369	0.000693394	0.00197775	0.00202227	0.00774046	0.0203628	0.125444	0.326661	0.511683
a83	0.000847609	0.000723025	0.000620804	0.000644677	0.00202143	0.00200759	0.0069518	0.0158653	0.106293	0.283503	0.580522
a38	0.000562751	0.000488647	0.000360472	0.000349554	0.00138505	0.00155969	0.00752547	0.0215584	0.138288	0.316821	0.511101
a11	0.00102221	0.000882319	0.00062418	0.000463939	0.0019691	0.00236099	0.0134324	0.0360984	0.161423	0.312155	0.469568
a13	0.0132386	0.0108814	0.00748706	0.00335268	0.0117056	0.012159	0.0319668	0.066196	0.159509	0.275708	0.407796
a9	0.0199051	0.0129615	0.00682056	0.00279325	0.00679445	0.00734451	0.0189022	0.0435451	0.13752	0.281474	0.46194
a87	0.0527058	0.0387356	0.0232588	0.0144373	0.0158986	0.0148095	0.0283383	0.0591498	0.129346	0.273214	0.350106
a23	0.109333	0.0979778	0.0639107	0.0389253	0.0405338	0.0355123	0.039903	0.07248	0.105312	0.202079	0.194033
a87	0.0445851	0.0295135	0.0175615	0.0112884	0.0147177	0.0159334	0.0296379	0.0647351	0.130605	0.263939	0.377483
</S>	0.00338378	0.0040377	0.00350191	0.00383406	0.00903554	0.0108717	0.0308724	0.0643064	0.162552	0.293718	0.413886
