 	le	plumage	de	leboboo	est	pointillé	</S>
a66	0.497149	0.241729	0.129513	0.0789463	0.0273062	0.0191703	0.00618658
a87	0.733172	0.202222	0.0352553	0.0112256	0.00425596	0.0057831	0.00808557
a23	0.55054	0.198879	0.124	0.0760424	0.02342	0.0133894	0.0137292
a54	0.420272	0.179506	0.086001	0.0932693	0.0718625	0.0665596	0.0825297
a6	0.191934	0.21942	0.229367	0.194742	0.0812499	0.05302	0.0302671
a85	0.260062	0.428124	0.164283	0.0800245	0.0378001	0.0180328	0.0116741
a5	0.228535	0.368179	0.158907	0.0886807	0.0824659	0.0503429	0.0228892
a12	0.254956	0.325957	0.132439	0.0846248	0.109865	0.0645611	0.0275977
a96	0.165634	0.234731	0.229342	0.169539	0.123294	0.0541269	0.023334
a93	0.0638239	0.111514	0.230587	0.230886	0.213325	0.0988615	0.0510028
a4	0.0933278	0.162391	0.270941	0.195796	0.16266	0.0747517	0.0401317
a93	0.0701869	0.105058	0.212497	0.226811	0.206516	0.11527	0.0636608
a56	0.0460725	0.0605897	0.145822	0.223452	0.253351	0.173611	0.0971028
a37	0.0222743	0.0286526	0.059207	0.163563	0.311378	0.268287	0.146639
a47	0.0174287	0.0238175	0.04221	0.0899202	0.240265	0.295934	0.290425
a21	0.0101459	0.0133992	0.0354144	0.0899688	0.240739	0.29266	0.317673
a85	0.00874264	0.0101522	0.0234669	0.0582952	0.208716	0.312279	0.378347
a6	0.00113232	0.00149587	0.00746595	0.0295171	0.134265	0.242312	0.583812
a36	0.00103455	0.00144135	0.0115301	0.0433588	0.114785	0.25473	0.573121
a92	0.00284659	0.00425416	0.0391099	0.0950344	0.113972	0.232547	0.512236
a79	0.00322487	0.00394006	0.024026	0.062526	0.118134	0.265201	0.522947
a44	0.00102268	0.00151213	0.0150589	0.0488689	0.0963454	0.180283	0.656909
a58	0.00126498	0.0018342	0.0138012	0.035209	0.0713001	0.224641	0.65195
a82	0.00339826	0.00315323	0.0127982	0.0158144	0.0428077	0.149122	0.772906
a87	0.151311	0.0726803	0.0854633	0.0685262	0.11282	0.175556	0.333643
a23	0.515573	0.199462	0.0994907	0.057081	0.0478604	0.0367704	0.0437622
a87	0.173878	0.0936462	0.0675329	0.0463846	0.0875238	0.163732	0.367302
</S>	0.0373974	0.0139932	0.0149672	0.0206748	0.0632904	0.172391	0.677286
