 	cela	a	l'	apparence	d'	un	homme	mais	c'	est	un	esprit	</S>
a23	0.0669269	0.0873231	0.0770096	0.0665514	0.0671792	0.0671576	0.0775218	0.0873874	0.0758749	0.0730704	0.0675692	0.0960827	0.0903457
a41	0.0953384	0.0695348	0.0522684	0.0383516	0.0508895	0.0676427	0.0749541	0.0801384	0.076561	0.0801785	0.079451	0.106678	0.128014
a32	0.425787	0.310868	0.120625	0.043469	0.0355913	0.0207793	0.0109293	0.00765766	0.00614855	0.00393949	0.00385038	0.00419288	0.006162
a71	0.442583	0.266858	0.0947075	0.0397355	0.0393771	0.0306437	0.0219486	0.0163289	0.0125566	0.0087888	0.00804734	0.00788357	0.0105415
a26	0.363726	0.232853	0.104741	0.0567762	0.0586196	0.0468685	0.0371069	0.0265429	0.0191796	0.0135135	0.0122514	0.0122857	0.0155364
a35	0.268613	0.175916	0.0926951	0.0660459	0.0800393	0.0708008	0.0630103	0.0472588	0.0349266	0.0262942	0.024071	0.0238166	0.0265126
a94	0.232518	0.180611	0.106955	0.0773949	0.0819298	0.0734667	0.065096	0.0523853	0.0388553	0.0280713	0.0226989	0.0195242	0.0204926
a66	0.199735	0.178973	0.125318	0.102496	0.0969244	0.0777392	0.0648886	0.0510286	0.0343105	0.0229201	0.0163509	0.0144266	0.014889
a98	0.129611	0.11988	0.102227	0.0999792	0.117088	0.106858	0.0992369	0.0757884	0.0470265	0.0325736	0.0227608	0.0231551	0.0238165
a14	0.0900761	0.0947405	0.0932875	0.114142	0.126241	0.115571	0.104302	0.0827235	0.0540221	0.0374641	0.0275249	0.0291598	0.0307442
a35	0.0989486	0.103574	0.0991508	0.117381	0.116811	0.100637	0.0880034	0.0757843	0.0578767	0.043946	0.0332858	0.0322592	0.0323423
a73	0.0693827	0.0730523	0.0738946	0.105915	0.126097	0.115873	0.104609	0.0934441	0.0696273	0.0539851	0.0393175	0.0375063	0.0372966
a35	0.0245606	0.0302649	0.0356442	0.0741449	0.124406	0.139046	0.139392	0.119083	0.0789977	0.0659644	0.0489258	0.0578005	0.0617696
a53	0.0318989	0.0377497	0.0385259	0.0685873	0.112622	0.130863	0.133061	0.120103	0.0848403	0.0708124	0.0534128	0.0583267	0.0591972
a4	0.0256296	0.0334163	0.0362281	0.0579511	0.0992707	0.134718	0.152658	0.137855	0.0905742	0.0719783	0.0514467	0.0540222	0.0542521
a13	0.0189238	0.0236475	0.0282754	0.0545497	0.114729	0.152829	0.159942	0.129624	0.080037	0.0673634	0.050709	0.0576799	0.0616898
a9	0.0247296	0.0276022	0.0300239	0.0518073	0.10215	0.139136	0.155446	0.126437	0.0766896	0.0693324	0.0531415	0.066026	0.0774795
a87	0.0215958	0.0221712	0.021028	0.0398529	0.0989413	0.141076	0.157942	0.126516	0.077207	0.0737952	0.0590004	0.0729207	0.0879536
a23	0.0142986	0.0171513	0.0191943	0.0360366	0.0917829	0.111343	0.102394	0.0817813	0.0647319	0.0707929	0.0775722	0.124243	0.188677
a13	0.0156713	0.0230112	0.0286511	0.0463508	0.0866326	0.0911833	0.0772257	0.0635236	0.0534733	0.0607317	0.0712067	0.14591	0.236428
a11	0.0187436	0.0268775	0.0347366	0.0555489	0.106757	0.105352	0.085468	0.0650165	0.0585635	0.0576884	0.0666187	0.115447	0.203182
a41	0.0212278	0.0291977	0.0327411	0.0438605	0.0768731	0.0915643	0.0887215	0.0730835	0.0622156	0.0632696	0.0711003	0.125836	0.220309
a66	0.0117773	0.0197963	0.0255957	0.0434716	0.0704318	0.0871713	0.0951585	0.0813477	0.0638269	0.0695487	0.0745535	0.137557	0.219764
a38	0.0142526	0.0184292	0.0207554	0.0321645	0.0647254	0.0926063	0.113769	0.102133	0.074401	0.0801194	0.0773187	0.125391	0.183935
a76	0.0159102	0.0190071	0.0208215	0.0326443	0.0696128	0.0987151	0.120066	0.0978957	0.0698327	0.0744504	0.0741889	0.12198	0.184876
a90	0.0122708	0.0222475	0.0320919	0.0544414	0.069876	0.0800306	0.0884066	0.0774398	0.0583496	0.0677213	0.0702255	0.144211	0.222688
a35	0.012924	0.0188208	0.0249322	0.0409562	0.0707783	0.0792192	0.0810573	0.0763681	0.0551722	0.0762804	0.0832321	0.15466	0.225599
a24	0.00590371	0.00868017	0.01307	0.0287522	0.0575245	0.0730924	0.078365	0.066843	0.0462549	0.0651427	0.0770176	0.176458	0.302896
a98	0.00404859	0.00589712	0.00959486	0.0170258	0.0295494	0.0426238	0.053848	0.0528968	0.0388455	0.0633179	0.081284	0.209091	0.391977
a70	0.00444358	0.0070582	0.0122598	0.0234864	0.0375293	0.042964	0.0468278	0.0440596	0.0333583	0.0542894	0.071181	0.211583	0.41096
a83	0.00647963	0.00887437	0.013612	0.02216	0.0396057	0.0559038	0.0617643	0.055486	0.0388153	0.0602641	0.0733154	0.198851	0.364869
a9	0.00688651	0.00931776	0.013319	0.0206366	0.0372088	0.0538589	0.063124	0.0571351	0.0430859	0.0680384	0.0818779	0.197952	0.347559
a87	0.0060647	0.00840245	0.00955143	0.0135037	0.0179875	0.0267446	0.0381726	0.0458923	0.0449885	0.0752271	0.0987077	0.232967	0.381791
</S>	0.0131733	0.0209494	0.0209596	0.0195383	0.0193404	0.0207556	0.0238841	0.0310563	0.0369692	0.0577755	0.0850949	0.238471	0.412032
