 	pendant	les	crues	la	vouma	est	mousseux	</S>
a66	0.224407	0.163893	0.166836	0.117209	0.149223	0.12369	0.0448952	0.00984743
a87	0.147424	0.127785	0.144998	0.151792	0.187014	0.138825	0.0720382	0.0301238
a23	0.433726	0.234833	0.20207	0.0656911	0.0321158	0.0134182	0.00922511	0.00892065
a87	0.538026	0.226736	0.144066	0.0567518	0.0165177	0.00496284	0.00464457	0.00829587
a23	0.533628	0.24608	0.135997	0.0529377	0.0158486	0.00581913	0.00434395	0.00534517
a87	0.566531	0.212495	0.112909	0.0529151	0.0175575	0.00867023	0.00961219	0.0193102
a23	0.568078	0.210467	0.113658	0.0571869	0.0250659	0.0100673	0.00683346	0.00864319
a30	0.504756	0.199702	0.114064	0.0765077	0.0336064	0.0206031	0.0226347	0.0281264
a53	0.33559	0.196583	0.1452	0.117934	0.0662714	0.0488132	0.0466351	0.0429732
a79	0.253604	0.19449	0.119281	0.165601	0.147858	0.050826	0.0360791	0.0322602
a15	0.215135	0.142931	0.0765655	0.145573	0.198677	0.0994417	0.0734036	0.0482741
a73	0.08787	0.0720032	0.0498396	0.118385	0.260666	0.185724	0.145548	0.0799637
a85	0.0382687	0.0375908	0.0323067	0.0875226	0.210077	0.189308	0.243123	0.161803
a47	0.0267416	0.0255976	0.0238528	0.0655713	0.163633	0.182354	0.294059	0.218191
a98	0.0249919	0.0300328	0.0359877	0.0748077	0.154676	0.131848	0.291228	0.256428
a47	0.029455	0.0424364	0.0533519	0.118621	0.236431	0.195703	0.192539	0.131464
a85	0.0143486	0.0224896	0.0422681	0.0756979	0.136144	0.101109	0.238527	0.369415
a6	0.0231713	0.0329955	0.0534062	0.0702252	0.10821	0.112838	0.198829	0.400325
a36	0.0411471	0.0427286	0.0718379	0.0812203	0.0906757	0.109698	0.222516	0.340176
a21	0.029778	0.0277057	0.0440921	0.0403868	0.0295177	0.030395	0.192878	0.605247
a85	0.01622	0.0137984	0.0167267	0.0158134	0.0173206	0.0384206	0.286158	0.595542
a47	0.0108628	0.00896858	0.0120917	0.0106585	0.0079836	0.0167503	0.171049	0.761635
a36	0.00182384	0.00160894	0.00261504	0.00237737	0.0025184	0.00759006	0.169137	0.812329
a37	0.0175953	0.0133978	0.0187644	0.014063	0.0100556	0.0194696	0.209372	0.697282
a43	0.00717306	0.00479035	0.00602161	0.0047443	0.00534486	0.0195528	0.190275	0.762098
a11	0.00336252	0.00224376	0.00306516	0.00277359	0.00603689	0.0279382	0.211232	0.743348
a10	0.00699961	0.00439677	0.00593555	0.00519036	0.012113	0.044154	0.235763	0.685448
a87	0.100985	0.0531517	0.0578762	0.0436931	0.0597323	0.0694787	0.172196	0.442886
a23	0.288254	0.156828	0.160771	0.0924291	0.096007	0.0664239	0.0639239	0.0753633
a87	0.267218	0.119665	0.105894	0.0787201	0.063125	0.0578669	0.132781	0.17473
</S>	0.0617295	0.0243141	0.0266648	0.0188289	0.0200222	0.030191	0.215885	0.602365
