 	ce	malade	est	réduit	au	mutisme	</S>
a15	0.301584	0.310632	0.243075	0.103606	0.0227761	0.0101669	0.00815972
a66	0.406119	0.260867	0.193107	0.0728627	0.0337801	0.0177231	0.0155408
a87	0.503152	0.345359	0.108643	0.0164977	0.00717416	0.00786861	0.0113055
a23	0.434478	0.351748	0.154469	0.0323638	0.0112856	0.00746479	0.0081919
a79	0.466628	0.337393	0.115012	0.0222636	0.0140938	0.0155691	0.0290404
a58	0.29855	0.244667	0.124148	0.0626602	0.0787542	0.0784949	0.112726
a53	0.107434	0.140838	0.18987	0.198304	0.159695	0.0951271	0.108732
a93	0.0423521	0.0769102	0.161883	0.293011	0.22398	0.111935	0.0899289
a56	0.044539	0.0567305	0.123712	0.229761	0.210534	0.16691	0.167813
a37	0.0577108	0.0729853	0.175584	0.274745	0.160087	0.122999	0.135889
a56	0.0743173	0.0812783	0.167198	0.237958	0.149372	0.130695	0.159182
a44	0.0724681	0.074733	0.153891	0.226781	0.16353	0.140504	0.168093
a62	0.0526517	0.0509849	0.127824	0.222685	0.18007	0.163669	0.202115
a96	0.0318643	0.0278014	0.065461	0.139538	0.203098	0.243121	0.289117
a70	0.016296	0.0135017	0.0282406	0.0781444	0.202465	0.290915	0.370437
a62	0.0095194	0.0069694	0.00900513	0.0230081	0.125863	0.338783	0.486852
a88	0.00448285	0.00314147	0.00385201	0.0112113	0.0777454	0.318448	0.581119
a70	0.00199926	0.00129286	0.00122698	0.00348835	0.033198	0.259353	0.699441
a34	0.00100681	0.000636081	0.000567191	0.00176622	0.0198493	0.219261	0.756913
a79	0.00126972	0.00083333	0.000817658	0.00246811	0.0216906	0.220943	0.751978
a7	0.000470257	0.000311364	0.000351387	0.00130249	0.0136055	0.183953	0.800006
a84	0.000260202	0.000166053	0.000234608	0.00121796	0.012373	0.157496	0.828253
a57	0.0464036	0.0330129	0.029961	0.0376597	0.0582174	0.182745	0.612
a87	0.44915	0.19833	0.072317	0.0400027	0.0375379	0.0710159	0.131647
a23	0.43039	0.25447	0.0968797	0.0411554	0.0267251	0.0562616	0.0941179
a87	0.289339	0.185945	0.10148	0.042775	0.0524263	0.130387	0.197648
</S>	0.033822	0.0210148	0.0119693	0.0114194	0.0456617	0.273511	0.602601
