 	nyobhosi	est	la	soeur	germaine	d'	ibhobha	</S>
a66	0.238102	0.213258	0.1704	0.140279	0.107178	0.0487342	0.0534399	0.0286089
a97	0.261671	0.172286	0.134989	0.115945	0.128174	0.0733383	0.0797042	0.0338929
a87	0.335211	0.181553	0.125227	0.109436	0.126267	0.0505445	0.0482679	0.023493
a23	0.388973	0.196822	0.112032	0.0932347	0.103698	0.0505355	0.037519	0.0171863
a83	0.308374	0.161864	0.120378	0.111684	0.133244	0.0696454	0.0605061	0.0343046
a79	0.26733	0.130251	0.0913294	0.088381	0.160256	0.0978156	0.0919608	0.0726766
a90	0.280833	0.136232	0.102112	0.0881496	0.138569	0.0886191	0.0936268	0.0718578
a79	0.235008	0.146683	0.104826	0.0853814	0.115859	0.091904	0.115416	0.104922
a56	0.150677	0.133948	0.103925	0.0891423	0.115221	0.105521	0.144195	0.15737
a75	0.157042	0.158287	0.111189	0.0837873	0.0955027	0.0872193	0.135413	0.171559
a5	0.0840771	0.1179	0.133001	0.129066	0.115364	0.116131	0.131363	0.173097
a12	0.185854	0.18392	0.163965	0.126789	0.090369	0.0777428	0.0784483	0.0929121
a62	0.179917	0.190375	0.17365	0.136974	0.0954341	0.0840526	0.0719617	0.0676358
a96	0.170632	0.18827	0.185429	0.149394	0.110382	0.081971	0.0650067	0.0489148
a66	0.137264	0.177082	0.187465	0.154641	0.118843	0.0909632	0.0743062	0.0594358
a93	0.123767	0.150512	0.171227	0.151338	0.156487	0.104899	0.0849262	0.0568442
a56	0.0797529	0.115933	0.154163	0.155647	0.147984	0.138106	0.125456	0.0829579
a75	0.0547727	0.084555	0.133824	0.153712	0.150301	0.160884	0.153573	0.108379
a98	0.0219418	0.0384789	0.0969049	0.136067	0.10718	0.178034	0.181929	0.239464
a47	0.015941	0.0323497	0.100318	0.146248	0.0953361	0.182586	0.176705	0.250517
a36	0.0206386	0.0356485	0.111396	0.15824	0.0930658	0.163317	0.142772	0.274921
a2	0.0404509	0.0522031	0.106787	0.145082	0.110987	0.184788	0.152559	0.207142
a57	0.0939518	0.0768989	0.114493	0.146884	0.109905	0.142928	0.137982	0.176957
a87	0.0652511	0.0561933	0.0883856	0.134463	0.127535	0.129147	0.175296	0.223729
a99	0.0374536	0.0428235	0.0776336	0.122089	0.168614	0.143887	0.237116	0.170382
a50	0.0334973	0.0467857	0.0794769	0.124506	0.223054	0.185226	0.218208	0.0892463
a62	0.00714739	0.016819	0.0306888	0.0572974	0.150541	0.215717	0.302572	0.219217
a70	0.00337977	0.00699365	0.0123994	0.0237754	0.080526	0.132196	0.348049	0.392681
a93	0.0040225	0.00775317	0.012905	0.0218661	0.0546011	0.106881	0.291703	0.500268
a90	0.0017822	0.0031657	0.00506693	0.00815862	0.0235894	0.0518257	0.221665	0.684746
a93	0.00190293	0.00338302	0.00602136	0.0101107	0.0246465	0.0574088	0.18766	0.708867
a90	0.00275784	0.00414845	0.00801884	0.0134206	0.0311839	0.0694305	0.182322	0.688718
a79	0.00350991	0.00547472	0.010719	0.0178037	0.0290094	0.0729759	0.161516	0.698992
a44	0.00170918	0.00318005	0.0082814	0.0160431	0.0256133	0.085978	0.179358	0.679837
a96	0.00167376	0.00256923	0.00701089	0.0142525	0.024947	0.0863737	0.182706	0.680467
a88	0.00144738	0.00167659	0.00423714	0.00851697	0.0187262	0.068392	0.169135	0.727868
a71	0.00426894	0.00397975	0.00725866	0.0130091	0.031573	0.0877304	0.200124	0.652056
a53	0.0211177	0.0194326	0.0310871	0.0504434	0.0820406	0.163366	0.236094	0.396419
a4	0.00193157	0.00227071	0.00437156	0.00867749	0.024306	0.0805388	0.208118	0.669786
a54	0.000779641	0.00103381	0.0024966	0.00510002	0.0157377	0.0666564	0.179076	0.72912
a36	0.000697547	0.00110349	0.00286604	0.00542682	0.0172899	0.0621416	0.161481	0.748993
a2	0.00204421	0.00248957	0.00595617	0.00995883	0.0215186	0.0621391	0.159636	0.736258
a57	0.0203366	0.0260361	0.0465237	0.0636483	0.0796824	0.132284	0.218081	0.413408
a87	0.0931887	0.0922591	0.109785	0.143092	0.111975	0.110597	0.137304	0.2018
a23	0.0690214	0.0645362	0.0896791	0.136756	0.131134	0.125925	0.152206	0.230743
a87	0.0106099	0.0175119	0.0345012	0.0743084	0.121549	0.209604	0.233769	0.298147
a23	0.0101422	0.0139592	0.0246619	0.0467765	0.0765268	0.134721	0.223534	0.469678
a87	0.0101914	0.0191766	0.0340858	0.0676336	0.115363	0.189045	0.244762	0.319744
a23	0.0240946	0.0282585	0.0352929	0.0539886	0.0886866	0.14366	0.231042	0.394977
a97	0.0141359	0.0239408	0.0363806	0.0627962	0.114363	0.187999	0.260674	0.299711
a99	0.0655634	0.0555688	0.0563736	0.0754378	0.0995665	0.124825	0.201393	0.321272
a3	0.0579355	0.0540458	0.0540651	0.0716857	0.108609	0.14435	0.211426	0.297882
</S>	0.0413523	0.045035	0.0434304	0.0568797	0.0946827	0.134691	0.214582	0.369348
