 	akumé	n'	arrive	plus	à	marcher	à	cause	des	chiques	qui	l'	ont	infecté	</S>
a66	0.182999	0.129352	0.0847458	0.0845411	0.0777628	0.0949649	0.103102	0.100096	0.054468	0.0260873	0.0148133	0.0124315	0.0120661	0.0129586	0.00961146
a87	0.454205	0.112641	0.043963	0.0352352	0.0305297	0.0462139	0.0380758	0.0283213	0.0169962	0.0149238	0.0204331	0.0316155	0.0423845	0.0484073	0.0360544
a57	0.216244	0.0831925	0.0425649	0.0359498	0.0293166	0.0435671	0.0414902	0.043488	0.0361155	0.0350533	0.0529074	0.061671	0.0769353	0.101941	0.0995633
a87	0.207066	0.0899726	0.0488262	0.0429395	0.0371167	0.0759336	0.0625762	0.0584273	0.0408055	0.0370125	0.0438822	0.0510994	0.0553949	0.0638798	0.0850678
a97	0.131801	0.0577683	0.0374582	0.0390785	0.0390944	0.0766819	0.0687236	0.0684445	0.047033	0.0440119	0.0555325	0.0644064	0.0703626	0.090742	0.108861
a23	0.129489	0.0628152	0.0449009	0.0472777	0.0447856	0.0645145	0.0571641	0.0571575	0.0450907	0.0435544	0.0532134	0.0617464	0.0694837	0.109514	0.109293
a40	0.134176	0.0714204	0.0490794	0.0520458	0.0362834	0.0479951	0.0468993	0.0471499	0.0475511	0.0483315	0.0447416	0.0635586	0.078605	0.112984	0.119179
a7	0.352451	0.181926	0.0967785	0.0578986	0.0260989	0.0224017	0.0179059	0.0144897	0.0165524	0.017939	0.0195919	0.0322847	0.0403458	0.0608192	0.0425169
a44	0.359858	0.196163	0.130758	0.0761809	0.0272538	0.0223022	0.0165729	0.0125631	0.0126395	0.0114373	0.0114879	0.0202369	0.0311661	0.0390616	0.0323195
a96	0.261098	0.169916	0.157582	0.116279	0.0593099	0.0526213	0.0356942	0.0242639	0.0179653	0.0129465	0.0119559	0.0155733	0.0209493	0.0227523	0.0210934
a21	0.196308	0.147132	0.168169	0.142117	0.0846087	0.0747492	0.0468839	0.0303316	0.0208003	0.0150448	0.012757	0.0129028	0.0150102	0.0164799	0.016705
