 	un	serpent	enroulé	ne	capture	pas	grenouille	</S>
a66	0.259393	0.231138	0.174691	0.124125	0.126734	0.0469633	0.0214035	0.0155528
a87	0.358021	0.248134	0.15995	0.0640725	0.0276798	0.0347915	0.0466819	0.0606688
a23	0.392605	0.313661	0.163069	0.0500033	0.021055	0.0114738	0.0186617	0.0294715
a83	0.380186	0.268418	0.135298	0.0403028	0.0491615	0.0374832	0.0350255	0.0541256
a75	0.256859	0.219421	0.247934	0.0766808	0.0774199	0.0362658	0.0404832	0.0449363
a15	0.22717	0.230805	0.300539	0.141171	0.0617585	0.0178092	0.0121228	0.00862476
a20	0.186242	0.201837	0.214415	0.186701	0.122824	0.0392083	0.0269382	0.0218346
a98	0.151545	0.177779	0.179637	0.205379	0.153431	0.0635619	0.0375353	0.0311322
a47	0.12827	0.150803	0.180736	0.249631	0.167055	0.0661845	0.031107	0.0262136
a85	0.0920696	0.106329	0.167675	0.251223	0.195523	0.0893577	0.0509883	0.0468346
a6	0.0843084	0.0812549	0.151239	0.276775	0.167981	0.098287	0.0684182	0.0717364
a36	0.118555	0.0959373	0.134309	0.250389	0.15696	0.0990756	0.0744529	0.0703209
a37	0.0847992	0.0520333	0.0785951	0.215466	0.234526	0.123049	0.0983306	0.113201
a94	0.0640986	0.0372474	0.0516371	0.141787	0.182261	0.169769	0.163406	0.189793
a96	0.0359119	0.0202956	0.0252337	0.0583029	0.129488	0.215572	0.233085	0.282111
a93	0.0399717	0.020761	0.0220384	0.0343057	0.0752168	0.203829	0.267547	0.336331
a94	0.0298719	0.0165866	0.0151929	0.022485	0.0551065	0.18862	0.294856	0.377281
a56	0.00958007	0.00452599	0.00361444	0.0063821	0.0171296	0.100553	0.318429	0.539785
a44	0.00353109	0.00191397	0.002189	0.00339747	0.00762885	0.0590992	0.284552	0.637689
a94	0.00136476	0.000612526	0.00053697	0.00098299	0.0031737	0.0364626	0.274343	0.682523
a62	0.000442018	0.000144371	8.48537e-05	0.000194017	0.001016	0.0197438	0.261915	0.71646
a47	0.000430819	0.000173843	0.000148379	0.000344004	0.00154033	0.0214678	0.219504	0.756391
a96	0.00121818	0.000632851	0.000456488	0.00104673	0.00397529	0.0399736	0.295742	0.656955
a88	0.000651905	0.000261744	0.000175946	0.000645547	0.00350533	0.044107	0.302959	0.647694
a71	0.0017749	0.000559709	0.000234669	0.00112902	0.00949433	0.0738329	0.310727	0.602248
a9	0.0562017	0.0269772	0.012845	0.0310644	0.109904	0.180563	0.283533	0.298912
a97	0.323391	0.184172	0.0849781	0.0945826	0.0941675	0.0785854	0.0737226	0.0664001
a87	0.295391	0.20297	0.0996379	0.0825532	0.103459	0.0775582	0.0717865	0.0666447
a23	0.232639	0.161043	0.0955819	0.0678988	0.0759448	0.0844127	0.132811	0.149669
a87	0.110964	0.0625166	0.0270549	0.0176863	0.0174932	0.0516302	0.175319	0.537335
</S>	0.0227208	0.0120363	0.00533032	0.00442525	0.00815358	0.0495371	0.186856	0.710941
