 	l'	homme	qui	s'	adresse	à	ce	mort	est	son	père	</S>
a66	0.325528	0.204904	0.131698	0.0834012	0.0472194	0.041085	0.0424549	0.0400759	0.0380277	0.0233506	0.0120515	0.0102044
a87	0.279132	0.226069	0.159349	0.0936261	0.057655	0.0507996	0.0487495	0.0327434	0.0239052	0.0117775	0.00775625	0.00843783
a23	0.282309	0.271021	0.208178	0.101434	0.0694776	0.0242643	0.0183114	0.00820605	0.00504336	0.00384759	0.00369831	0.00420894
a99	0.237125	0.195865	0.157299	0.101832	0.129629	0.0557969	0.0443445	0.0251754	0.0121863	0.0092513	0.012333	0.0191622
a83	0.228558	0.144142	0.11757	0.0940969	0.155473	0.071204	0.0571149	0.0335379	0.0203801	0.0185294	0.0245658	0.0348267
a50	0.183943	0.107016	0.093508	0.102148	0.161795	0.0975547	0.0723959	0.0490562	0.0315878	0.0302847	0.0329171	0.037793
a98	0.0710977	0.0628293	0.0947437	0.173625	0.226603	0.111716	0.0772518	0.0526072	0.0355771	0.0318099	0.0314201	0.0307184
a50	0.0713699	0.0971147	0.180632	0.271022	0.202336	0.0654429	0.0434275	0.0235202	0.0140558	0.0102169	0.010995	0.00986717
a98	0.0210926	0.0276393	0.0559636	0.143206	0.337794	0.142298	0.0884172	0.0550782	0.0364936	0.032023	0.0341083	0.0258858
a50	0.0263849	0.0381542	0.0754719	0.164688	0.324972	0.144409	0.0938278	0.0514305	0.0264027	0.0175038	0.0190324	0.0177229
a83	0.0169135	0.0203893	0.0300541	0.0695672	0.272252	0.19132	0.13964	0.0939691	0.050211	0.0376716	0.0388772	0.0391353
a18	0.0135676	0.0181324	0.0275316	0.0612358	0.201047	0.192246	0.147703	0.108123	0.0591746	0.0485085	0.0568721	0.0658586
a50	0.0099665	0.0123256	0.018153	0.0396979	0.131297	0.193216	0.163874	0.143907	0.0794362	0.0604728	0.0660571	0.0815974
a99	0.00579077	0.00681048	0.00941295	0.0198814	0.0760955	0.165593	0.1568	0.172861	0.107478	0.0862404	0.0852538	0.107782
a30	0.00655502	0.00695795	0.00903166	0.0203209	0.0791684	0.175657	0.156783	0.171431	0.119265	0.0903389	0.0753725	0.089118
a53	0.00958446	0.0104372	0.0129289	0.026954	0.0705118	0.148508	0.120687	0.127081	0.102554	0.0950162	0.114616	0.16112
a4	0.0142739	0.0115902	0.0116868	0.0183565	0.0367889	0.104288	0.10655	0.1426	0.126095	0.132034	0.137894	0.157841
a13	0.00728606	0.00615304	0.00695682	0.0116406	0.0248497	0.0610596	0.0653927	0.0999879	0.12709	0.17023	0.189692	0.229661
a38	0.00267454	0.00189161	0.00187541	0.00325257	0.00749121	0.0261661	0.0302175	0.0582907	0.0992041	0.198771	0.257675	0.31249
a20	0.00290846	0.00190906	0.00168184	0.00264247	0.00526204	0.0173409	0.0181045	0.0321161	0.0649836	0.176141	0.28762	0.38929
a94	0.00797029	0.00560839	0.00494829	0.00721943	0.0112166	0.0292438	0.0234209	0.0302598	0.0479648	0.129208	0.266166	0.436774
a50	0.00616729	0.0039267	0.00340401	0.00539682	0.00999343	0.0268504	0.0215943	0.0241381	0.0402082	0.118026	0.278573	0.461721
a94	0.00557743	0.00352768	0.00286351	0.00416969	0.00817626	0.0234318	0.0216326	0.0258227	0.0435388	0.127516	0.281683	0.45206
a18	0.0051614	0.00302929	0.00244286	0.00340114	0.00549278	0.0178609	0.01498	0.0157367	0.0264653	0.0910951	0.286234	0.528101
a27	0.0172549	0.00986291	0.00644019	0.00702047	0.00882245	0.0235779	0.0166089	0.0148152	0.0236452	0.0731391	0.239132	0.559681
a26	0.0330034	0.0212144	0.0136438	0.0133605	0.0149054	0.0375515	0.0257098	0.0222214	0.0295745	0.070262	0.20956	0.508994
a82	0.107682	0.0725895	0.0457035	0.0348952	0.0298642	0.044678	0.0294296	0.0197097	0.025096	0.0576294	0.164405	0.368318
a87	0.167594	0.116892	0.0785917	0.0540344	0.0336123	0.0375966	0.0244059	0.0183415	0.0279227	0.0653263	0.152854	0.22283
a23	0.296142	0.234009	0.163796	0.0931331	0.0274006	0.0219872	0.0158046	0.00993625	0.0139161	0.0288604	0.0494039	0.0456113
a97	0.285289	0.216491	0.137625	0.0773282	0.0176059	0.0169881	0.0149949	0.0147767	0.0234232	0.0414119	0.0739102	0.0801554
a87	0.183828	0.135984	0.087949	0.0622039	0.0250624	0.0296052	0.0263682	0.0255609	0.0338096	0.0609314	0.139202	0.189495
a23	0.174299	0.164061	0.12692	0.0915618	0.0363773	0.0369909	0.0325583	0.025732	0.0287528	0.0451375	0.0953664	0.142243
a87	0.230317	0.221592	0.166	0.111034	0.0370056	0.0357253	0.0300024	0.0242636	0.0230512	0.0266665	0.0421858	0.052156
</S>	0.181205	0.171045	0.129128	0.092771	0.0384225	0.0428514	0.0386941	0.0333214	0.0331041	0.0446793	0.0808634	0.113914
