 	tout	le	monde	acquiesçait	à	ce	qu'	il	disait	</S>
a57	0.322711	0.252924	0.184437	0.105311	0.0472634	0.0305535	0.0217626	0.0131092	0.0110149	0.0109129
a87	0.526675	0.291843	0.0817726	0.0315746	0.0136154	0.00999024	0.0118205	0.0101698	0.00906685	0.0134717
a23	0.393452	0.249094	0.128081	0.0764973	0.030099	0.0211781	0.0228928	0.0226176	0.0206726	0.035415
a20	0.193566	0.13206	0.0679964	0.0474436	0.024855	0.0486904	0.0664781	0.0948319	0.121065	0.203014
a15	0.204925	0.171708	0.110812	0.0912025	0.0633459	0.0871326	0.0826647	0.0715669	0.0605893	0.0560531
a6	0.084544	0.101772	0.180459	0.193192	0.105077	0.0969712	0.0774668	0.0590374	0.0571194	0.0443609
a36	0.0731449	0.0880717	0.19869	0.252685	0.0913596	0.0708383	0.0525209	0.050202	0.0653765	0.0571111
a75	0.0838158	0.104635	0.20632	0.265582	0.0943173	0.0673146	0.0390947	0.0323817	0.0504044	0.0561345
a6	0.0645216	0.0960223	0.21707	0.286964	0.118135	0.0882253	0.0410889	0.0240513	0.0304962	0.0334255
a5	0.0411033	0.0629608	0.158167	0.262787	0.146362	0.102366	0.0489129	0.0356011	0.0617339	0.0800054
a96	0.0658463	0.08068	0.142766	0.216966	0.126052	0.11172	0.071241	0.0484599	0.0629033	0.073365
a75	0.0572389	0.0670574	0.12285	0.22254	0.137078	0.120919	0.0807606	0.0550039	0.0655488	0.0710035
a6	0.0176548	0.0195477	0.0428999	0.143179	0.136833	0.170115	0.124946	0.0954845	0.112592	0.136748
a0	0.0140422	0.0136409	0.0324413	0.122884	0.196111	0.189205	0.121402	0.0846348	0.100064	0.125575
a11	0.0299703	0.0294487	0.0498095	0.125466	0.184689	0.163011	0.0940287	0.0666347	0.102044	0.154899
a88	0.0363698	0.0374876	0.0532886	0.10466	0.162817	0.187661	0.123837	0.0743278	0.0834751	0.136075
a0	0.0304839	0.0319878	0.0478199	0.0917963	0.111368	0.16944	0.14871	0.094175	0.0980976	0.176121
a75	0.0297733	0.0303811	0.0442233	0.0864926	0.0826331	0.115995	0.119656	0.0960914	0.118984	0.27577
a56	0.00319132	0.00296843	0.00648744	0.0289928	0.0581196	0.0952188	0.0992183	0.127022	0.21473	0.364052
a44	0.00402747	0.00412117	0.00820035	0.0261176	0.0441676	0.10165	0.126195	0.142239	0.202018	0.341264
a53	0.00193572	0.00178445	0.0036124	0.0133305	0.0370885	0.0987964	0.124047	0.161064	0.220651	0.33769
a90	0.000557588	0.000549039	0.00161394	0.00739772	0.0318926	0.0813049	0.114654	0.176823	0.241368	0.34384
a56	0.000385322	0.000388822	0.00112249	0.00495743	0.0242353	0.0620426	0.0938492	0.169946	0.277524	0.365549
a21	0.000443169	0.000455131	0.00110585	0.00423259	0.0185918	0.0389219	0.0720546	0.154744	0.297949	0.411502
a12	0.000342814	0.000332572	0.000587761	0.00199346	0.00678851	0.0184714	0.0396214	0.109886	0.300154	0.521822
a43	0.000182688	0.000210956	0.000594836	0.00274002	0.00863545	0.0175542	0.0356454	0.0948173	0.283993	0.555626
a47	0.000291099	0.000320831	0.000930636	0.00351512	0.00705235	0.0103123	0.0201518	0.0594849	0.234248	0.663693
a62	0.00280331	0.00236911	0.00399999	0.00903608	0.0177368	0.023096	0.0419114	0.128351	0.318441	0.452256
a96	0.000515848	0.000596286	0.00171264	0.00613773	0.0118864	0.0162035	0.0259559	0.0734899	0.250026	0.613476
a70	0.000507247	0.000550734	0.00152167	0.00576648	0.0134616	0.0180916	0.0289209	0.0829922	0.286506	0.561682
a4	0.000577346	0.000604886	0.00147724	0.00471983	0.0129629	0.0207082	0.0354615	0.105992	0.307027	0.510469
a57	0.000286683	0.000324401	0.00107394	0.00415658	0.0103253	0.0169951	0.031372	0.0844244	0.258674	0.592368
a82	0.00145656	0.00151554	0.00336355	0.00609226	0.0168385	0.0236985	0.0462346	0.134203	0.306216	0.460382
a87	0.0181398	0.015323	0.0234833	0.0397196	0.0783252	0.0786114	0.0894384	0.150647	0.231561	0.274752
a23	0.331312	0.230253	0.127438	0.0826682	0.0527082	0.0389677	0.0388781	0.0378338	0.0326632	0.0272775
a87	0.0807901	0.0716193	0.0821251	0.0561945	0.0840572	0.0778932	0.0895638	0.121522	0.176589	0.159645
</S>	0.0246271	0.0194303	0.0236155	0.0239342	0.0331729	0.0382661	0.058567	0.119671	0.27394	0.384775
