 	ça	sent	le	brûlé	</S>
a23	0.428592	0.214312	0.131229	0.0945	0.131368
a87	0.396005	0.222963	0.162063	0.110068	0.108901
a23	0.478793	0.251549	0.115729	0.0691928	0.0847364
a24	0.46158	0.231108	0.127196	0.0791675	0.100948
a32	0.606634	0.252559	0.108862	0.0228562	0.00908832
a26	0.450242	0.331432	0.156798	0.0430739	0.0184528
a35	0.296914	0.311044	0.216031	0.106809	0.0692023
a2	0.318141	0.335267	0.208015	0.0888502	0.0497268
a11	0.225044	0.261766	0.226294	0.163722	0.123173
a75	0.209142	0.246367	0.224915	0.186116	0.133461
a35	0.18743	0.212098	0.252839	0.218579	0.129054
a56	0.162946	0.198128	0.265279	0.231795	0.141852
a61	0.086631	0.125193	0.234571	0.335498	0.218107
a26	0.0694872	0.109541	0.222148	0.347891	0.250932
a24	0.0313314	0.0568229	0.146817	0.328668	0.43636
a71	0.0317506	0.0515482	0.130238	0.312653	0.47381
a90	0.0241434	0.0294784	0.07581	0.278267	0.592301
a94	0.0118437	0.0178181	0.0611169	0.297325	0.611896
a70	0.00615221	0.0102425	0.0418577	0.255341	0.686407
a35	0.00559584	0.00831165	0.0315277	0.210976	0.743589
a36	0.00437118	0.00672718	0.0325489	0.206968	0.749384
a26	0.00454949	0.00690866	0.034403	0.208162	0.745977
a57	0.00725417	0.00941749	0.0340354	0.184076	0.765217
a87	0.00803217	0.00929478	0.0276191	0.178663	0.776391
</S>	0.0247955	0.015459	0.0343889	0.175505	0.749852
