 	il	y	a	plusieurs	manières	d'	ouvrir	cette	maison	</S>
a66	0.298285	0.189367	0.129062	0.0848028	0.0692301	0.0744124	0.0669405	0.0451832	0.0248169	0.0178989
a87	0.140537	0.137372	0.125499	0.147213	0.14049	0.124654	0.100222	0.0390609	0.0239379	0.0210145
a23	0.269184	0.15881	0.140087	0.117349	0.0801555	0.052147	0.0523573	0.0432012	0.0416097	0.0450985
a18	0.186895	0.15081	0.172203	0.218326	0.0945304	0.0380313	0.0437358	0.0335718	0.0305981	0.0312989
a62	0.206105	0.148577	0.141811	0.125205	0.0692235	0.0546302	0.0620023	0.0583116	0.0690098	0.0651243
a47	0.252576	0.226596	0.190349	0.0985295	0.0666393	0.0654175	0.0505052	0.019311	0.0173111	0.0127649
a62	0.207651	0.21594	0.222547	0.120151	0.0693825	0.0492939	0.0404277	0.0240703	0.0264421	0.024094
a47	0.226258	0.19653	0.207577	0.12449	0.0767174	0.0606748	0.0526358	0.0214957	0.0174243	0.0161972
a62	0.157966	0.136388	0.148837	0.132672	0.0941328	0.0968718	0.121622	0.0511906	0.0346548	0.025666
a88	0.153336	0.14812	0.163879	0.129294	0.0909221	0.0900263	0.0886218	0.0611985	0.0410724	0.0335298
a31	0.111575	0.090595	0.105982	0.106828	0.0826249	0.087923	0.116396	0.114794	0.0982185	0.0850625
a24	0.125897	0.104714	0.112772	0.117841	0.0883731	0.0865079	0.103	0.114886	0.0808032	0.0652062
a9	0.0504489	0.0408085	0.0499332	0.0738307	0.0622629	0.0608471	0.109068	0.192857	0.18697	0.172974
a38	0.0286215	0.0197954	0.0227566	0.0259081	0.0239652	0.0331791	0.0951101	0.228117	0.260916	0.261631
a11	0.0280484	0.0156833	0.0157458	0.0176944	0.0176335	0.0252997	0.0755176	0.253489	0.276794	0.274095
a96	0.00964837	0.00613351	0.00590883	0.00750611	0.00849653	0.0150564	0.0534232	0.224582	0.314866	0.354379
a56	0.00454116	0.00398829	0.00439228	0.00581352	0.00795877	0.0149956	0.0451598	0.213352	0.343793	0.356006
a96	0.004132	0.00373355	0.00411583	0.00539824	0.00877349	0.017819	0.0418104	0.19028	0.33921	0.384727
a62	0.00113572	0.000976995	0.00118187	0.0019176	0.00338732	0.00830538	0.0267154	0.169138	0.339362	0.44788
a24	0.00141707	0.00124963	0.00145825	0.00230624	0.00423999	0.00827417	0.0216664	0.123484	0.316695	0.519209
a88	0.000639306	0.000518178	0.000596508	0.00116291	0.0026506	0.00468013	0.0167065	0.126641	0.354189	0.492216
a9	0.00192948	0.000962068	0.000915541	0.00106377	0.00236273	0.00530438	0.0190513	0.158485	0.350478	0.459447
a87	0.0510346	0.0317057	0.0255676	0.0168617	0.0203543	0.0283729	0.0370951	0.152525	0.284898	0.351585
a23	0.175266	0.105835	0.082691	0.0660467	0.051318	0.0391039	0.0423678	0.0893576	0.165006	0.183008
a87	0.0928808	0.0407409	0.0347791	0.0266365	0.0230228	0.0152212	0.0176959	0.0776926	0.212408	0.458922
</S>	0.0102152	0.00698357	0.00841554	0.0125267	0.0156146	0.0132933	0.0227172	0.128816	0.259069	0.522348
