 	les	enfants	guettent	le	fou	dans	sa	maison	</S>
a15	0.285102	0.173622	0.164506	0.156916	0.106039	0.0603068	0.0276543	0.015495	0.0103593
a82	0.155234	0.129276	0.195698	0.22158	0.141751	0.0725836	0.0384146	0.0249735	0.0204888
a97	0.155424	0.113202	0.163205	0.221515	0.122882	0.0735193	0.0526188	0.0506469	0.0469867
a38	0.152332	0.13227	0.247383	0.207985	0.111861	0.0575321	0.0356244	0.028915	0.026097
a97	0.197093	0.168048	0.228511	0.187157	0.100899	0.0545254	0.0310152	0.0193172	0.0134339
a3	0.159857	0.14848	0.201012	0.204725	0.117332	0.0772823	0.0462253	0.0267121	0.0183746
a99	0.15675	0.145245	0.168276	0.188035	0.114037	0.091127	0.064499	0.0424277	0.0296047
a54	0.163398	0.145065	0.15016	0.166673	0.112514	0.104351	0.0777514	0.0481504	0.031936
a47	0.2865	0.186759	0.0761339	0.065117	0.0463741	0.0531318	0.070152	0.106758	0.109075
a85	0.300747	0.230296	0.102336	0.0761041	0.0449212	0.0405763	0.0473267	0.0724026	0.0852893
a92	0.251512	0.252254	0.159802	0.111284	0.0557032	0.0324765	0.0289425	0.0434833	0.064543
a85	0.222114	0.235668	0.18743	0.141292	0.0784435	0.0393106	0.026508	0.030685	0.0385482
a37	0.124014	0.200896	0.247069	0.173822	0.0930525	0.0464017	0.0310602	0.0342614	0.0494235
a12	0.112286	0.163404	0.265318	0.217135	0.10251	0.0401195	0.0272526	0.030283	0.0416904
a61	0.10429	0.125657	0.209617	0.202194	0.139776	0.06638	0.0435438	0.0451052	0.0634376
a5	0.0831925	0.106187	0.197108	0.201702	0.149405	0.0749286	0.0521945	0.0546094	0.0806721
a61	0.0587191	0.0751178	0.173936	0.187482	0.158629	0.0911306	0.0680153	0.0728012	0.114169
a94	0.0365476	0.0434113	0.110337	0.146316	0.171595	0.127388	0.109428	0.107128	0.14785
a90	0.0183575	0.0204872	0.0712422	0.114685	0.159824	0.14388	0.145972	0.141109	0.184443
a92	0.00971383	0.0113938	0.0439893	0.0770498	0.124409	0.136275	0.160158	0.173012	0.263999
a56	0.00635736	0.00720329	0.0218381	0.0397197	0.0814786	0.114509	0.173617	0.215258	0.340019
a75	0.00479923	0.00541484	0.0173266	0.0313023	0.0617931	0.081979	0.159472	0.234329	0.403584
a85	0.00238463	0.00308848	0.00830693	0.015899	0.0378089	0.06227	0.143594	0.251329	0.475319
a5	0.00422887	0.00622301	0.0136667	0.0248299	0.0439272	0.0610367	0.128272	0.252321	0.465494
a61	0.00168338	0.00174316	0.00437712	0.00827355	0.0203279	0.0463209	0.136646	0.251138	0.52949
a21	0.00107445	0.00122062	0.00343595	0.00651289	0.0160902	0.0393836	0.127553	0.260844	0.543885
a92	0.000967265	0.00106987	0.00272731	0.00574408	0.0156121	0.0446806	0.147033	0.263708	0.518457
a79	0.000471343	0.000570394	0.00137516	0.00306984	0.00881426	0.0261731	0.10487	0.238375	0.616281
a44	0.00021354	0.000301371	0.000614084	0.0014254	0.00415787	0.0173371	0.0799906	0.235343	0.660617
a26	0.000480261	0.00057062	0.000737288	0.00211948	0.00680279	0.0254346	0.104858	0.244062	0.614935
a3	0.00810373	0.00772395	0.00826391	0.0276408	0.0525636	0.0969076	0.177462	0.217408	0.403926
a99	0.0315985	0.0215014	0.0249472	0.0593992	0.0894949	0.105689	0.165677	0.197842	0.303851
a3	0.0384406	0.0235517	0.0299754	0.0499763	0.0745929	0.0933136	0.154836	0.213813	0.321501
a97	0.0313178	0.020695	0.0240464	0.0354354	0.0592625	0.0893288	0.169611	0.237964	0.332339
a82	0.0231993	0.0184694	0.0330702	0.0470905	0.0710153	0.08933	0.15976	0.239813	0.318252
</S>	0.0204732	0.0188398	0.0403609	0.0507435	0.0595744	0.0677999	0.120452	0.229618	0.392138
