 	ils	avaient	offert	aux	étrangers	un	boeuf	</S>
a23	0.273092	0.187858	0.105589	0.0778633	0.0850889	0.0919963	0.0875275	0.0909853
a99	0.184958	0.0928029	0.0975558	0.125299	0.110728	0.117707	0.130298	0.140652
a20	0.169917	0.111832	0.0899062	0.0805044	0.0897574	0.114979	0.169051	0.174053
a73	0.387845	0.259945	0.0982389	0.0563526	0.0448534	0.047599	0.0498375	0.0553292
a44	0.464653	0.275753	0.0972633	0.06102	0.0336739	0.0272061	0.0219965	0.0184346
a93	0.389115	0.263414	0.110541	0.0770111	0.0421212	0.0387435	0.0414412	0.0376132
a70	0.276056	0.266451	0.134843	0.0994894	0.0520833	0.0507665	0.0582042	0.0621074
a75	0.233264	0.219377	0.118688	0.103815	0.0709293	0.0668701	0.0862402	0.100815
a73	0.175727	0.169883	0.11961	0.112946	0.105339	0.111525	0.104318	0.100651
a44	0.276832	0.175281	0.121495	0.101463	0.0827055	0.0772412	0.0811507	0.0838318
a11	0.186792	0.135471	0.106147	0.11368	0.101258	0.097057	0.120053	0.139542
a90	0.131321	0.0848106	0.0571523	0.0799639	0.112175	0.140044	0.183924	0.210608
a93	0.127988	0.101429	0.0817862	0.105374	0.130207	0.140525	0.155339	0.157352
a70	0.121371	0.105332	0.0771851	0.102516	0.132474	0.141357	0.154767	0.164998
a90	0.0534236	0.0483613	0.042568	0.0743309	0.171614	0.207841	0.211607	0.190255
a56	0.058918	0.0620442	0.053359	0.083762	0.15797	0.190034	0.206922	0.186991
a96	0.0485942	0.0537094	0.047912	0.0735974	0.165546	0.20096	0.218063	0.191617
a90	0.0348777	0.0397421	0.0399015	0.0575389	0.138982	0.212264	0.244944	0.23175
a25	0.0337808	0.0457667	0.0449275	0.0638079	0.136343	0.194086	0.245368	0.23592
a44	0.0317681	0.0423622	0.0470705	0.0579456	0.126383	0.207878	0.247022	0.239571
a70	0.020887	0.0341335	0.0405106	0.0548214	0.11576	0.207499	0.268118	0.258271
a66	0.0209883	0.0275704	0.0318599	0.0420657	0.0802472	0.162828	0.286012	0.348428
a18	0.00416467	0.0058216	0.010104	0.0214753	0.0668954	0.200552	0.308941	0.382046
a25	0.0126919	0.0141822	0.0236266	0.038609	0.0882008	0.205914	0.281298	0.335478
a87	0.00663376	0.00523016	0.00767604	0.0118245	0.0378525	0.173763	0.343256	0.413764
a23	0.105125	0.0603031	0.0462083	0.0430017	0.0874616	0.183831	0.209832	0.264236
a87	0.0803914	0.0445179	0.0293459	0.0292231	0.076172	0.189639	0.211621	0.33909
a9	0.0136615	0.0133442	0.0149597	0.019343	0.0775448	0.235581	0.268998	0.356568
a82	0.0454084	0.0291045	0.0209808	0.0220964	0.0721798	0.192043	0.25005	0.368138
</S>	0.119526	0.0619527	0.0512124	0.042178	0.0719516	0.154737	0.207216	0.291225
