 	il	est	parti	en	brousse	avec	ses	amis	</S>
a10	0.248417	0.119916	0.0893935	0.0816348	0.100868	0.100747	0.0952489	0.0868945	0.0768804
a87	0.135462	0.0932693	0.0838294	0.0922445	0.107881	0.117427	0.117161	0.13314	0.119586
a23	0.180575	0.119043	0.0980587	0.0936277	0.0869772	0.0923909	0.0929848	0.118155	0.118189
a79	0.180291	0.140174	0.120982	0.121047	0.10678	0.0741767	0.0754629	0.0856937	0.095392
a20	0.338575	0.209523	0.153419	0.103328	0.0630422	0.0327194	0.0287965	0.0293112	0.0412854
a30	0.381301	0.249849	0.172184	0.0924247	0.0452553	0.0240994	0.0161177	0.00956426	0.00920438
a35	0.309541	0.224211	0.179392	0.115672	0.073766	0.0413744	0.0245612	0.0157232	0.0157589
a24	0.25731	0.197459	0.168348	0.12568	0.0976684	0.0678236	0.0414523	0.0230169	0.0212414
a71	0.223652	0.188381	0.168502	0.132792	0.108196	0.0809338	0.0442569	0.0269026	0.0263842
a38	0.102917	0.123123	0.146566	0.166507	0.170487	0.127765	0.0720899	0.0445298	0.0460147
a98	0.115827	0.132541	0.150715	0.157846	0.16156	0.126618	0.0747506	0.040363	0.0397786
a14	0.147155	0.147637	0.149606	0.1428	0.145013	0.109777	0.0737997	0.0429317	0.0412804
a44	0.12904	0.12415	0.124895	0.125503	0.139205	0.129591	0.101328	0.0669055	0.0593831
a84	0.100588	0.0908732	0.0985848	0.117692	0.149324	0.153653	0.128032	0.0847106	0.0765424
a40	0.0342643	0.0388504	0.055294	0.0928802	0.141939	0.175788	0.185137	0.129369	0.146478
a20	0.0490612	0.0425704	0.0511916	0.0777893	0.127795	0.161136	0.175126	0.151766	0.163564
a90	0.0677785	0.058815	0.0655216	0.086287	0.123469	0.155537	0.155733	0.143891	0.142968
a54	0.0775878	0.0694346	0.0748658	0.0882925	0.118294	0.158907	0.166097	0.124217	0.122304
a14	0.0346333	0.0340975	0.0421907	0.0602483	0.0904911	0.135733	0.181687	0.195619	0.2253
a76	0.0187358	0.0202671	0.0273166	0.0430646	0.0754562	0.132361	0.206825	0.2262	0.249775
a14	0.0251765	0.0286868	0.0373496	0.0565862	0.0887237	0.131334	0.189303	0.219314	0.223526
a44	0.0176635	0.0203558	0.0270043	0.0427577	0.0674054	0.104493	0.173838	0.258695	0.287788
a26	0.0187684	0.0187014	0.0231726	0.0370343	0.0568841	0.0835425	0.147338	0.25928	0.355279
a38	0.00316712	0.00288969	0.00333538	0.00652196	0.0129017	0.0306383	0.102337	0.327181	0.511028
a62	0.00416113	0.00404645	0.00463615	0.00887723	0.0158361	0.0352972	0.106815	0.316652	0.503679
a41	0.00423546	0.00453861	0.0050769	0.0090199	0.0144987	0.0291333	0.0840849	0.297282	0.55213
a73	0.00676868	0.00569145	0.0050944	0.00790398	0.0125482	0.0281124	0.0958196	0.328691	0.50937
a57	0.00455892	0.00375165	0.00363617	0.00632307	0.0125521	0.0279012	0.0996387	0.313955	0.527684
a87	0.0104412	0.0081033	0.00662822	0.010554	0.0206962	0.0394769	0.106794	0.303914	0.493392
</S>	0.0057176	0.00423166	0.00321603	0.0056105	0.013543	0.0375053	0.135051	0.35832	0.436805
