 	déballe	la	natte	pour	que	le	malade	puisse	se	coucher	</S>
a66	0.117189	0.0895625	0.10486	0.138372	0.141308	0.175673	0.172508	0.0479896	0.00711286	0.00347996	0.00194444
a87	0.418301	0.180583	0.0809117	0.0761158	0.0742356	0.0782422	0.0598443	0.0209555	0.00462883	0.00370997	0.00247166
a23	0.271657	0.164827	0.101466	0.101363	0.127889	0.13257	0.0772785	0.0163002	0.00285519	0.00188183	0.00191225
a90	0.268865	0.176339	0.125745	0.0981701	0.102989	0.115077	0.0697886	0.0197452	0.00845581	0.00696858	0.00785811
a25	0.333415	0.137152	0.0926711	0.074982	0.0760563	0.107342	0.091132	0.0388348	0.0170872	0.0176282	0.0136993
a92	0.189858	0.166181	0.0947653	0.115996	0.111342	0.125492	0.100285	0.0433725	0.0240494	0.0183207	0.0103375
a85	0.153644	0.198201	0.109634	0.100765	0.104997	0.110139	0.0772579	0.0370568	0.0371543	0.0490813	0.0220702
a6	0.137723	0.152462	0.0967183	0.0822258	0.0857589	0.0975544	0.0985002	0.0752348	0.0609018	0.0696326	0.0432883
a5	0.163384	0.157326	0.115803	0.101072	0.0962464	0.0978994	0.0829873	0.0424049	0.0317656	0.0515657	0.0595453
a61	0.163186	0.154363	0.134215	0.12358	0.115437	0.113736	0.0893635	0.0350415	0.0183881	0.024746	0.0279435
a18	0.0898699	0.121195	0.143876	0.150304	0.144956	0.140551	0.113174	0.0392552	0.0162885	0.0187067	0.0218233
a38	0.0233923	0.06249	0.0967347	0.131822	0.163067	0.162728	0.129297	0.0659537	0.0448416	0.044144	0.0755288
a90	0.00857785	0.0297939	0.0590158	0.106534	0.176408	0.191209	0.159329	0.0804486	0.0468829	0.0528544	0.0889466
a25	0.0136462	0.0269445	0.0501352	0.0837063	0.116946	0.119393	0.1412	0.111338	0.0675813	0.08673	0.18238
a69	0.00982637	0.0231344	0.044965	0.0743792	0.111249	0.11124	0.114337	0.0938746	0.0747491	0.0986769	0.243568
a90	0.0103748	0.0179551	0.0323141	0.0534377	0.0885543	0.0965281	0.102484	0.0962117	0.092889	0.119444	0.289807
a69	0.00771624	0.0130224	0.0224863	0.0380863	0.0679661	0.0771439	0.0927039	0.111271	0.126031	0.14285	0.300723
a90	0.00486607	0.00820823	0.013124	0.0215437	0.0398387	0.0442959	0.0537759	0.0772956	0.120196	0.173623	0.443232
a93	0.00509344	0.00829508	0.0121753	0.0185566	0.036098	0.045923	0.0630734	0.0915409	0.120445	0.172645	0.426155
a62	0.00201188	0.00424418	0.00622503	0.0103107	0.0201288	0.0213088	0.0266802	0.054379	0.102173	0.228966	0.523572
a96	0.00142498	0.00443191	0.00599047	0.00912142	0.0147962	0.0111439	0.0105836	0.0240481	0.0595975	0.256881	0.601981
a79	0.00116351	0.00333428	0.00460505	0.00749006	0.0130943	0.0103989	0.0108387	0.0280548	0.0778198	0.256979	0.586222
a44	0.000176428	0.000386319	0.000507815	0.000840283	0.00147875	0.00115211	0.00170219	0.0108139	0.0565163	0.261535	0.664891
a57	0.000596018	0.0014457	0.00169725	0.00281444	0.00457793	0.00368918	0.00393856	0.0143504	0.0718556	0.304209	0.590826
a82	0.0079312	0.0157227	0.015027	0.0208665	0.0214178	0.0164504	0.0145895	0.0338845	0.116819	0.272872	0.464419
a87	0.0169417	0.029521	0.0240937	0.0348854	0.0347443	0.0264919	0.0230427	0.0514281	0.115863	0.204949	0.438039
a23	0.0504615	0.0614879	0.0303397	0.0420722	0.0586178	0.0670822	0.107329	0.208757	0.149258	0.107784	0.116811
a10	0.0298027	0.0388786	0.014823	0.0181314	0.0326784	0.0336372	0.0397637	0.0757841	0.14437	0.217813	0.354318
a87	0.0172491	0.0234112	0.00902017	0.0135663	0.0275556	0.0272525	0.0275219	0.0341714	0.0801099	0.228477	0.511665
</S>	0.0260164	0.0333252	0.01308	0.0199508	0.0404336	0.043315	0.0441726	0.0333655	0.059045	0.2072	0.480096
