 	le	vent	a	emporté	la	toiture	de	la	maison	du	cultivateur	</S>
a85	0.202574	0.12237	0.110437	0.190213	0.168672	0.0988218	0.0348469	0.0220431	0.0144377	0.0100539	0.0116613	0.0138691
a66	0.338655	0.153506	0.0841281	0.120679	0.0800699	0.0825425	0.0361794	0.0235859	0.0183156	0.017714	0.0192229	0.0254017
a87	0.251062	0.197087	0.132648	0.119583	0.0613008	0.0561624	0.0282103	0.0208251	0.0187858	0.0213516	0.0327776	0.0602072
a23	0.393529	0.289468	0.125425	0.0778046	0.0308962	0.0266649	0.012475	0.00892646	0.00758317	0.00618871	0.00788426	0.0131554
a87	0.393816	0.335059	0.117178	0.0622861	0.0202951	0.0172592	0.010416	0.00938502	0.00815955	0.00690673	0.00786344	0.0113759
a23	0.39604	0.263607	0.109042	0.0650767	0.0316615	0.0341552	0.0204971	0.0169398	0.0147767	0.0136882	0.0157246	0.0187915
a79	0.344388	0.246335	0.102506	0.0636594	0.032957	0.0379761	0.0295902	0.0266962	0.0245267	0.0262613	0.0304961	0.034608
a57	0.271636	0.254807	0.151427	0.111314	0.0522668	0.0432316	0.0260696	0.0204366	0.0169066	0.0154167	0.0145434	0.0219437
a82	0.165457	0.205491	0.166128	0.145875	0.0905379	0.0657469	0.0426898	0.0313736	0.0257606	0.020776	0.0167842	0.0233806
a44	0.0803989	0.0977017	0.105205	0.151935	0.131057	0.113793	0.077688	0.059002	0.0508385	0.0453903	0.0384538	0.0485367
a57	0.0751368	0.126435	0.152178	0.148798	0.116623	0.0878659	0.0711	0.0591048	0.0503284	0.0412672	0.0311171	0.0400448
a4	0.0505368	0.0815819	0.117495	0.148299	0.14052	0.10716	0.0781031	0.0682108	0.0585321	0.0526383	0.0434903	0.0534337
a13	0.0546398	0.108175	0.179058	0.180242	0.162772	0.0896927	0.0550452	0.0480713	0.0384516	0.0297626	0.0246376	0.029452
a93	0.0389174	0.0730509	0.139792	0.191539	0.176002	0.0949735	0.0592413	0.0542047	0.0448388	0.0402163	0.0376852	0.0495396
a56	0.0432609	0.0738473	0.142575	0.192519	0.184571	0.0947214	0.054248	0.0480351	0.0405886	0.0379649	0.0375132	0.0501559
a62	0.0542126	0.0797072	0.159198	0.178037	0.176671	0.0898108	0.0501854	0.0413157	0.0355758	0.0360846	0.0410747	0.0581266
a70	0.0272594	0.0324549	0.0796535	0.161766	0.170002	0.106751	0.0660433	0.056871	0.0542206	0.0613189	0.075798	0.107862
a44	0.0226053	0.0241726	0.0597823	0.137962	0.167197	0.113864	0.0760752	0.0615633	0.0573608	0.0662028	0.0862653	0.126949
a54	0.0169592	0.0185148	0.0429963	0.115884	0.169746	0.122044	0.0898438	0.0719772	0.0645245	0.0713175	0.0877329	0.12846
a79	0.0168751	0.0192555	0.045178	0.122061	0.182032	0.143154	0.0977173	0.0695436	0.056072	0.061472	0.0734489	0.113191
a37	0.0251383	0.0270063	0.0607229	0.130761	0.200072	0.160335	0.114066	0.0780889	0.0543324	0.0477182	0.0436564	0.0581033
a75	0.012908	0.012656	0.0246277	0.0693205	0.137025	0.133552	0.123579	0.102612	0.0839014	0.0835568	0.0916479	0.124613
a92	0.00952517	0.00907192	0.016668	0.0432401	0.115235	0.135284	0.142414	0.125018	0.104038	0.096973	0.0908301	0.111703
a44	0.00817196	0.00797855	0.0144827	0.0339301	0.0936696	0.123887	0.149613	0.133358	0.116704	0.110309	0.0958358	0.112061
a79	0.00488327	0.00432397	0.00763769	0.0183689	0.0561361	0.103031	0.158288	0.145424	0.124707	0.119111	0.115892	0.142197
a37	0.00693655	0.00685139	0.0131903	0.0300294	0.0777505	0.122439	0.146643	0.125388	0.109066	0.109037	0.105247	0.147422
a66	0.003751	0.0033564	0.0058489	0.0135095	0.0372257	0.0845743	0.153318	0.155779	0.137575	0.124401	0.121896	0.158766
a61	0.00262858	0.00218072	0.00370432	0.00734215	0.0238008	0.0624363	0.12663	0.135182	0.12156	0.114782	0.132458	0.267295
