 	tu	ne	le	mets	pas	du	bon	coté	</S>
a85	0.241296	0.149545	0.13038	0.147441	0.131793	0.104147	0.0570285	0.0234559	0.0149136
a87	0.378252	0.152035	0.103195	0.0809238	0.0713106	0.0739993	0.0662647	0.043403	0.0306162
a23	0.190439	0.162516	0.134505	0.0980983	0.0754638	0.0699238	0.0790812	0.0934426	0.0965302
a4	0.310451	0.200444	0.147497	0.0802228	0.0411085	0.0273013	0.0327104	0.0662143	0.0940503
a13	0.411881	0.266917	0.152765	0.0607766	0.0309448	0.021865	0.0177384	0.0186703	0.0184417
a38	0.380287	0.2862	0.179749	0.076665	0.034727	0.0183053	0.0107921	0.00686423	0.00641038
a24	0.253811	0.213919	0.190463	0.135489	0.0850682	0.0453641	0.0289226	0.0225234	0.0244406
a94	0.242611	0.225343	0.209976	0.141765	0.0845058	0.0409986	0.0219372	0.015952	0.0169109
a90	0.183383	0.1974	0.211169	0.176665	0.116978	0.0514428	0.0252103	0.0182246	0.0195261
a76	0.171284	0.197471	0.218487	0.184764	0.124464	0.0545022	0.0225166	0.0133011	0.0132105
a69	0.181655	0.208405	0.216537	0.152627	0.106822	0.0614986	0.0306273	0.0198489	0.0219794
a58	0.148095	0.18216	0.212734	0.191803	0.140426	0.0659325	0.0256204	0.0156531	0.0175765
a54	0.0723221	0.0965559	0.133107	0.184613	0.208066	0.133133	0.0675034	0.0462188	0.0584814
a73	0.0560074	0.0772917	0.117174	0.168189	0.192107	0.136297	0.0855805	0.0717348	0.0956189
a37	0.0523357	0.0763226	0.119616	0.167991	0.199695	0.149295	0.0875508	0.0663524	0.0808416
a54	0.0440125	0.0542341	0.0815521	0.126282	0.160158	0.1403	0.115119	0.116009	0.162334
a41	0.0451942	0.0482519	0.063107	0.0883596	0.1243	0.129885	0.134439	0.152296	0.214166
a37	0.0424958	0.046552	0.0571063	0.0785698	0.121207	0.151506	0.156496	0.157195	0.188872
a94	0.0417963	0.041574	0.0478461	0.0612542	0.0997961	0.144579	0.179016	0.164029	0.220109
a41	0.0490467	0.0434908	0.0449494	0.0462008	0.0674384	0.11327	0.189849	0.198078	0.247678
a66	0.0210768	0.0184004	0.018832	0.0230589	0.0463816	0.101561	0.216187	0.267668	0.286835
a12	0.0199998	0.0161047	0.0165571	0.0191837	0.0318523	0.0656806	0.165954	0.29286	0.371807
a41	0.019634	0.0124538	0.0100119	0.00995535	0.0176055	0.039556	0.119683	0.32464	0.446461
a18	0.010337	0.00705685	0.00606492	0.00674831	0.013548	0.0394535	0.142968	0.368834	0.404989
a38	0.016619	0.0109326	0.0098921	0.0103237	0.0167969	0.0327118	0.0937336	0.292753	0.516237
a41	0.0150703	0.00854874	0.00620238	0.00543002	0.00808362	0.017197	0.0584424	0.272154	0.608872
a18	0.00800248	0.00561748	0.00397113	0.00362976	0.00626456	0.0183291	0.0773512	0.351328	0.525506
a75	0.00866455	0.00560311	0.00397655	0.00352748	0.00588867	0.0158059	0.0604224	0.290009	0.606102
a73	0.00539335	0.00451291	0.00362277	0.00362948	0.00584812	0.0172146	0.0737677	0.354478	0.531533
a84	0.00376572	0.00281386	0.00212798	0.00207228	0.00380527	0.0134456	0.0631152	0.340858	0.567996
a57	0.010269	0.00563471	0.00354294	0.00297366	0.00495864	0.0129641	0.0496973	0.248928	0.661031
a87	0.0092512	0.0079568	0.00633816	0.00577359	0.0101953	0.0237842	0.0770853	0.300913	0.558702
</S>	0.0111385	0.00997367	0.00767558	0.00744964	0.0133844	0.0248419	0.0690687	0.289584	0.566883
