 	la	manière	dont	cet	enfant	est	fatigué	montre	qu'	il	a	vraiment	faim	</S>
a66	0.183983	0.0931324	0.0792112	0.0904732	0.0796197	0.077183	0.0662983	0.0815638	0.0934695	0.0719913	0.0474016	0.0153582	0.0106467	0.0096678
a87	0.290735	0.168762	0.074709	0.0346586	0.0195903	0.0304256	0.0448144	0.0742701	0.0728825	0.0578879	0.0534879	0.0281327	0.0257702	0.023874
a23	0.32675	0.22626	0.0902423	0.0472441	0.0309923	0.0335538	0.0362643	0.0561539	0.0555469	0.0409686	0.0244615	0.0104527	0.00968775	0.0114209
a18	0.231331	0.258076	0.124215	0.0431421	0.0316855	0.0424106	0.0418471	0.0601647	0.053865	0.0415461	0.0302954	0.015239	0.0114171	0.0147652
a25	0.20851	0.206747	0.133028	0.0488389	0.0343046	0.0411176	0.0348723	0.045015	0.0469951	0.0447372	0.0494335	0.0362688	0.033151	0.0369804
a53	0.242843	0.21095	0.140924	0.0554475	0.0377651	0.0327106	0.0219551	0.0273064	0.0300919	0.0321991	0.048072	0.0421215	0.0383258	0.0392881
a4	0.375193	0.199837	0.133354	0.0834642	0.0450499	0.0258468	0.0141662	0.0141372	0.0139232	0.0125458	0.0214183	0.0258545	0.0197242	0.015486
a70	0.211025	0.261681	0.211311	0.107798	0.0451177	0.0250772	0.0186007	0.0165469	0.0127094	0.00887132	0.0126963	0.0201051	0.0255371	0.0229227
a50	0.140594	0.246017	0.232854	0.125076	0.0605659	0.0388992	0.0337417	0.0237172	0.0158036	0.0100339	0.0109949	0.0162028	0.0226799	0.0228208
a62	0.108386	0.192204	0.217126	0.145573	0.0843284	0.0557615	0.0529113	0.0315149	0.0200992	0.0127704	0.0121154	0.0155906	0.0251068	0.0265124
a83	0.110214	0.163738	0.17799	0.145029	0.0971021	0.0717014	0.0734996	0.0469449	0.0322414	0.0188921	0.0146629	0.0135419	0.0175607	0.016881
a18	0.0720867	0.111076	0.153861	0.143721	0.109393	0.0874888	0.0982399	0.0644002	0.0443686	0.0261038	0.0180614	0.0172862	0.0268931	0.0270203
a53	0.0481518	0.0579851	0.0950745	0.125728	0.116995	0.104419	0.123849	0.0874917	0.062267	0.0362194	0.025238	0.0245265	0.0438358	0.0482193
a90	0.0419388	0.0575458	0.0999282	0.150779	0.127755	0.103502	0.109866	0.0807803	0.0622001	0.0427276	0.0269739	0.0194281	0.0358393	0.0407356
a93	0.0269412	0.0359745	0.0737734	0.150424	0.155677	0.125545	0.121413	0.0833618	0.0620029	0.0403843	0.0260876	0.019157	0.037438	0.0418202
a54	0.0310844	0.0343644	0.0578075	0.121991	0.142152	0.126297	0.125958	0.0987675	0.0817175	0.0559858	0.0324854	0.0190918	0.0347575	0.0375395
a92	0.00764915	0.0121072	0.0250173	0.0761218	0.151369	0.151058	0.148648	0.095252	0.0688313	0.0551076	0.0393732	0.0332928	0.0609546	0.0752186
a37	0.0094005	0.0117066	0.0209258	0.080459	0.155924	0.147054	0.149347	0.107648	0.0861305	0.0660533	0.0420217	0.0275578	0.0454334	0.0503379
a79	0.00552943	0.00644838	0.0130433	0.0449228	0.122768	0.171727	0.204275	0.143267	0.103314	0.0656799	0.0365875	0.0183648	0.0291672	0.0349049
a44	0.00174412	0.00379808	0.00979653	0.0371863	0.11739	0.168656	0.203745	0.12419	0.0777238	0.05895	0.0383213	0.0296242	0.0555258	0.0733498
a4	0.00173522	0.00279874	0.00589809	0.0237292	0.100128	0.176467	0.21411	0.142992	0.0933182	0.0662315	0.0409227	0.0240687	0.0458319	0.0617687
a13	0.00185231	0.0030648	0.00554896	0.0186695	0.0753589	0.147495	0.212437	0.140088	0.0941748	0.071322	0.0469517	0.0342902	0.0617657	0.0869805
a9	0.00249487	0.00226492	0.00363334	0.010813	0.0474911	0.145041	0.257641	0.176199	0.112104	0.078021	0.0448633	0.0238729	0.0374885	0.0580709
a99	0.00266223	0.00250547	0.0039829	0.0103846	0.0400625	0.126896	0.269701	0.197206	0.122098	0.0825077	0.0437711	0.0211056	0.0302324	0.0468842
a87	0.00411715	0.00379838	0.00514969	0.0108573	0.0330208	0.0944599	0.216653	0.162631	0.118986	0.099439	0.0663772	0.0381543	0.061084	0.0852724
a23	0.018526	0.0126949	0.00935566	0.0161341	0.0326452	0.0665621	0.131028	0.13853	0.126102	0.129362	0.0909457	0.0507686	0.0800431	0.0973038
a26	0.00662689	0.00546554	0.00522743	0.0101724	0.0187231	0.0327398	0.0540274	0.0624962	0.0618077	0.0804146	0.0876565	0.117707	0.20194	0.254995
a83	0.00208067	0.00190761	0.00212498	0.00542342	0.0154155	0.0384304	0.0671724	0.0657381	0.0562138	0.0663923	0.0739597	0.128748	0.206751	0.269642
a34	0.000413621	0.00048219	0.000549266	0.00146929	0.00582061	0.016465	0.0280407	0.0275825	0.0240172	0.0328266	0.0478579	0.128967	0.310957	0.374551
a5	0.000384873	0.000515363	0.000671226	0.00209595	0.00759124	0.0162162	0.0269055	0.0249841	0.0211375	0.0287822	0.0472751	0.148657	0.315825	0.358959
a37	0.000543862	0.000518456	0.000789604	0.00255107	0.00782531	0.0156359	0.0308197	0.0256763	0.0212148	0.0291437	0.0463547	0.168795	0.300449	0.349683
a18	0.00046637	0.000529925	0.000753417	0.00244457	0.0099788	0.0219061	0.0372062	0.0307809	0.0235595	0.0293793	0.0457922	0.165331	0.283292	0.348579
a27	0.000837544	0.000855913	0.00108251	0.00271247	0.00913049	0.028668	0.0554037	0.0520215	0.0396019	0.0453604	0.0574816	0.170699	0.251059	0.285086
a30	0.00486126	0.00551029	0.00640105	0.0101903	0.019194	0.0428185	0.103666	0.0899521	0.0753814	0.0828294	0.0832196	0.1609	0.156182	0.158894
a57	0.00997018	0.00964762	0.0110305	0.0199762	0.0355385	0.063262	0.121215	0.114819	0.0987023	0.111027	0.104419	0.116725	0.0912191	0.0924482
a87	0.0180728	0.0122977	0.0106267	0.0184357	0.0325557	0.0544764	0.0931547	0.105285	0.10181	0.139317	0.14146	0.105492	0.0835307	0.0834854
a23	0.0350969	0.018827	0.0118606	0.019184	0.0326884	0.0534417	0.0840443	0.0985309	0.0860105	0.13066	0.126004	0.0929241	0.106721	0.104006
a87	0.00990644	0.00831315	0.00690461	0.0129783	0.019959	0.025882	0.0357283	0.0502135	0.0520876	0.124911	0.153302	0.149343	0.160567	0.189903
</S>	0.00326279	0.00262611	0.00310866	0.0116344	0.0307852	0.0471312	0.0660003	0.0627771	0.0478937	0.0866505	0.0865142	0.110788	0.190387	0.250441
