 	il	se	plaint	parce	qu'	il	n'	a	pas	d'	argent	</S>
a66	0.270152	0.224848	0.132362	0.071579	0.0689991	0.0634083	0.0598028	0.0408926	0.0224318	0.0156655	0.0145521	0.0153066
a97	0.331269	0.186747	0.0729864	0.0508093	0.0525867	0.0535683	0.0473064	0.0360161	0.0336145	0.03801	0.0450973	0.0519893
a87	0.248788	0.170783	0.100613	0.0778438	0.09163	0.0683249	0.0500264	0.0346208	0.0308415	0.0315414	0.0387301	0.056258
a97	0.234175	0.157566	0.0991245	0.0743957	0.0905438	0.0652706	0.0549259	0.0443985	0.0422379	0.0397329	0.0429682	0.0546609
a79	0.164947	0.132518	0.0944641	0.071637	0.0794027	0.0670361	0.0651578	0.0638011	0.0649649	0.0613902	0.0632439	0.0714371
a20	0.178541	0.115771	0.0595707	0.0326033	0.0308751	0.030477	0.0424851	0.0599093	0.0698082	0.0956929	0.125452	0.158814
a79	0.316863	0.232876	0.132245	0.0636354	0.0408874	0.0346307	0.0377533	0.0355329	0.0265098	0.0266536	0.0249445	0.0274691
a47	0.148753	0.13597	0.166409	0.118456	0.0737263	0.050711	0.0474744	0.0477209	0.0433604	0.0505781	0.0535926	0.0632486
a79	0.0934949	0.0804414	0.154667	0.155894	0.142749	0.0882208	0.0729949	0.0505119	0.0356585	0.0341009	0.0390306	0.0522353
a15	0.1389	0.146558	0.176738	0.124393	0.0898694	0.071854	0.0609731	0.0443227	0.0292678	0.0282183	0.0362605	0.052644
a7	0.0919869	0.107234	0.181939	0.156081	0.122807	0.0901283	0.0714897	0.0458386	0.0283934	0.0255901	0.0332964	0.0452158
a56	0.0821636	0.0868871	0.172008	0.185279	0.154608	0.0938649	0.0597354	0.0326027	0.0233426	0.0242028	0.0348409	0.0504653
a94	0.128036	0.116609	0.151573	0.142698	0.119126	0.0882658	0.0647469	0.0410872	0.0284634	0.0277028	0.0381412	0.0535505
a5	0.057131	0.0652878	0.10962	0.143047	0.148033	0.127007	0.0966705	0.0629254	0.0420097	0.0365179	0.0472418	0.0645083
a23	0.0182295	0.021865	0.0395172	0.0686994	0.104556	0.135648	0.132803	0.108779	0.086409	0.0732617	0.0914429	0.118789
a11	0.0088501	0.0127679	0.0318436	0.0652416	0.106605	0.13339	0.12321	0.0962702	0.0850291	0.0798306	0.108164	0.148798
a75	0.012597	0.0167566	0.0280644	0.0590479	0.114178	0.165707	0.159968	0.104721	0.0679618	0.0604641	0.0874414	0.123093
a92	0.00464263	0.00573785	0.011486	0.0203896	0.0367564	0.0711396	0.0938396	0.108016	0.140663	0.146512	0.168306	0.192512
a37	0.00422438	0.00515835	0.0106314	0.0199749	0.0372757	0.0777345	0.101911	0.113648	0.139624	0.141338	0.164891	0.183589
a61	0.00584865	0.00764967	0.0144195	0.0295089	0.053139	0.100894	0.124053	0.120862	0.115936	0.103803	0.140776	0.183111
a18	0.00972422	0.0117594	0.0175171	0.0307395	0.0520861	0.0928344	0.120567	0.123988	0.126602	0.116176	0.140714	0.157293
a75	0.00683914	0.0103227	0.0157166	0.0231599	0.0375921	0.0582409	0.0848923	0.104605	0.13127	0.133003	0.174954	0.219405
a79	0.0018453	0.00237285	0.00504051	0.0102645	0.0178795	0.0367128	0.0560158	0.0801275	0.122973	0.152757	0.233946	0.280065
a7	0.00119745	0.00175229	0.00467827	0.0111049	0.0217384	0.0473626	0.0699507	0.0977163	0.161448	0.174443	0.198559	0.210049
a98	0.00239	0.00279457	0.00350729	0.00595818	0.0108868	0.0209293	0.029721	0.0482114	0.10634	0.170629	0.270608	0.328024
a15	0.00203602	0.0024861	0.00460398	0.00919315	0.0146988	0.0293862	0.040126	0.060587	0.115665	0.160179	0.247387	0.313652
a36	0.0015559	0.00197096	0.00360967	0.00710989	0.0116058	0.0215307	0.0285992	0.0427682	0.0919316	0.167095	0.281545	0.340678
a5	0.00235809	0.00247952	0.0029174	0.00442292	0.00671933	0.0119497	0.0157846	0.0286463	0.0804077	0.17337	0.305158	0.365786
a37	0.00123479	0.00124257	0.00144165	0.00247595	0.00444672	0.0106723	0.0150924	0.0287326	0.0888216	0.189123	0.305649	0.351067
a93	0.0012484	0.00152627	0.00184454	0.00306237	0.00490265	0.00992906	0.0120835	0.0211125	0.0659196	0.161916	0.317181	0.399274
a4	0.00126604	0.00158326	0.00180019	0.00278977	0.00428182	0.00831849	0.010776	0.0192471	0.0586413	0.152338	0.319235	0.419723
a57	0.00120063	0.00160948	0.00203238	0.00281227	0.00408881	0.00721165	0.00989863	0.0191592	0.0603122	0.166824	0.327493	0.397358
a13	0.00239455	0.00279298	0.00351285	0.00442503	0.00684013	0.0117946	0.0157542	0.0291687	0.079473	0.169849	0.300964	0.37303
a38	0.00296906	0.00342288	0.00527091	0.00843943	0.013933	0.023746	0.027961	0.0438517	0.0974411	0.176827	0.272589	0.323549
a3	0.00673966	0.00723554	0.00951002	0.0143853	0.0216755	0.0330173	0.0353868	0.0475038	0.0906282	0.160912	0.259113	0.313893
a99	0.0475556	0.0327111	0.0223276	0.0232126	0.0275893	0.0360466	0.0388853	0.0560545	0.106117	0.162418	0.211663	0.23542
a97	0.0565684	0.0415375	0.0264998	0.0263923	0.0336404	0.0408717	0.0453242	0.0593844	0.102238	0.147031	0.195854	0.224657
a99	0.0546489	0.0414124	0.0259656	0.0266645	0.0356539	0.0513114	0.0633537	0.0802203	0.118356	0.145331	0.171264	0.185818
a97	0.0331479	0.0186301	0.0091435	0.0107591	0.0156653	0.0266433	0.0343857	0.0498109	0.0919376	0.144268	0.229298	0.336311
</S>	0.0186546	0.0138631	0.0108238	0.0145164	0.0239834	0.0374439	0.0382814	0.0435179	0.072675	0.119984	0.22733	0.378927
