 	autant	hier	j'	étais	heureux	autant	je	suis	triste	aujourd'	hui	</S>
a23	0.0484468	0.078678	0.0688013	0.0857018	0.0771217	0.158365	0.113973	0.14208	0.0874064	0.0564721	0.0383024	0.0446518
a87	0.0575351	0.0821622	0.0682117	0.115688	0.108944	0.167005	0.0972013	0.0746133	0.0534742	0.0502889	0.047612	0.0772648
a23	0.0525455	0.060852	0.0508511	0.111767	0.146963	0.147305	0.10058	0.0795437	0.0728168	0.0615597	0.0481818	0.0670341
a87	0.0879503	0.0936005	0.0837045	0.120113	0.106262	0.132393	0.0758398	0.0674217	0.0601613	0.0526957	0.0409444	0.0789139
a10	0.0652062	0.0758948	0.0654452	0.096024	0.0874953	0.120985	0.0801317	0.063857	0.0668469	0.0796199	0.0716449	0.126849
a87	0.0578296	0.0598967	0.0656101	0.0865848	0.0849435	0.146499	0.0930301	0.0818388	0.0830596	0.0791138	0.0623749	0.0992191
a23	0.0842614	0.077299	0.0765529	0.0837242	0.0724469	0.126114	0.0810122	0.0748435	0.0796716	0.0807403	0.0647961	0.0985382
a13	0.0550479	0.0567451	0.0636291	0.0785013	0.0684817	0.150613	0.0943641	0.0845189	0.081786	0.0788798	0.0760404	0.111393
a75	0.174133	0.174747	0.160166	0.17724	0.0870128	0.0681446	0.0457253	0.0381122	0.0217237	0.0143896	0.0154124	0.0231932
a41	0.155999	0.12476	0.136492	0.166469	0.117778	0.107294	0.0697441	0.0540583	0.027279	0.0141982	0.0131445	0.0127835
a94	0.123464	0.135164	0.139154	0.180012	0.135221	0.108344	0.0711424	0.054435	0.0230126	0.0108729	0.00967943	0.00949855
a75	0.105826	0.113789	0.122943	0.163144	0.153817	0.116971	0.0889006	0.0706269	0.029729	0.0124399	0.0112432	0.0105713
a96	0.0776694	0.102089	0.120633	0.16997	0.163574	0.115857	0.0983168	0.0797393	0.0332087	0.0136525	0.0129322	0.0123573
a18	0.0777748	0.10492	0.124167	0.186281	0.16557	0.107346	0.0910472	0.0684994	0.0292905	0.0140961	0.0151104	0.0158966
a75	0.0911509	0.130961	0.136278	0.183563	0.142101	0.0986197	0.0801398	0.0661173	0.027553	0.0135437	0.014006	0.0159668
a56	0.0546284	0.0912661	0.119648	0.174306	0.163588	0.108548	0.0986958	0.0779061	0.0418376	0.0233464	0.02367	0.02256
a96	0.0665809	0.122219	0.138657	0.176149	0.142135	0.0902622	0.087796	0.0695363	0.0396778	0.0223775	0.0220232	0.0225862
a98	0.0588654	0.120703	0.138459	0.178142	0.134953	0.0929595	0.0847167	0.0648619	0.039213	0.028207	0.029496	0.0294238
a73	0.0411131	0.0948002	0.118198	0.156147	0.143902	0.114979	0.0935255	0.0744007	0.0489922	0.037486	0.0379249	0.0385314
a56	0.038495	0.084293	0.110104	0.158088	0.154435	0.117831	0.0988849	0.0783191	0.0468062	0.03541	0.0373307	0.0400034
