 	ce	vieillard	est	devenu	courbé	</S>
a66	0.325791	0.272408	0.131056	0.126773	0.0945086	0.049463
a87	0.440365	0.279896	0.138565	0.0819938	0.0363367	0.0228433
a23	0.412712	0.357357	0.10787	0.0603202	0.0355	0.0262405
a50	0.222785	0.565936	0.103228	0.046201	0.0331135	0.0287358
a83	0.329769	0.446777	0.0732424	0.0434793	0.0454025	0.0613297
a50	0.444391	0.37285	0.0573641	0.0424644	0.0414589	0.041472
a88	0.250279	0.377649	0.166725	0.0981257	0.0613687	0.0458521
a61	0.20348	0.319886	0.203242	0.124425	0.089314	0.0596528
a47	0.136286	0.329738	0.22676	0.132631	0.104437	0.0701486
a62	0.136254	0.318762	0.185333	0.128431	0.127521	0.1037
a75	0.133677	0.309232	0.236178	0.138487	0.105875	0.0765509
a98	0.0862765	0.226491	0.270863	0.173116	0.144848	0.0984055
a6	0.0625214	0.154823	0.24799	0.204533	0.1843	0.145834
a5	0.0732055	0.142968	0.208005	0.215173	0.209257	0.151392
a21	0.057587	0.150914	0.22342	0.231842	0.206173	0.130064
a6	0.0213824	0.0857391	0.188165	0.243788	0.283573	0.177352
a36	0.0073969	0.0199113	0.107693	0.221688	0.34079	0.302521
a26	0.00524352	0.00693272	0.0263327	0.0750047	0.345135	0.541351
a70	0.00596989	0.00536969	0.0201081	0.0588208	0.277662	0.63207
a54	0.00155178	0.00188868	0.00923401	0.0404051	0.270707	0.676214
a7	0.000319455	0.000537437	0.00325702	0.0224069	0.25039	0.723089
a26	0.000559863	0.000462324	0.00374912	0.02256	0.21736	0.755308
a82	0.0141405	0.00710603	0.0431449	0.0765072	0.187307	0.671794
a87	0.0824416	0.0424147	0.0980426	0.117304	0.198925	0.460872
a23	0.249859	0.180096	0.147095	0.124745	0.132681	0.165525
a87	0.0600809	0.0210539	0.0802699	0.172771	0.358557	0.307267
</S>	0.00788895	0.0057824	0.0498372	0.147262	0.390562	0.398667
