 	notre	maison	est	en	train	de	s'	écrouler	</S>
a66	0.371978	0.200418	0.118907	0.07774	0.0633065	0.0575039	0.0464198	0.0355643	0.0281638
a10	0.168534	0.0947343	0.0776569	0.0845335	0.0963211	0.110611	0.105194	0.141108	0.121307
a87	0.265134	0.240035	0.142407	0.0886253	0.0556942	0.0376028	0.0341267	0.0683617	0.0680128
a99	0.232995	0.223973	0.1567	0.108118	0.0740341	0.0443031	0.0313345	0.0589748	0.0695668
a13	0.245609	0.245656	0.147285	0.0955498	0.0615843	0.0398298	0.040091	0.0651125	0.0592818
a62	0.334437	0.280511	0.15798	0.0951243	0.0529626	0.0275823	0.0231178	0.0140997	0.0141851
a21	0.284677	0.231178	0.190252	0.134852	0.0728356	0.0391594	0.030091	0.00942182	0.00753397
a5	0.168766	0.200288	0.230354	0.196231	0.0951355	0.0525604	0.0338397	0.0125268	0.0102988
a61	0.0947034	0.111713	0.179754	0.223332	0.168775	0.11192	0.0700873	0.0205602	0.0191553
a43	0.0612887	0.0635663	0.117017	0.191262	0.205014	0.168731	0.10588	0.0460828	0.0411585
a47	0.0444097	0.0437895	0.0851103	0.140976	0.17316	0.183136	0.152783	0.0846228	0.0920121
a61	0.0385556	0.0248909	0.0414346	0.0744442	0.115932	0.151187	0.178215	0.176013	0.199326
a62	0.0191878	0.0116769	0.0179229	0.0348654	0.0765275	0.13084	0.19523	0.249393	0.264357
a47	0.00769576	0.00368338	0.00432235	0.00882673	0.0278548	0.0671986	0.146437	0.308964	0.425018
a61	0.00410017	0.00191806	0.0018219	0.00324732	0.0115297	0.0307919	0.0812524	0.3307	0.534638
a43	0.00152354	0.000657856	0.00067029	0.00153361	0.00606249	0.0167215	0.0514662	0.312673	0.608692
a94	0.000935925	0.000339673	0.0003224	0.000646034	0.00224351	0.00547195	0.020181	0.287357	0.682502
a4	0.00121345	0.000459894	0.00049582	0.00107456	0.00352153	0.00775123	0.0261461	0.345829	0.613509
a7	0.000734156	0.000260332	0.000290153	0.000710221	0.00298226	0.0075145	0.0272659	0.351062	0.60918
a26	0.000521293	0.000207676	0.000217665	0.000491974	0.00212786	0.00557538	0.0216629	0.298245	0.67095
a82	0.0217011	0.0101809	0.00620257	0.0065638	0.0156863	0.0267874	0.0518667	0.307741	0.55327
a97	0.0898913	0.0476054	0.0252607	0.020235	0.0306238	0.0403272	0.0605947	0.271471	0.413991
a87	0.14933	0.10394	0.0688635	0.0493183	0.0556768	0.0669445	0.0871659	0.194213	0.224548
a97	0.104294	0.0766071	0.0513231	0.0364274	0.0396542	0.0505573	0.0715796	0.278083	0.291475
</S>	0.0437631	0.0336971	0.0246357	0.0207584	0.0243363	0.0319063	0.0492006	0.313525	0.458177
