 	le	ballon	s'	est	dégonflé	parce	qu'	il	est	troué	</S>
a66	0.168618	0.0997481	0.0832476	0.105726	0.148569	0.128655	0.117654	0.0798904	0.0429965	0.0169521	0.00794267
a87	0.149397	0.0891688	0.0819746	0.0891845	0.114085	0.099199	0.128338	0.105021	0.0724325	0.04616	0.0250404
a23	0.2648	0.196702	0.132021	0.108666	0.0829224	0.0421034	0.0432618	0.0279148	0.0344082	0.0386245	0.0285758
a97	0.219505	0.219111	0.191793	0.15642	0.0769805	0.0249056	0.0232762	0.0152673	0.0233039	0.030471	0.018967
a24	0.210156	0.169172	0.140975	0.148673	0.0942444	0.04487	0.0523916	0.0355545	0.0429568	0.0390559	0.0219508
a83	0.226205	0.195475	0.175374	0.103437	0.0644093	0.0268678	0.0302387	0.0304875	0.0540355	0.0628761	0.0305935
a24	0.299907	0.228703	0.161139	0.0735219	0.0396287	0.0182369	0.0223498	0.0250939	0.0440991	0.0634442	0.023876
a62	0.200647	0.2181	0.199616	0.110533	0.0690234	0.0360307	0.034395	0.0285277	0.0334398	0.0432242	0.0264627
a88	0.123591	0.189869	0.221411	0.165097	0.108834	0.0537295	0.0378589	0.0253131	0.0238082	0.0279034	0.0225853
a21	0.0867953	0.152325	0.212099	0.192574	0.129824	0.0704776	0.0479433	0.0318564	0.0244838	0.0261513	0.0254697
a23	0.0911961	0.12422	0.166363	0.177209	0.148732	0.106541	0.0651947	0.0375874	0.0256935	0.0294093	0.0278539
a27	0.0506978	0.0847282	0.142437	0.177373	0.163046	0.133724	0.0799316	0.0498357	0.0329639	0.0396398	0.0456234
a25	0.0396983	0.0601582	0.103776	0.136306	0.132521	0.106439	0.0710672	0.0734025	0.0740007	0.0923145	0.110317
a10	0.0374668	0.0653975	0.125211	0.182392	0.183646	0.107253	0.0585171	0.0444981	0.0403852	0.0610933	0.0941391
a11	0.029461	0.047044	0.0927879	0.150826	0.161422	0.11164	0.0675504	0.0573983	0.055918	0.0903952	0.135556
a62	0.0203947	0.0244466	0.0463583	0.0871588	0.12269	0.137171	0.0935331	0.0874431	0.0794078	0.127643	0.173754
a21	0.0233052	0.0249822	0.0423631	0.0844563	0.119463	0.15938	0.122029	0.112711	0.080712	0.100669	0.129929
a18	0.0353894	0.030825	0.0393336	0.0702263	0.108348	0.143231	0.118383	0.138451	0.102042	0.100995	0.112775
a62	0.0113183	0.0116036	0.0200027	0.036447	0.0653825	0.106272	0.0933908	0.122272	0.133853	0.192195	0.207263
a88	0.00788382	0.00786761	0.0132049	0.0261582	0.042837	0.0694514	0.0604638	0.0895015	0.118004	0.246202	0.318425
a0	0.00679542	0.00635043	0.00933957	0.0169896	0.0250382	0.0390827	0.0369791	0.0642241	0.0952847	0.248783	0.451134
a11	0.00311357	0.00283277	0.00436988	0.00726795	0.0129157	0.026291	0.0258456	0.0530761	0.0935839	0.256807	0.513897
a93	0.0037875	0.00333709	0.00478973	0.0065546	0.0114278	0.0201746	0.0171768	0.0343613	0.0643028	0.199935	0.634153
a13	0.00110445	0.00102836	0.00168662	0.00289161	0.00477862	0.00982201	0.011062	0.0311831	0.074154	0.260168	0.602121
a38	0.000568043	0.000535792	0.000943179	0.00153998	0.00278537	0.00538032	0.00504126	0.017667	0.0552961	0.213872	0.696371
a13	0.00193881	0.00149135	0.00193594	0.00239377	0.00330818	0.00551235	0.00502192	0.0175624	0.0488461	0.168786	0.743203
a57	0.00568348	0.00377566	0.0038613	0.00388868	0.00425832	0.00753053	0.00835237	0.0269126	0.0572879	0.169738	0.708711
a82	0.0381885	0.0190497	0.015063	0.0121009	0.0109467	0.0164025	0.0221374	0.0500859	0.0829633	0.175	0.558062
a57	0.129185	0.0544169	0.0317864	0.0253531	0.0211601	0.0250999	0.0361056	0.0610535	0.108008	0.18797	0.319862
a87	0.131622	0.0749183	0.0509206	0.0466834	0.0466618	0.048956	0.0672034	0.088088	0.119038	0.144509	0.181399
</S>	0.103151	0.0690743	0.0549535	0.0567001	0.0624995	0.0619626	0.0766578	0.100362	0.127014	0.141401	0.146224
