 	les	enfants	s'	amusent	dans	la	parcelle	</S>
a66	0.243445	0.148569	0.10882	0.134141	0.146828	0.107458	0.0648628	0.0458753
a87	0.118686	0.0940668	0.0985706	0.153536	0.190761	0.147036	0.100614	0.0967297
a97	0.247021	0.134631	0.101764	0.129465	0.130305	0.0989313	0.0779376	0.0799448
a87	0.231672	0.142049	0.115265	0.153456	0.128567	0.0864759	0.0717187	0.0707958
a97	0.252427	0.145072	0.108407	0.143723	0.117916	0.0853495	0.0747052	0.0724012
a99	0.23994	0.149372	0.113725	0.147451	0.119689	0.0858355	0.0755169	0.06847
a97	0.323773	0.157661	0.0886303	0.101233	0.0971116	0.0743326	0.07409	0.0831689
a99	0.277123	0.157981	0.100051	0.114171	0.106359	0.0831	0.0829529	0.0782607
a54	0.324907	0.155833	0.0823292	0.0979505	0.100053	0.0802653	0.0820966	0.0765657
a92	0.452871	0.223968	0.109921	0.0602521	0.0519714	0.0355851	0.033331	0.0320995
a37	0.299489	0.207864	0.160809	0.0932285	0.0857644	0.0590433	0.0504868	0.0433143
a98	0.200965	0.175433	0.176121	0.101981	0.0992581	0.0785592	0.0777994	0.0898836
a47	0.161746	0.185545	0.213153	0.121953	0.100847	0.0746218	0.0687888	0.0733449
a0	0.0986026	0.130626	0.154104	0.110678	0.108544	0.103053	0.127022	0.16737
a75	0.0677676	0.083147	0.116993	0.137878	0.131557	0.122406	0.134455	0.205796
a6	0.0464586	0.06805	0.0964599	0.127302	0.142317	0.150961	0.152864	0.215588
a85	0.0405368	0.0626648	0.0828304	0.133611	0.163721	0.17732	0.147397	0.191919
a6	0.0285395	0.0444314	0.0577632	0.100489	0.13789	0.194323	0.19162	0.244944
a0	0.0236747	0.0319121	0.040773	0.079483	0.112756	0.161795	0.212072	0.337535
a43	0.0135575	0.0179789	0.0227976	0.0365507	0.0550529	0.108555	0.236138	0.50937
a61	0.0046846	0.0061619	0.00850587	0.0190487	0.0327076	0.0757167	0.238953	0.614222
a75	0.0072742	0.00865234	0.0106827	0.0228343	0.041573	0.0879722	0.228681	0.59233
a47	0.00500461	0.00644651	0.00668991	0.0125052	0.0221526	0.0637989	0.218921	0.664482
a37	0.00381667	0.005575	0.00652369	0.0136804	0.0218611	0.0628899	0.214635	0.671019
a6	0.015802	0.0182121	0.0187234	0.0325598	0.0433238	0.0874164	0.226484	0.557478
a36	0.0102057	0.0128999	0.0131886	0.0185515	0.0263944	0.0653756	0.217888	0.635496
a2	0.0262692	0.0276667	0.0274724	0.0431415	0.0544961	0.108411	0.242686	0.469857
a57	0.0743217	0.0813393	0.0874547	0.114776	0.122442	0.138644	0.157761	0.223262
a82	0.151083	0.105369	0.0842183	0.103011	0.113088	0.12308	0.138781	0.18137
a97	0.21564	0.127757	0.087436	0.0868559	0.0911485	0.100467	0.122562	0.168134
a87	0.165024	0.094311	0.0660035	0.0761065	0.0930438	0.124601	0.173968	0.206942
a97	0.156657	0.0846498	0.0559797	0.0732019	0.094152	0.129192	0.179032	0.227136
a99	0.149513	0.0875028	0.0610836	0.0982252	0.119688	0.129047	0.151036	0.203905
a97	0.0969324	0.0728241	0.0636934	0.0946384	0.117039	0.128469	0.162916	0.263488
a9	0.107684	0.0845525	0.0737851	0.112091	0.126274	0.125996	0.149944	0.219673
a97	0.127537	0.0915695	0.0736868	0.111052	0.124321	0.122205	0.142616	0.207012
</S>	0.125153	0.0937038	0.0790541	0.110093	0.119728	0.117355	0.140589	0.214324
