 	nous	dormons	dans	la	barge	</S>
a87	0.301319	0.306552	0.122844	0.113144	0.0997235	0.0564164
a23	0.163766	0.292961	0.225148	0.132791	0.122255	0.0630803
a50	0.215293	0.33135	0.221345	0.106405	0.0647478	0.0608589
a88	0.259727	0.301837	0.227582	0.0900242	0.0507738	0.0700566
a0	0.392735	0.349891	0.167889	0.0420357	0.0239232	0.0235268
a62	0.239743	0.279175	0.283747	0.106714	0.0511568	0.0394646
a21	0.157508	0.233734	0.357959	0.177336	0.0471626	0.0262993
a12	0.169046	0.27218	0.301181	0.176492	0.0509072	0.0301954
a96	0.152314	0.271704	0.282526	0.179029	0.0642206	0.0502063
a75	0.100413	0.238282	0.277782	0.21189	0.0888386	0.0827945
a92	0.137344	0.260615	0.218737	0.157	0.111886	0.114417
a0	0.0830334	0.180922	0.251958	0.239522	0.124676	0.119889
a96	0.0595381	0.114548	0.180769	0.307805	0.19233	0.14501
a93	0.0496394	0.0940323	0.134332	0.305868	0.24317	0.172959
a62	0.0386986	0.0739786	0.0929639	0.257401	0.29763	0.239328
a31	0.0295609	0.042318	0.0586084	0.185697	0.331062	0.352754
a75	0.0153619	0.024242	0.0379402	0.143543	0.329331	0.449582
a79	0.021032	0.0197165	0.024406	0.076227	0.232751	0.625867
a7	0.00609159	0.00497679	0.0106355	0.0506828	0.206319	0.721294
a56	0.00474397	0.00764052	0.0140408	0.0474726	0.174889	0.751213
a12	0.00403229	0.00525927	0.0131754	0.0522473	0.194695	0.730591
a61	0.000894036	0.00177551	0.00780677	0.0356289	0.168976	0.784919
a21	0.00127123	0.00241307	0.00950637	0.0434529	0.211062	0.732294
a12	0.00205061	0.00351765	0.00819854	0.0306956	0.153993	0.801544
a18	0.000834999	0.00121656	0.00514844	0.0221662	0.14532	0.825314
a71	0.00658036	0.00709103	0.0160137	0.0549425	0.181979	0.733393
a25	0.0333876	0.0209478	0.0135611	0.0365158	0.150836	0.744752
a97	0.0936793	0.0886742	0.0729758	0.0921048	0.202796	0.44977
a87	0.0391814	0.0580671	0.108546	0.127317	0.289134	0.377754
a23	0.0393384	0.0668795	0.160298	0.149548	0.245456	0.33848
a87	0.00752263	0.015899	0.0695141	0.129799	0.216112	0.561154
a10	0.00328447	0.00943874	0.0467737	0.0711067	0.177798	0.691598
a87	0.00526141	0.0158538	0.0590848	0.0737154	0.162653	0.683431
a10	0.00945484	0.0208503	0.0638557	0.077848	0.174534	0.653457
a87	0.00935751	0.0290266	0.0680148	0.0826024	0.160957	0.650042
</S>	0.0197786	0.0431649	0.0794759	0.0840149	0.16729	0.606276
