 	le	testeur	de	cette	machine	est	un	homme	blanc	</S>
a66	0.243628	0.204648	0.100483	0.072715	0.0982276	0.0927017	0.0935206	0.056736	0.0222804	0.0150596
a87	0.284924	0.212771	0.149155	0.144898	0.0945365	0.0490168	0.0285143	0.0167427	0.00914419	0.0102976
a23	0.334195	0.388143	0.154286	0.0790773	0.0205751	0.00577582	0.00433863	0.00443574	0.00387647	0.00529601
a30	0.319965	0.391344	0.141969	0.0847226	0.024779	0.00862703	0.00489684	0.00455214	0.00594486	0.0131999
a4	0.26426	0.320352	0.187218	0.138979	0.0369495	0.0153665	0.00860217	0.00722355	0.00788224	0.0131672
a70	0.279002	0.248471	0.179502	0.108673	0.0426867	0.0290098	0.023942	0.0254959	0.0291621	0.0340549
a34	0.155901	0.160095	0.249794	0.232603	0.0751611	0.0420184	0.022816	0.0212948	0.020557	0.019759
a21	0.152917	0.140883	0.2345	0.227725	0.0834567	0.0491573	0.0281105	0.0278465	0.0277997	0.0276042
a41	0.102839	0.102079	0.153794	0.172705	0.125817	0.104511	0.0656803	0.0596681	0.0570325	0.0558746
a5	0.0392519	0.0405532	0.0818399	0.105097	0.137521	0.167325	0.136674	0.114823	0.0983383	0.078576
a43	0.0563214	0.0666272	0.102177	0.109822	0.134457	0.161494	0.131026	0.0919953	0.0760041	0.0700753
a31	0.030139	0.0398933	0.0827552	0.117393	0.242669	0.218521	0.1204	0.0591169	0.0433538	0.0457588
a47	0.0168264	0.0233302	0.0441296	0.0737382	0.269467	0.234138	0.145215	0.0714845	0.0536319	0.0680386
a61	0.0282803	0.0376283	0.0584595	0.0876711	0.276716	0.224354	0.136312	0.0587043	0.0404216	0.051453
a21	0.0130871	0.017637	0.0240963	0.0400722	0.22353	0.255204	0.195537	0.092546	0.0620709	0.0762195
a5	0.0173806	0.0262293	0.0313698	0.0463411	0.151594	0.19893	0.214571	0.128885	0.0884226	0.0962767
a21	0.0163407	0.0237288	0.0241853	0.0352596	0.115539	0.151144	0.227494	0.169051	0.11478	0.122477
a5	0.0199406	0.0285164	0.0261667	0.0333182	0.111289	0.135036	0.216068	0.181805	0.126157	0.121703
a85	0.018177	0.0270114	0.022226	0.0286024	0.0885446	0.0935576	0.180927	0.198397	0.159049	0.183509
a47	0.0411621	0.0465261	0.0315434	0.0376107	0.0628268	0.0707174	0.14043	0.149331	0.161683	0.25817
a6	0.0149483	0.0167173	0.00972757	0.0113542	0.0260978	0.0311335	0.0699212	0.117383	0.196732	0.505985
a36	0.0207082	0.0212613	0.0130165	0.0150011	0.0326831	0.0337557	0.0658256	0.0994174	0.186625	0.511706
a26	0.0867372	0.084732	0.0601405	0.0686399	0.0617126	0.0406207	0.0435667	0.0513501	0.124527	0.377973
a57	0.0997361	0.0947309	0.0484924	0.0653386	0.0646345	0.0426578	0.0471753	0.0588997	0.141409	0.336925
a87	0.202842	0.181668	0.0652097	0.0610917	0.0551217	0.0411408	0.0511113	0.0654617	0.099479	0.176875
a23	0.324076	0.303962	0.152543	0.0706042	0.0268271	0.0177195	0.0232596	0.0254519	0.0245275	0.0310285
a87	0.147053	0.134528	0.0868109	0.0793437	0.0416349	0.0370969	0.0675889	0.103818	0.132147	0.169978
</S>	0.0378476	0.0367463	0.0195706	0.0206194	0.0276236	0.0406752	0.0834239	0.125326	0.210358	0.39781
