 	ma	femme	a	porté	un	pagne	</S>
a66	0.351096	0.19428	0.141822	0.114494	0.093994	0.0638211	0.0404937
a87	0.190003	0.174467	0.180967	0.169582	0.136676	0.0863653	0.0619402
a10	0.455963	0.21884	0.112945	0.0788447	0.0545391	0.0437935	0.0350744
a87	0.537396	0.235116	0.10092	0.0545932	0.0285261	0.0215858	0.0218622
a23	0.512431	0.239313	0.105061	0.0584528	0.0315184	0.025843	0.0273809
a44	0.496081	0.217019	0.0996367	0.059167	0.041813	0.0444658	0.0418176
a54	0.382376	0.196166	0.125585	0.101206	0.0672648	0.071177	0.0562249
a47	0.231785	0.210962	0.179817	0.142736	0.0958412	0.084502	0.0543561
a73	0.140289	0.163603	0.185287	0.194824	0.143548	0.108286	0.0641637
a85	0.149376	0.16807	0.177467	0.157035	0.134116	0.115135	0.0988004
a92	0.105552	0.133052	0.15805	0.157118	0.1717	0.146257	0.128271
a85	0.13511	0.119141	0.115559	0.126713	0.182826	0.16559	0.155062
a21	0.053697	0.063521	0.0902434	0.142001	0.232651	0.216339	0.201548
a12	0.0570102	0.0566063	0.0719897	0.108416	0.215207	0.245015	0.245756
a18	0.0215837	0.0225868	0.0353648	0.0674704	0.177022	0.290521	0.385451
a71	0.010918	0.00884676	0.0102541	0.017968	0.060189	0.230969	0.660855
a3	0.012389	0.0114053	0.0141062	0.0229997	0.058998	0.21488	0.665221
a87	0.019965	0.0173584	0.0235676	0.0408741	0.0904261	0.236145	0.571664
a23	0.110932	0.0859471	0.0724557	0.0698103	0.0945446	0.175472	0.390838
a38	0.056606	0.0464625	0.0559409	0.0732356	0.123173	0.237853	0.406729
</S>	0.00918534	0.0111137	0.020559	0.0487715	0.140487	0.302612	0.467272
