 	il	va	te	poser	ce	problème	aujourd'	hui	</S>
a66	0.370997	0.266709	0.122417	0.0576561	0.0364882	0.0386871	0.0352445	0.0332113	0.0385906
a87	0.405021	0.341712	0.145809	0.0368469	0.0103663	0.00841565	0.00777597	0.0154971	0.0285561
a23	0.513749	0.328001	0.0758375	0.0157207	0.00690242	0.00696804	0.00893673	0.0163279	0.0275571
a79	0.284253	0.230831	0.0705682	0.0498888	0.0451597	0.0537409	0.0489201	0.0805887	0.136049
a54	0.415024	0.36837	0.0988276	0.0341447	0.0157802	0.0133749	0.0144162	0.0180656	0.0219964
a47	0.237549	0.357784	0.243748	0.087767	0.0250602	0.01191	0.00998462	0.0128761	0.0133214
a37	0.159388	0.329466	0.342027	0.111141	0.024075	0.00666504	0.00564333	0.00978217	0.0118115
a47	0.187432	0.284508	0.36683	0.0972953	0.0232483	0.00791858	0.00696659	0.0111388	0.0146621
a85	0.151782	0.276948	0.359365	0.114002	0.0429978	0.0140157	0.0103772	0.0141739	0.0163389
a6	0.130829	0.205402	0.319533	0.143083	0.0735412	0.030884	0.0283701	0.0331949	0.0351622
a61	0.152453	0.180887	0.241089	0.143938	0.0993753	0.0545506	0.0474644	0.040032	0.040211
a93	0.12408	0.0954291	0.124789	0.152512	0.137031	0.0844001	0.0927779	0.0900043	0.0989766
a90	0.0445463	0.0319241	0.0391136	0.114987	0.176464	0.132617	0.160282	0.145037	0.15503
a92	0.0177637	0.0177723	0.0316442	0.126102	0.198163	0.158252	0.162938	0.144803	0.142561
a44	0.00477534	0.00443477	0.00682161	0.044101	0.133337	0.177007	0.230654	0.192296	0.206573
a56	0.00444503	0.00302209	0.00325774	0.0107578	0.0451757	0.105721	0.243529	0.253536	0.330557
a62	0.00229202	0.00145655	0.00164558	0.00566346	0.0250655	0.0758381	0.242077	0.284409	0.361553
a88	0.00120952	0.000781417	0.00103733	0.00488226	0.0182161	0.0637471	0.219541	0.287228	0.403358
a98	0.00141848	0.000988141	0.00135727	0.00619175	0.0170012	0.0594724	0.199045	0.249097	0.465429
a15	0.000260014	0.000199359	0.000362227	0.00265058	0.0127425	0.049466	0.194912	0.279384	0.460023
a7	0.000644788	0.000446846	0.000827468	0.00445212	0.0177566	0.0588672	0.172929	0.261217	0.482858
a84	0.00265219	0.00196184	0.0035433	0.00746325	0.019073	0.0730051	0.194562	0.263508	0.434232
a57	0.0610862	0.0323336	0.0390435	0.062416	0.0682248	0.0848269	0.177928	0.226264	0.247878
a87	0.273133	0.130585	0.071565	0.0534142	0.041734	0.0584957	0.0981263	0.129843	0.143103
a23	0.369071	0.227472	0.134354	0.0586198	0.0294953	0.032333	0.0386025	0.0509222	0.0591295
a87	0.18916	0.106984	0.0411652	0.032996	0.0381992	0.0502745	0.105992	0.186927	0.248301
</S>	0.0189212	0.0146825	0.0116443	0.0192154	0.0262646	0.0580263	0.14758	0.28804	0.415625
