 	il	s'	est	blessé	à	la	cheville	</S>
a87	0.1827	0.14354	0.154183	0.186087	0.167509	0.0973216	0.0418501	0.0268094
a79	0.163631	0.112307	0.130428	0.149057	0.11808	0.12793	0.114046	0.0845209
a15	0.263951	0.19496	0.153677	0.108769	0.0609459	0.0572028	0.063412	0.0970817
a44	0.366934	0.279676	0.166295	0.0774896	0.0397438	0.0229272	0.0198581	0.0270754
a61	0.390298	0.298506	0.163541	0.0727979	0.0310223	0.0149987	0.0121728	0.0166637
a98	0.352075	0.306185	0.187093	0.0843765	0.0352911	0.016797	0.00968199	0.00849991
a25	0.192548	0.241281	0.235141	0.175082	0.0863806	0.0339817	0.0178988	0.0176864
a38	0.17985	0.218017	0.23008	0.191979	0.100138	0.0372736	0.0208823	0.0217803
a25	0.16326	0.193121	0.22565	0.199495	0.102606	0.0418316	0.0324961	0.0415398
a44	0.137479	0.156941	0.198411	0.21239	0.143583	0.0613614	0.0392255	0.0506099
a11	0.11925	0.126208	0.169365	0.216242	0.153997	0.0754712	0.0570638	0.0824032
a75	0.129861	0.128309	0.148512	0.196883	0.162945	0.0976179	0.0631447	0.0727276
a92	0.110011	0.10063	0.0982294	0.11775	0.13569	0.135292	0.122007	0.180391
a66	0.107495	0.0990499	0.0947911	0.106369	0.12908	0.148833	0.129517	0.184866
a61	0.0687653	0.0650543	0.0667014	0.0879178	0.120242	0.146251	0.213087	0.231981
a47	0.0640167	0.0605981	0.0576315	0.0716741	0.108995	0.177616	0.22935	0.230119
a0	0.0566998	0.0493658	0.0490389	0.0636332	0.0960924	0.160103	0.255979	0.269088
a75	0.0073522	0.00686154	0.00921247	0.0156065	0.0364883	0.134416	0.314119	0.475944
a66	0.0190251	0.016714	0.016973	0.0198185	0.0286524	0.0813887	0.272649	0.54478
a9	0.00185914	0.00141834	0.0019234	0.00387891	0.0117649	0.0643734	0.261596	0.653186
a79	0.010399	0.00827629	0.0100662	0.015862	0.0340929	0.0766764	0.222894	0.621733
a13	0.00351951	0.00278281	0.00380605	0.00666568	0.0169465	0.0636616	0.214597	0.688021
a9	0.00288143	0.00222959	0.0034579	0.00735149	0.018367	0.0558961	0.250483	0.659333
a87	0.0207147	0.0152064	0.0159651	0.0222381	0.032019	0.0731031	0.231521	0.589232
a23	0.076783	0.0564705	0.0612705	0.0881519	0.0975953	0.128675	0.192826	0.298227
a87	0.0484775	0.0285342	0.022177	0.0269424	0.0443065	0.105088	0.232593	0.491881
a23	0.0128488	0.00961869	0.00977702	0.015747	0.0304784	0.0821865	0.185451	0.653892
a99	0.0209241	0.0151275	0.0144354	0.0214596	0.0420645	0.111327	0.223487	0.551175
a97	0.034901	0.0250255	0.024288	0.0367506	0.0579948	0.117876	0.200384	0.502781
</S>	0.0271606	0.0204891	0.020759	0.0307667	0.045522	0.0974771	0.185656	0.572169
