 	lui	aussi	est	malade	</S>
a66	0.29297	0.241764	0.200182	0.153626	0.111459
a87	0.216993	0.246257	0.198013	0.163304	0.175434
a97	0.369291	0.289206	0.146831	0.0953117	0.0993613
a3	0.357714	0.296865	0.158368	0.0991282	0.0879253
a30	0.323216	0.31305	0.169113	0.105886	0.0887353
a53	0.447426	0.257515	0.119341	0.0863852	0.0893333
a90	0.545498	0.207773	0.0991466	0.0741134	0.0734686
a15	0.514736	0.205551	0.109411	0.0816158	0.0886863
a73	0.332375	0.165758	0.149804	0.151778	0.200286
a7	0.252521	0.147655	0.165879	0.179341	0.254603
a98	0.157241	0.0997948	0.139976	0.207087	0.395901
a41	0.161017	0.11626	0.161749	0.215545	0.345429
a36	0.174217	0.187694	0.194801	0.188637	0.254651
a75	0.114787	0.184031	0.22151	0.21467	0.265002
a56	0.0258674	0.0849609	0.189017	0.301894	0.398261
a36	0.054573	0.144448	0.27061	0.276749	0.25362
a75	0.0389565	0.0851339	0.215684	0.304088	0.356138
a25	0.0258582	0.0712984	0.179085	0.308361	0.415398
a92	0.0130975	0.0478697	0.140436	0.323665	0.474931
a98	0.0135502	0.041371	0.128693	0.315795	0.500591
a44	0.0106611	0.0347642	0.0988694	0.296882	0.558823
a56	0.00799882	0.0203472	0.0737298	0.277747	0.620177
a90	0.00911637	0.0213582	0.0771914	0.291511	0.600823
a25	0.00985876	0.0195852	0.0691568	0.278967	0.622432
a73	0.00944521	0.01675	0.0582418	0.245847	0.669716
a7	0.0260134	0.0402903	0.0991026	0.261488	0.573106
a58	0.0187983	0.0282114	0.0759139	0.223908	0.653169
a82	0.0401375	0.0595047	0.121347	0.274435	0.504575
a3	0.1378	0.154386	0.16833	0.238057	0.301427
a97	0.198397	0.188053	0.190913	0.203788	0.218849
a3	0.134212	0.123567	0.182845	0.243452	0.315924
a82	0.101499	0.115731	0.186042	0.247815	0.348913
</S>	0.114628	0.180662	0.198995	0.216607	0.289108
