 	il	est	parti	en	brousse	</S>
a23	0.447021	0.185818	0.0867167	0.0673649	0.0887562	0.124324
a53	0.506498	0.208375	0.0814517	0.0563697	0.06206	0.0852464
a15	0.311055	0.177074	0.105164	0.0990954	0.142293	0.165318
a98	0.513401	0.263228	0.0933105	0.0508614	0.0505399	0.0286595
a92	0.4121	0.264446	0.1356	0.0797938	0.0713399	0.0367201
a37	0.36299	0.228099	0.124256	0.0959659	0.115661	0.0730275
a11	0.387659	0.230827	0.119526	0.0881712	0.0915445	0.0822721
a75	0.257641	0.214924	0.167954	0.130407	0.116148	0.112925
a25	0.107371	0.115469	0.127491	0.169473	0.221165	0.259031
a7	0.0658792	0.0804004	0.135939	0.205294	0.260506	0.251981
a90	0.0505402	0.0567813	0.0937658	0.188175	0.267584	0.343154
a69	0.0235098	0.0341045	0.0634198	0.152126	0.264417	0.462423
a58	0.0214578	0.028161	0.0397977	0.11254	0.260087	0.537956
a84	0.00666809	0.00810599	0.0163561	0.0627905	0.185525	0.720555
a87	0.0292598	0.0275653	0.0524285	0.122489	0.262083	0.506174
a23	0.301684	0.196461	0.127334	0.121856	0.11997	0.132695
a87	0.117083	0.116199	0.144097	0.196868	0.232071	0.193682
</S>	0.0206337	0.0320952	0.0866307	0.182944	0.314609	0.363087
