 	il	avait	fermé	sa	maison	avant	de	voyager	</S>
a23	0.227239	0.176113	0.139081	0.166983	0.116241	0.0639493	0.0479927	0.0398473	0.0225547
a84	0.290767	0.112781	0.073489	0.102351	0.11461	0.0835526	0.0761277	0.0869367	0.0593849
a30	0.314278	0.212213	0.109431	0.0744113	0.0564373	0.0378873	0.0384926	0.0630804	0.0937689
a53	0.276029	0.180814	0.0749195	0.0681834	0.0501645	0.0506303	0.0509545	0.0985997	0.149705
a15	0.372173	0.229483	0.0657547	0.0484989	0.0338684	0.0346368	0.0459961	0.068147	0.101442
a69	0.403615	0.247719	0.0806923	0.0598625	0.0358485	0.030089	0.029496	0.0427294	0.069948
a98	0.381484	0.232391	0.0905259	0.0755386	0.0376876	0.0308538	0.0308058	0.044527	0.0761868
a47	0.188811	0.162424	0.109768	0.100276	0.0680678	0.0604303	0.0723513	0.104257	0.133615
a6	0.217866	0.193521	0.112596	0.0978544	0.0569252	0.0485664	0.0562125	0.0880167	0.128441
a85	0.242854	0.200415	0.136542	0.137236	0.0711983	0.0481066	0.0437868	0.0506807	0.0691803
a37	0.107163	0.11992	0.0972558	0.0935864	0.0788561	0.0769618	0.0952098	0.143859	0.187188
a75	0.194745	0.207567	0.139018	0.120936	0.0764066	0.0579566	0.0520422	0.0659845	0.0853443
a93	0.0932857	0.107082	0.0990201	0.0997632	0.0811962	0.0827304	0.096379	0.140962	0.199581
a13	0.10775	0.13135	0.148472	0.156535	0.0985311	0.0737687	0.0709643	0.0883042	0.124324
a93	0.0626946	0.0854441	0.155983	0.191393	0.131444	0.0910854	0.0720984	0.0816837	0.128175
a0	0.0332538	0.0468434	0.0951863	0.137102	0.133035	0.120205	0.122524	0.137392	0.174458
a75	0.0240761	0.0318947	0.0646815	0.0793833	0.0968202	0.121748	0.144055	0.187158	0.250183
a70	0.0274324	0.0347586	0.0533364	0.0609584	0.0637959	0.084301	0.10538	0.188333	0.381705
a62	0.0208972	0.0279588	0.0499934	0.0565222	0.0678861	0.101656	0.126937	0.222519	0.32563
a21	0.025735	0.0321474	0.0539206	0.0630794	0.0759185	0.106276	0.12628	0.20651	0.310132
a96	0.0260902	0.0305969	0.0454257	0.0525459	0.061572	0.0905979	0.107637	0.208931	0.376604
a75	0.00714378	0.00932843	0.0175711	0.0187949	0.0266391	0.0471216	0.0798403	0.229733	0.563828
a47	0.0106447	0.0122393	0.0193227	0.0243628	0.0286964	0.0468295	0.0731405	0.218208	0.566556
a36	0.00673254	0.00704848	0.0116356	0.0146543	0.0199204	0.0358424	0.0716659	0.252265	0.580235
a26	0.00220119	0.00185952	0.00441883	0.00690853	0.0149064	0.0337248	0.0654788	0.244505	0.625997
a30	0.010842	0.00570635	0.00892649	0.013587	0.0307485	0.060246	0.0916296	0.216942	0.561372
a10	0.0457456	0.0322345	0.0432416	0.0489677	0.0804503	0.115812	0.143371	0.220398	0.26978
a87	0.0517847	0.0408849	0.0683076	0.0838889	0.120869	0.132203	0.144986	0.187634	0.169442
a10	0.0618836	0.0511308	0.0848406	0.081479	0.109779	0.122335	0.123758	0.172789	0.192005
</S>	0.050187	0.038795	0.0638119	0.0612173	0.0806481	0.0893389	0.105188	0.200627	0.310187
