 	les	champignons	de	savane	qu'	ils	vendent	sont	pourris	</S>
a66	0.293174	0.203054	0.10531	0.0960703	0.109874	0.106152	0.0364595	0.0214644	0.017406	0.0110352
a87	0.331558	0.163209	0.0769491	0.041909	0.0662413	0.0597192	0.055198	0.067965	0.0801013	0.0571502
a23	0.267894	0.248752	0.192174	0.120658	0.0560048	0.0258458	0.018155	0.0233769	0.0221847	0.0249553
a87	0.246751	0.223728	0.176793	0.104595	0.0646329	0.0226394	0.0234298	0.0414619	0.049126	0.0468429
a23	0.222369	0.207761	0.178407	0.122647	0.0653544	0.0246076	0.0273986	0.0454072	0.0578849	0.0481631
a40	0.161381	0.127478	0.0990414	0.0710235	0.0530935	0.0311525	0.0463587	0.114551	0.159266	0.136654
a7	0.30077	0.256283	0.137882	0.0835636	0.0710313	0.0439059	0.0281261	0.03048	0.030427	0.0175308
a53	0.253648	0.255007	0.157781	0.10509	0.0799507	0.0339868	0.0219616	0.0279328	0.035166	0.0294764
a90	0.216901	0.225947	0.173826	0.128137	0.0958306	0.0407485	0.0248339	0.0288713	0.0338955	0.0310093
a56	0.209559	0.207711	0.153291	0.117383	0.103968	0.0558082	0.0395956	0.0394723	0.0373868	0.0358252
a98	0.205388	0.191744	0.145715	0.121434	0.107951	0.0602217	0.0442429	0.042469	0.0386149	0.0422185
a47	0.0674625	0.0853723	0.10138	0.114421	0.172468	0.145067	0.101988	0.0692138	0.0609979	0.0816303
a85	0.0567581	0.0692727	0.0766476	0.101691	0.166617	0.110149	0.101277	0.0912586	0.091785	0.134544
a47	0.036425	0.0466809	0.0620903	0.0901428	0.162949	0.113962	0.0919662	0.0809765	0.106001	0.208806
a36	0.0172911	0.0244115	0.036243	0.0735407	0.152336	0.102153	0.0790721	0.0913986	0.142885	0.280668
a21	0.0209579	0.0250129	0.0350446	0.0803256	0.165076	0.110557	0.0761391	0.0915971	0.126753	0.268537
a98	0.0252872	0.0247226	0.0296254	0.0522265	0.117733	0.159688	0.113999	0.0957339	0.12374	0.257243
a6	0.0073269	0.00850972	0.0116599	0.0215975	0.0606089	0.0977419	0.132423	0.121256	0.15861	0.380266
a98	0.00461912	0.00557763	0.00840371	0.0211799	0.0648614	0.119861	0.130168	0.11698	0.175603	0.352746
a85	0.00236153	0.00274915	0.00384826	0.00767695	0.0236853	0.0661646	0.103851	0.102837	0.185186	0.501641
a47	0.00146506	0.00173397	0.00232906	0.00425713	0.0127686	0.0440654	0.111328	0.125126	0.20534	0.491587
a37	0.000783434	0.000904788	0.00114765	0.00231273	0.00641262	0.0256372	0.0784989	0.132745	0.21224	0.539318
a66	0.00172304	0.00200103	0.00242088	0.00389392	0.00608394	0.0127341	0.041871	0.0946718	0.164756	0.669845
a53	0.00390468	0.00349723	0.00370246	0.0057041	0.00927119	0.0203621	0.0660081	0.105411	0.17616	0.60598
a4	0.00271943	0.00247805	0.00272415	0.00419329	0.00864166	0.0236735	0.0896538	0.13035	0.189248	0.546318
a57	0.00508877	0.00461673	0.00473681	0.00575764	0.0103695	0.0293391	0.11834	0.157309	0.191664	0.472779
a82	0.00174097	0.00117168	0.000966001	0.00117115	0.00228199	0.0121764	0.0500349	0.0958102	0.218926	0.615721
a97	0.0328587	0.0197748	0.0138904	0.0111727	0.0175083	0.0514862	0.0812829	0.10246	0.214826	0.45474
a87	0.191151	0.116823	0.0790897	0.0532277	0.0550113	0.0774869	0.0761718	0.071319	0.106104	0.173615
a23	0.207635	0.173785	0.138241	0.095648	0.0785404	0.0786678	0.0682378	0.0552808	0.0561646	0.0477993
a99	0.0987214	0.04416	0.0259043	0.0144309	0.0238566	0.0419921	0.10478	0.151257	0.19143	0.303468
a87	0.0364207	0.0190193	0.013759	0.0102549	0.0153957	0.0279182	0.078206	0.142689	0.21494	0.441397
</S>	0.0096042	0.00546732	0.00434189	0.00345542	0.00533305	0.0100902	0.0459019	0.10781	0.242431	0.565565
