 	ils	m'	ont	dupé	</S>
a66	0.499521	0.287278	0.128859	0.0546169	0.0297248
a87	0.70994	0.197018	0.0584325	0.0182972	0.016312
a23	0.576293	0.270021	0.100501	0.0233326	0.0298525
a97	0.489871	0.201889	0.135437	0.0824453	0.0903576
a87	0.538745	0.276398	0.107515	0.0377018	0.0396397
a23	0.504098	0.273906	0.116846	0.0430202	0.06213
a54	0.237129	0.171123	0.220027	0.242727	0.128993
a47	0.252024	0.257733	0.213756	0.220051	0.0564361
a7	0.103938	0.171989	0.252492	0.401481	0.0700992
a44	0.0652542	0.103504	0.187201	0.529383	0.114658
a70	0.0888076	0.128596	0.154588	0.448799	0.179209
a96	0.0607334	0.0868062	0.111533	0.399986	0.340941
a54	0.0785209	0.107589	0.120025	0.334905	0.35896
a36	0.0353752	0.0736056	0.135491	0.385051	0.370477
a2	0.0250653	0.0327929	0.0833841	0.401853	0.456905
a84	0.0176126	0.0223751	0.0973809	0.294385	0.568247
a57	0.0593134	0.0410729	0.0801221	0.179281	0.64021
a87	0.271917	0.114938	0.113564	0.215026	0.284555
a23	0.35416	0.183012	0.146005	0.188639	0.128184
a87	0.236603	0.138459	0.191368	0.250948	0.182623
</S>	0.0277498	0.0368598	0.157271	0.476136	0.301983
