 	il	faut	faire	attention	à	ce	que	l'	on	vous	dit	</S>
a23	0.183236	0.168448	0.150439	0.0950089	0.0842593	0.0514385	0.0390387	0.0468948	0.0438011	0.0435346	0.0471355	0.0467656
a54	0.234787	0.173019	0.146914	0.0865799	0.0809286	0.0808864	0.0568018	0.0382268	0.0257605	0.0231789	0.0231005	0.0298163
a14	0.240165	0.207011	0.180426	0.140022	0.116243	0.0483886	0.0220714	0.012728	0.00974824	0.00773859	0.00732291	0.00813567
a41	0.257644	0.236629	0.192428	0.131838	0.0910744	0.0427063	0.0204576	0.0121831	0.00709746	0.00359534	0.00227753	0.00206841
a61	0.18568	0.201566	0.194658	0.16718	0.118308	0.0635555	0.031695	0.0159687	0.00794548	0.00472676	0.00419401	0.00452135
a41	0.144191	0.160299	0.174974	0.190086	0.136363	0.0857211	0.0493343	0.0250442	0.011569	0.00739081	0.0068865	0.00814283
a32	0.0944712	0.106469	0.122856	0.195209	0.165141	0.135	0.0781378	0.0411753	0.0200137	0.013522	0.0130324	0.0149737
a38	0.0866071	0.0961957	0.0991303	0.154113	0.140771	0.137155	0.104116	0.0696973	0.0374207	0.0250861	0.0229233	0.026784
a75	0.0906175	0.0942584	0.0850985	0.127535	0.127635	0.140564	0.114754	0.0799095	0.0439606	0.0312328	0.0286036	0.0358311
a41	0.088859	0.0908497	0.0862298	0.122678	0.110901	0.115048	0.101054	0.0840322	0.058321	0.0474091	0.0426857	0.0519328
a98	0.066204	0.0686318	0.0586597	0.0960725	0.0974678	0.104043	0.0996894	0.099854	0.087388	0.0772828	0.0657222	0.0789846
a41	0.0541015	0.05211	0.0438944	0.0534872	0.0450317	0.0485338	0.0674895	0.0943803	0.106516	0.136474	0.137843	0.160138
a31	0.040426	0.0402768	0.0312906	0.0459216	0.0383601	0.0457913	0.0688583	0.1045	0.130368	0.160598	0.147133	0.146476
a24	0.0597786	0.0605151	0.0492492	0.0521345	0.0359059	0.0373565	0.0612517	0.0993661	0.135106	0.166635	0.118784	0.123917
a41	0.0509736	0.054069	0.0388414	0.036393	0.0221724	0.019968	0.0270524	0.0505329	0.0958678	0.183833	0.187601	0.232695
a31	0.0442168	0.0420255	0.0261622	0.0288487	0.0194256	0.0167247	0.0250347	0.05108	0.101878	0.194931	0.202289	0.247383
a62	0.0314152	0.0301604	0.0192662	0.0204939	0.014857	0.0134029	0.0168108	0.0298486	0.0660718	0.189646	0.253496	0.314532
a98	0.0246489	0.0262358	0.0183181	0.0181327	0.0120826	0.0111308	0.0135615	0.0230016	0.0510478	0.162459	0.279043	0.360338
a94	0.0251238	0.0217162	0.0141155	0.0156464	0.0139303	0.0138537	0.0197505	0.035099	0.0734591	0.197632	0.271903	0.297769
a90	0.0141576	0.0121952	0.00783257	0.00934926	0.00829454	0.00855384	0.0119339	0.0206771	0.0469171	0.160943	0.306745	0.392401
a41	0.0220491	0.017606	0.0124874	0.0164944	0.0160361	0.0157124	0.0208443	0.0363082	0.0714761	0.191184	0.276276	0.303526
a24	0.023513	0.018509	0.0102567	0.0118564	0.0101521	0.0110418	0.01723	0.0321209	0.0692556	0.186826	0.279978	0.329261
a43	0.00830253	0.00690554	0.0036961	0.00397057	0.00287773	0.00279144	0.00447478	0.00985765	0.0302387	0.141395	0.308337	0.477152
a21	0.0111485	0.00940853	0.00514375	0.00590662	0.00466517	0.00468736	0.00621425	0.0111046	0.0299388	0.131169	0.29386	0.486753
a41	0.0191192	0.017238	0.0123701	0.0120547	0.00937801	0.00839971	0.0102257	0.0157868	0.0336296	0.119739	0.29096	0.451099
a35	0.0106904	0.00978317	0.00567506	0.00624482	0.00449768	0.0049505	0.00735003	0.0138398	0.0365564	0.141379	0.299348	0.459686
a44	0.0262301	0.0228002	0.0126042	0.0142509	0.00994265	0.00872819	0.0107662	0.0172255	0.0395844	0.126817	0.256396	0.454655
a98	0.0213797	0.0181799	0.00959231	0.0120533	0.00955373	0.00964686	0.0113954	0.017203	0.0366174	0.120378	0.2649	0.4691
a41	0.0172261	0.0152068	0.00815702	0.00883912	0.00720006	0.0071049	0.00928084	0.0156022	0.0363296	0.116327	0.275959	0.482768
a56	0.0341913	0.0288225	0.0157441	0.0169058	0.0114668	0.00954647	0.0113827	0.0188209	0.0426681	0.12632	0.275321	0.40881
a75	0.0197684	0.0173041	0.00968647	0.0113827	0.00859263	0.00809484	0.00946773	0.0151853	0.0335016	0.116779	0.268684	0.481553
a66	0.0088254	0.00770407	0.00436739	0.0045413	0.00354303	0.00342547	0.00476419	0.00940684	0.025333	0.107438	0.294568	0.526083
a62	0.00703201	0.00590748	0.00329389	0.00392672	0.0037028	0.00353798	0.00439106	0.00790199	0.0211226	0.09674	0.267586	0.574857
a98	0.00722512	0.00646077	0.00386038	0.00490717	0.0040808	0.00342021	0.00372128	0.00596848	0.0154891	0.0818494	0.269869	0.593148
a9	0.00964456	0.00857926	0.00463591	0.0050389	0.00384846	0.00299377	0.00350968	0.00654344	0.0185962	0.0866483	0.265553	0.584409
a87	0.00638798	0.00527796	0.00312764	0.00367449	0.0040508	0.00360278	0.00457389	0.00945465	0.0259993	0.0949422	0.258562	0.580347
</S>	0.00550959	0.00454337	0.00340327	0.00325352	0.00394184	0.00317712	0.00456244	0.010802	0.0288862	0.0986845	0.266208	0.567028
