 	mon	cadet	est	jaloux	de	moi	parce	que	notre	père	m'	a	donné	de	l'	argent	et	lui	en	a	refusé	</S>
a85	0.0861072	0.0764935	0.110784	0.1258	0.079584	0.0823871	0.0679416	0.0534578	0.0454658	0.0376977	0.0370472	0.0342938	0.0287491	0.0256911	0.0220065	0.0211388	0.0166472	0.0148458	0.0113501	0.00911102	0.0071367	0.00626322
a87	0.0978048	0.0594425	0.074411	0.0652151	0.0316373	0.0217564	0.02181	0.0195276	0.0201057	0.0268656	0.0444342	0.057976	0.0652043	0.0659834	0.0585885	0.0484608	0.045694	0.0491514	0.0420535	0.0387675	0.0255921	0.0195182
a23	0.0368456	0.0296147	0.0665971	0.0803908	0.0933982	0.0682663	0.0656689	0.0506804	0.0410374	0.0324716	0.0307837	0.0273245	0.0260072	0.026464	0.0245802	0.0205784	0.0240821	0.0278546	0.0354012	0.0467348	0.0617774	0.0834412
a87	0.108341	0.0932317	0.132903	0.0834845	0.0645846	0.0355684	0.0325743	0.0214617	0.0165429	0.0152324	0.0200015	0.0244628	0.0272157	0.0314377	0.0303488	0.0268096	0.0254853	0.026687	0.0292591	0.036458	0.0462371	0.0716728
a23	0.0790029	0.0812735	0.106103	0.0784663	0.0609975	0.0422073	0.0399815	0.0290451	0.0237479	0.0209219	0.027455	0.0329162	0.0368516	0.0423755	0.0404017	0.0386085	0.0359731	0.0357728	0.036766	0.0377549	0.0347314	0.0386461
a87	0.0781107	0.0788786	0.0907834	0.0618733	0.0446834	0.0271766	0.0227363	0.0193008	0.0167461	0.0155102	0.0222035	0.0307798	0.0405719	0.047789	0.0452316	0.0472101	0.0441165	0.0437836	0.049482	0.0554582	0.0563682	0.061206
a23	0.04697	0.050555	0.0641446	0.0539992	0.0460312	0.0346258	0.0320117	0.0303773	0.0280682	0.025481	0.0332308	0.0419636	0.0509076	0.0550565	0.0509827	0.0507962	0.04798	0.045007	0.0523586	0.0558055	0.0531507	0.0504966
a79	0.0912903	0.0882364	0.0823247	0.0576434	0.038772	0.0235206	0.017207	0.016445	0.0155544	0.0154262	0.0206108	0.0287311	0.035513	0.038633	0.0358141	0.0356141	0.03498	0.0401861	0.0560733	0.0725068	0.0769932	0.0779246
a93	0.260829	0.228718	0.144063	0.0923088	0.0628438	0.0236223	0.0127261	0.00891218	0.00669317	0.00652949	0.00754941	0.00990512	0.0105384	0.0105453	0.00951241	0.0100475	0.00890282	0.00986721	0.0133008	0.01736	0.0226373	0.0225882
a13	0.205799	0.204867	0.141238	0.0910532	0.0745849	0.0320775	0.0216603	0.0168317	0.012518	0.0114929	0.0133985	0.0165834	0.017835	0.017914	0.0167315	0.0149736	0.0114455	0.0102668	0.0112799	0.0138263	0.0198622	0.0237613
a61	0.13726	0.156421	0.132125	0.0912598	0.0739274	0.0386782	0.0295427	0.0238021	0.0204812	0.0185811	0.0208096	0.0232019	0.0237049	0.0243976	0.0248797	0.0222079	0.0200956	0.0179673	0.0188952	0.0210067	0.0269326	0.0338227
a75	0.0793823	0.107743	0.111813	0.089736	0.0813553	0.0555183	0.047932	0.0420818	0.037781	0.0343892	0.0381759	0.0390541	0.0368217	0.0345539	0.0317382	0.0243455	0.0212277	0.016353	0.0152893	0.0153986	0.0179763	0.0213335
a96	0.0663499	0.0757235	0.0747421	0.0711656	0.0700831	0.0607093	0.056218	0.0568585	0.0535841	0.0510322	0.0534058	0.0524639	0.0470026	0.0422173	0.0363047	0.0243304	0.0172068	0.0115475	0.00993387	0.0119336	0.0230317	0.0341556
a90	0.0715695	0.081538	0.088807	0.076911	0.0769357	0.0662162	0.0629358	0.0581855	0.0535857	0.0509581	0.0537142	0.0486452	0.041643	0.0364241	0.0312206	0.0214805	0.0166256	0.0113073	0.00890026	0.00881655	0.0136575	0.0199228
a25	0.0298287	0.0401041	0.0568527	0.0596058	0.0771857	0.076706	0.0763193	0.0732692	0.0699147	0.0670734	0.0654775	0.0564484	0.04783	0.0431971	0.0383456	0.0269103	0.0197651	0.0131164	0.0102035	0.0101638	0.0161872	0.0254956
