 	ngolo	est	devenu	la	risée	de	ce	village	</S>
a87	0.1673	0.111355	0.196423	0.203916	0.236099	0.058027	0.0140887	0.00761311	0.00517798
a23	0.213066	0.096756	0.113241	0.167207	0.250937	0.0884323	0.03178	0.0214823	0.0170985
a87	0.199014	0.10554	0.109059	0.160044	0.218281	0.0799536	0.0368124	0.0384962	0.0527992
a10	0.13842	0.117061	0.152248	0.235684	0.188154	0.0641969	0.033279	0.0314427	0.0395142
a87	0.201648	0.146493	0.17055	0.218604	0.14069	0.0512818	0.0240418	0.0217532	0.0249392
a23	0.223929	0.135979	0.154984	0.197698	0.146746	0.0568437	0.028994	0.026184	0.0286411
a30	0.239835	0.141885	0.151284	0.188898	0.0898219	0.0539408	0.0344327	0.0430195	0.056883
a93	0.168899	0.122186	0.122594	0.135483	0.0646575	0.0442689	0.0508591	0.105499	0.185553
a90	0.323407	0.277861	0.159267	0.105754	0.0349936	0.020982	0.0189974	0.0246481	0.03409
a56	0.276009	0.260454	0.172796	0.115518	0.0374869	0.0225858	0.0253795	0.0350369	0.0547346
a98	0.178565	0.230126	0.169292	0.125299	0.0560412	0.0364265	0.0446013	0.0618945	0.0977555
a85	0.137961	0.179376	0.162379	0.139878	0.0753396	0.0502218	0.0646257	0.0796588	0.110561
a37	0.158366	0.216019	0.176902	0.129494	0.0974188	0.0515426	0.051015	0.0541864	0.0650551
a61	0.156541	0.225454	0.224163	0.176456	0.0716006	0.0308392	0.0324732	0.0360139	0.0464596
a21	0.121869	0.18296	0.212	0.210244	0.110731	0.037003	0.0361086	0.039201	0.0498831
a66	0.158935	0.191481	0.20965	0.159421	0.0985029	0.0408877	0.0433418	0.0463458	0.0514357
a61	0.0638672	0.0959393	0.161518	0.195722	0.160092	0.0656255	0.0718281	0.0799967	0.105412
a21	0.0916907	0.100478	0.148816	0.162896	0.150003	0.0746444	0.0785411	0.0859286	0.107002
a0	0.113485	0.0954414	0.115271	0.118672	0.118619	0.0775187	0.102242	0.122698	0.136054
a75	0.0643062	0.0605217	0.0701726	0.0954415	0.143195	0.150724	0.138888	0.129603	0.147148
a47	0.0686136	0.0497825	0.0478268	0.0461494	0.0583841	0.0804607	0.151079	0.213631	0.284073
a7	0.0744479	0.0596026	0.0609362	0.0626378	0.0835364	0.121886	0.154585	0.17021	0.212158
a57	0.0271615	0.0266947	0.031485	0.0360591	0.0491392	0.0934348	0.157125	0.225848	0.353053
a53	0.00678272	0.00651376	0.00970357	0.0145085	0.0294608	0.057022	0.139665	0.250866	0.485478
a4	0.00809294	0.00540617	0.0064108	0.00733246	0.0126106	0.0409474	0.132164	0.285757	0.501279
a50	0.0021202	0.0013982	0.00211015	0.00335682	0.0104232	0.0435173	0.155588	0.296819	0.484667
a62	0.00135392	0.000872749	0.00131415	0.00238014	0.0105276	0.0444559	0.151721	0.287259	0.500115
a88	0.000776906	0.000584458	0.000906584	0.00170687	0.00863558	0.0384711	0.148549	0.28617	0.514199
a9	0.000887403	0.0005976	0.000815532	0.0012072	0.00387743	0.020651	0.104901	0.272211	0.594852
a87	0.00322704	0.00118725	0.00125139	0.00147599	0.00479386	0.0278699	0.121407	0.286198	0.55259
a97	0.0167203	0.00590505	0.00645083	0.0119515	0.0393462	0.0906943	0.148821	0.250681	0.429429
a87	0.03696	0.0224686	0.0285459	0.0431966	0.0796808	0.132512	0.163116	0.220203	0.273317
a97	0.0440225	0.0312619	0.0489593	0.0769851	0.102431	0.127398	0.149789	0.195248	0.223906
a10	0.0654943	0.0445717	0.0655136	0.0972125	0.111725	0.119302	0.122586	0.163866	0.209729
a87	0.0640072	0.0522681	0.0829301	0.101106	0.0878327	0.0942782	0.110684	0.164798	0.242095
a23	0.0355061	0.030807	0.0525342	0.0716785	0.0794024	0.101642	0.137187	0.201959	0.289284
a87	0.00770985	0.00743821	0.00991243	0.0210581	0.0548869	0.109829	0.185702	0.263839	0.339624
a10	0.0118233	0.0120847	0.0146979	0.0227315	0.0376657	0.0714967	0.144516	0.257853	0.427132
</S>	0.0197576	0.0189512	0.0235778	0.0361021	0.0537884	0.0889551	0.158971	0.242553	0.357344
